  I     	  II     	  LV     	  LV'		  PW     	  PW'		
-661.62   	-23.80   	 22.38   	 574.77		 20.14   	  45.78		
-654.60   	-37.23   	 24.68   	 590.03		 20.33   	-208.54		
-650.33   	-53.41   	 27.04   	 564.60		 19.49   	-406.92		
-643.31   	-54.93   	 29.30   	 528.99		 17.86   	-518.82		
-636.60   	-66.83   	 31.41   	 493.39		 15.79   	-539.16		
-631.41   	-79.65   	 33.39   	 467.95		 13.63   	-467.95		
-638.43   	-85.14   	 35.26   	 473.04		 11.76   	-350.97		
-640.87   	-107.42   	 37.15   	 513.73		 10.36   	-193.29		
-643.31   	-118.10   	 39.21   	 574.77		  9.58   	 -50.86		
-635.07   	-119.02   	 41.51   	 666.32		  9.38   	  76.30		
-626.83   	-135.19   	 44.17   	 762.97		  9.68   	 162.77		
-619.81   	-140.08   	 47.22   	 844.35		 10.34   	 213.63		
-606.08   	-150.15   	 50.60   	 915.56		 11.19   	 218.72		
-601.50   	-166.02   	 54.26   	 956.25		 12.07   	 183.11		
-604.25   	-183.41   	 58.09   	 951.17		 12.80   	 132.25		
-599.06   	-198.97   	 61.89   	 915.56		 13.33   	  55.95		
-598.45   	-214.23   	 65.55   	 829.09		 13.55   	 -10.17		
-602.11   	-228.27   	 68.87   	 732.45		 13.51   	 -76.30		
-592.35   	-237.12   	 71.80   	 620.55		 13.20   	-116.99		
-584.72   	-249.63   	 74.28   	 508.65		 12.74   	-132.25		
-583.50   	-269.78   	 76.32   	 391.66		 12.21   	-127.16		
-571.29   	-285.64   	 77.88   	 274.67		 11.70   	-101.73		
-565.80   	-303.04   	 78.98   	 147.51		 11.29   	 -61.04		
-555.73   	-321.66   	 79.57   	  20.35		 11.05   	 -20.35		
-552.67   	-332.34   	 79.65   	-101.73		 10.97   	  25.43		
-551.76   	-348.51   	 79.25   	-213.63		 11.07   	  71.21		
-542.30   	-363.46   	 78.39   	-289.93		 11.35   	 106.82		
-540.47   	-379.64   	 77.23   	-330.62		 11.78   	 132.25		
-530.40   	-399.17   	 75.91   	-335.71		 12.31   	 152.59		
-514.83   	-408.33   	 74.57   	-310.27		 12.92   	 157.68		
-510.56   	-424.50   	 73.33   	-259.41		 13.55   	 142.42		
-503.54   	-434.57   	 72.29   	-208.54		 14.12   	 122.07		
-500.18   	-444.34   	 71.45   	-167.85		 14.61   	  86.47		
-500.79   	-461.43   	 70.78   	-142.42		 14.95   	  50.86		
-495.00   	-465.39   	 70.21   	-142.42		 15.16   	  15.26		
-490.72   	-472.72   	 69.64   	-157.68		 15.22   	  -5.09		
-485.53   	-473.63   	 69.01   	-188.20		 15.20   	 -25.43		
-477.60   	-468.14   	 68.26   	-223.80		 15.10   	 -35.61		
-473.33   	-465.70   	 67.36   	-249.24		 14.95   	 -25.43		
-467.22   	-458.07   	 66.37   	-264.50		 14.85   	 -15.26		
-458.98   	-449.52   	 65.31   	-264.50		 14.79   	   0.00		
-451.05   	-437.32   	 64.25   	-259.41		 14.79   	  25.43		
-448.00   	-426.64   	 63.21   	-239.06		 14.89   	  40.69		
-442.81   	-409.55   	 62.26   	-223.80		 15.06   	  55.95		
-441.89   	-388.49   	 61.36   	-218.72		 15.28   	  61.04		
-443.12   	-366.82   	 60.49   	-213.63		 15.52   	  71.21		
-447.69   	-339.66   	 59.63   	-228.89		 15.81   	  96.64		
-455.93   	-309.45   	 58.72   	-264.50		 16.20   	 127.16		
-464.48   	-279.54   	 57.66   	-325.53		 16.70   	 167.85		
-473.33   	-245.97   	 56.36   	-417.09		 17.38   	 203.46		
-484.92   	-213.93   	 54.69   	-513.73		 18.19   	 218.72		
-491.64   	-177.92   	 52.63   	-564.60		 19.06   	 208.54		
-505.68   	-144.96   	 50.38   	-549.34		 19.90   	 172.94		
-521.85   	-114.75   	 48.18   	-457.78		 20.59   	 101.73		
-532.23   	-75.68   	 46.35   	-325.53		 21.00   	  30.52		
-552.06   	-42.11   	 45.05   	-193.29		 21.12   	 -50.86		
-568.54   	 -8.54   	 44.27   	-132.25		 20.92   	-106.82		
-584.41   	 24.11   	 43.74   	-157.68		 20.49   	-122.07		
-604.55   	 52.49   	 43.11   	-274.67		 20.00   	 -81.38		
-618.29   	 80.57   	 42.01   	-457.78		 19.67   	   0.00		
-630.80   	101.93   	 40.18   	-681.58		 19.67   	  96.64		
-644.53   	122.99   	 37.46   	-879.96		 20.06   	 172.94		
-646.67   	150.15   	 33.94   	-1022.38		 20.75   	 213.63		
-654.60   	166.63   	 29.85   	-1063.07		 21.61   	 208.54		
-661.62   	186.46   	 25.60   	-1007.12		 22.44   	 167.85		
-661.62   	207.52   	 21.57   	-849.44		 23.11   	 106.82		
-671.39   	211.18   	 18.17   	-630.72		 23.54   	  30.52		
-678.41   	218.20   	 15.65   	-386.57		 23.66   	 -25.43		
-683.29   	228.58   	 14.10   	-147.51		 23.56   	 -76.30		
-689.09   	231.63   	 13.51   	  45.78		 23.26   	-101.73		
-692.75   	238.04   	 13.69   	 162.77		 22.85   	-106.82		
-698.55   	236.21   	 14.34   	 218.72		 22.42   	 -86.47		
-698.85   	234.99   	 15.22   	 198.37		 22.08   	 -45.78		
-700.68   	236.21   	 16.01   	 142.42		 21.89   	  10.17		
-700.38   	236.82   	 16.58   	  61.04		 21.93   	  66.12		
-697.63   	238.95   	 16.83   	 -25.43		 22.20   	 122.07		
-699.16   	237.12   	 16.72   	 -86.47		 22.69   	 167.85		
-701.60   	234.07   	 16.38   	-127.16		 23.36   	 183.11		
-705.57   	230.10   	 15.87   	-122.07		 24.09   	 167.85		
-707.70   	226.75   	 15.38   	 -86.47		 24.76   	 122.07		
-707.09   	224.30   	 15.04   	 -10.17		 25.25   	  61.04		
-706.48   	219.73   	 14.99   	  86.47		 25.49   	   0.00		
-704.96   	218.20   	 15.34   	 208.54		 25.49   	 -40.69		
-702.82   	218.81   	 16.17   	 340.79		 25.33   	 -61.04		
-702.51   	222.47   	 17.54   	 447.61		 25.09   	 -61.04		
-707.40   	220.64   	 19.33   	 488.30		 24.84   	 -55.95		
-710.75   	218.20   	 21.28   	 442.52		 24.62   	 -45.78		
-713.20   	216.98   	 23.05   	 305.19		 24.44   	 -40.69		
-717.77   	210.57   	 24.27   	 101.73		 24.27   	 -30.52		
-716.55   	210.57   	 24.68   	-132.25		 24.15   	 -25.43		
-714.11   	213.93   	 24.15   	-361.14		 24.05   	 -10.17		
-710.75   	214.54   	 22.71   	-549.34		 24.01   	  15.26		
-702.51   	220.03   	 20.51   	-691.76		 24.07   	  35.61		
-687.56   	227.66   	 17.74   	-762.97		 24.21   	  66.12		
-673.52   	230.71   	 14.69   	-762.97		 24.48   	 106.82		
-661.01   	229.49   	 11.64   	-681.58		 24.90   	 137.33		
-647.89   	229.19   	  8.91   	-534.08		 25.45   	 162.77		
-645.14   	228.27   	  6.78   	-320.45		 26.10   	 167.85		
-640.87   	229.19   	  5.49   	 -81.38		 26.78   	 157.68		
-640.87   	232.85   	  5.17(D)	 172.94		 27.41   	 127.16		
-646.97   	235.60   	  5.86   	 391.66		 27.91   	  76.30		
-641.17   	243.53   	  7.43   	 554.42		 28.22   	  15.26		
-631.41   	252.38   	  9.64   	 651.07		 28.28   	 -45.78		
-608.22   	262.45   	 12.25   	 656.15		 28.10   	 -96.64		
-575.26   	276.79   	 14.87   	 584.94		 27.71   	-132.25		
-557.86   	277.71   	 17.21   	 457.78		 27.18   	-147.51		
-568.24   	273.13   	 19.04   	 295.01		 26.59   	-137.33		
-580.14   	274.66   	 20.22   	 116.99		 26.04   	-106.82		
-587.46   	282.29   	 20.69   	 -35.61		 25.62   	 -66.12		
-589.29   	300.29   	 20.55   	-147.51		 25.35   	 -30.52		
-557.56   	326.84   	 19.96   	-198.37		 25.23   	  10.17		
-544.13   	342.41   	 19.17   	-203.46		 25.27   	  30.52		
-558.47   	345.15   	 18.35   	-152.59		 25.39   	  45.78		
-567.63   	335.08   	 17.74   	 -71.21		 25.57   	  40.69		
-587.16   	326.54   	 17.46   	  20.35		 25.74   	  20.35		
-603.03   	325.32   	 17.54   	 111.90		 25.82   	  -5.09		
-607.61   	324.40   	 17.99   	 178.03		 25.80   	 -40.69		
-625.31   	310.06   	 18.70   	 213.63		 25.64   	 -66.12		
-655.21   	279.24   	 19.55   	 223.80		 25.37   	 -81.38		
-682.98   	246.89   	 20.45   	 193.29		 25.05   	 -86.47		
-706.18   	222.47   	 21.22   	 142.42		 24.70   	 -76.30		
-728.45   	216.67   	 21.79   	  91.56		 24.39   	 -50.86		
-737.30   	224.30   	 22.16   	  35.61		 24.19   	 -25.43		
-738.53   	223.39   	 22.30   	  -5.09		 24.09   	  10.17		
-742.49   	216.06   	 22.28   	 -20.35		 24.13   	  45.78		
-741.88   	209.35   	 22.20   	 -20.35		 24.31   	  81.38		
-743.10   	207.21   	 22.12   	  10.17		 24.64   	 111.90		
-747.07   	211.79   	 22.16   	  50.86		 25.09   	 122.07		
-745.54   	215.76   	 22.36   	 101.73		 25.57   	 101.73		
-741.27   	216.67   	 22.77   	 162.77		 25.98   	  61.04		
-740.05   	215.15   	 23.42   	 208.54		 26.23   	 -20.35		
-736.69   	216.98   	 24.25   	 244.15		 26.14   	-106.82		
-738.22   	220.03   	 25.23   	 274.67		 25.72   	-188.20		
-740.66   	219.42   	 26.33   	 284.84		 24.96   	-208.54		
-737.92   	221.86   	 27.47   	 274.67		 24.13   	-172.94		
-737.61   	220.95   	 28.57   	 254.32		 23.44   	 -61.04		
-736.69   	217.90   	 29.58   	 223.80		 23.19   	 101.73		
-733.95   	218.81   	 30.48   	 183.11		 23.60   	 274.67		
-731.81   	219.12   	 31.21   	 147.51		 24.70   	 406.92		
-728.15   	218.81   	 31.80   	 127.16		 26.33   	 488.30		
-729.06   	217.29   	 32.31   	 116.99		 28.28   	 483.21		
-724.18   	220.03   	 32.78   	 116.99		 30.21   	 412.00		
-722.66   	219.12   	 33.25   	 132.25		 31.86   	 269.58		
-724.79   	216.06   	 33.77   	 137.33		 32.94   	 106.82		
-718.38   	217.59   	 34.32   	 142.42		 33.37   	 -50.86		
-718.08   	217.90   	 34.89   	 116.99		 33.16   	-183.11		
-717.16   	217.90   	 35.36   	  76.30		 32.43   	-264.50		
-713.20   	216.67   	 35.67   	  20.35		 31.37   	-300.10		
-715.94   	216.37   	 35.75   	 -55.95		 30.17   	-279.75		
-722.96   	212.10   	 35.52   	-132.25		 29.05   	-218.72		
-733.64   	207.21   	 34.99   	-188.20		 28.18   	-137.33		
-751.65   	193.48   	 34.24   	-233.98		 27.63   	 -30.52		
-747.38   	173.65   	 33.31   	-244.15		 27.51   	  66.12		
-700.99   	165.41   	 32.33   	-239.06		 27.77   	 157.68		
-624.39   	167.85   	 31.37   	-208.54		 28.40   	 208.54		
-520.63   	199.58   	 30.54   	-178.03		 29.24   	 213.63		
-392.46   	256.65   	 29.83   	-132.25		 30.09   	 172.94		
-288.70   	314.33   	 29.30   	 -91.56		 30.78   	 111.90		
-168.15   	405.88   	 28.93   	 -55.95		 31.23   	  25.43		
-51.88   	521.24   	 28.71   	 -35.61		 31.33   	 -45.78		
  8.54   	668.64   	 28.57   	 -15.26		 31.15   	 -86.47		
 59.51   	824.89   	 28.50   	  -5.09		 30.80   	 -76.30		
 20.14   	880.74   	 28.48(E)	  10.17		 30.50   	 -30.52		
-205.69   	759.58   	 28.52   	  25.43		 30.38   	  50.86		
-499.57   	510.25   	 28.63   	  50.86		 30.58   	 137.33		
-802.92   	182.19   	 28.83   	  91.56		 31.13   	 203.46		
-1074.83   	-182.50   	 29.20   	 142.42		 31.94   	 218.72		
-1174.01(R)	-420.53   	 29.77   	 218.72		 32.82   	 193.29		
-1081.85   	-567.02   	 30.64   	 305.19		 33.59   	 127.16		
-980.22   	-660.40   	 31.86   	 417.09		 34.10   	  45.78		
-952.76   	-634.16   	 33.53   	 549.34		 34.28   	 -45.78		
-895.08   	-545.96   	 35.73   	 722.28		 34.10   	-106.82		
-913.09   	-443.73   	 38.62   	 930.82		 33.67   	-142.42		
-998.54   	-356.14   	 42.34   	1159.71		 33.10   	-147.51		
-1011.35   	-292.36   	 46.98   	1398.77		 32.51   	-122.07		
-1045.84   	-267.03   	 52.57   	1607.32		 32.02   	 -91.56		
-1072.69   	-271.91   	 59.00   	1744.65		 31.66   	 -55.95		
-1094.36   	-266.72   	 65.98   	1800.60		 31.43   	 -40.69		
-1089.48   	-269.47   	 73.18   	1765.00		 31.27   	 -30.52		
-1107.79   	-267.33   	 80.24   	1642.92		 31.15   	 -45.78		
-1140.44   	-272.83   	 86.82   	1459.81		 30.97   	 -66.12		
-1153.26   	-268.86   	 92.65   	1236.01		 30.70   	 -86.47		
-1131.29   	-248.41   	 97.60   	 996.94		 30.36   	 -96.64		
-1093.14   	-226.44   	101.59   	 762.97		 29.97   	-111.90		
-1053.47   	-189.82   	104.64   	 569.68		 29.52   	-106.82		
-987.55   	-140.38   	106.92   	 452.69		 29.09   	-106.82		
-944.52   	-85.75   	108.73   	 417.09		 28.67   	-101.73		
-906.07   	-28.08   	110.40   	 478.13		 28.26   	 -86.47		
-858.76   	 28.38   	112.31   	 620.55		 27.91   	 -66.12		
-834.66   	 74.77   	114.79   	 854.52		 27.65   	 -30.52		
-814.51   	 99.79   	118.21   	1124.11		 27.53   	 -10.17		
-804.14   	113.53   	122.71   	1378.43		 27.49   	  10.17		
-794.68   	123.90   	128.22   	1551.37		 27.53   	  45.78		
-787.66   	126.34   	134.42   	1607.32		 27.71   	  86.47		
-782.78   	136.41   	140.85   	1602.23		 28.06   	 142.42		
-778.81   	138.85   	147.26   	1581.89		 28.63   	 172.94		
-780.33   	131.53   	153.59   	1612.40		 29.32   	 178.03		
-781.56   	131.84   	160.04   	1683.61		 30.03   	 193.29		
-778.50   	131.84   	166.77   	1724.31		 30.80   	 223.80		
-775.76   	129.09   	173.67   	1658.18		 31.70   	 289.93		
-774.23   	131.23   	180.30   	1495.42		 32.86   	 340.79		
-768.74   	132.75   	186.29   	1291.96		 34.22   	 340.79		
-767.21   	128.48   	191.45   	1144.45		 35.58   	 223.80		
-765.69   	127.56   	196.03   	1083.41		 36.48(A)	 -30.52		
-767.21   	127.26   	200.37   	1078.33		 36.36   	-412.00		
-771.79   	123.90   	204.68   	1098.67		 34.71   	-829.09		
-774.84   	122.07   	209.07   	1083.41		 31.39   	-1139.36		
-775.45   	122.38   	213.41   	1022.38		 26.84   	-1230.92		
-775.45   	119.32   	217.50   	 905.39		 21.91   	-1037.64		
-776.98   	117.80   	221.12   	 747.71		 17.76   	-630.72		
-780.33   	113.22   	224.11   	 554.42		 15.24   	-132.25		
-784.61   	109.86   	226.33   	 366.22		 14.71   	 335.71		
-791.02   	105.59   	227.79   	 218.72		 16.05   	 645.98		
-792.24   	103.45   	228.67   	 127.16		 18.64   	 757.88		
-796.81   	 99.18   	229.18   	 106.82		 21.67   	 681.58		
-798.95   	 97.05   	229.60   	 132.25		 24.39   	 467.95		
-801.09   	 95.21   	230.13   	 193.29		 26.27   	 203.46		
-804.75   	 90.03   	230.90   	 244.15		 27.08   	 -55.95		
-808.72   	 83.62   	231.88   	 279.75		 26.86   	-249.24		
-810.24   	 78.43   	233.00   	 289.93		 25.86   	-350.97		
-811.77   	 75.07   	234.16   	 274.67		 24.46   	-345.88		
-816.96   	 63.17   	235.26   	 249.24		 23.07   	-264.50		
-817.57   	 59.81   	236.26   	 198.37		 22.01   	-152.59		
-820.31   	 57.68   	237.05   	 142.42		 21.40   	 -40.69		
-824.59   	 47.00   	237.62   	  81.38		 21.24   	  55.95		
-820.92   	 47.30   	237.94   	  45.78		 21.46   	 137.33		
-819.40   	 44.86   	238.13   	  30.52		 22.01   	 193.29		
-815.12   	 39.98   	238.25   	  30.52		 22.79   	 218.72		
-808.11   	 39.98   	238.37   	  35.61		 23.66   	 208.54		
-801.39   	 43.03   	238.51   	  40.69		 24.50   	 167.85		
-793.46   	 44.86   	238.68   	  15.26		 25.17   	  86.47		
-783.08   	 48.52   	238.74(S)	 -55.95		 25.51   	 -10.17		
-772.09   	 55.24   	238.51   	-152.59		 25.47   	-111.90		
-759.58   	 62.26   	237.90   	-269.58		 25.03   	-183.11		
-740.66   	 71.72   	236.83   	-391.66		 24.29   	-208.54		
-724.18   	 81.18   	235.26   	-508.65		 23.46   	-183.11		
-708.92   	 90.03   	233.22   	-600.20		 22.73   	-101.73		
-687.26   	100.71   	230.82   	-676.50		 22.32   	   5.09		
-670.78   	112.61   	228.12   	-732.45		 22.34   	 111.90		
-650.94   	125.12   	225.19   	-773.14		 22.79   	 193.29		
-629.58   	138.55   	222.09   	-808.75		 23.56   	 233.98		
-614.32   	152.59   	218.86   	-834.18		 24.50   	 233.98		
-598.45   	164.18   	215.52   	-859.61		 25.43   	 188.20		
-585.63   	178.22   	212.08   	-895.22		 26.19   	 111.90		
-576.78   	190.73   	208.50   	-915.56		 26.63   	  25.43		
-568.85   	200.20   	204.84   	-946.08		 26.73   	 -55.95		
-564.58   	209.05   	201.06   	-976.60		 26.51   	-116.99		
-560.91   	215.15   	197.15   	-1017.29		 26.04   	-147.51		
-559.39   	217.59   	193.08   	-1068.15		 25.45   	-142.42		
-561.52   	218.20   	188.81   	-1134.28		 24.88   	-111.90		
-565.80   	220.34   	184.27   	-1205.49		 24.44   	 -61.04		
-573.43   	218.81   	179.45   	-1281.79		 24.19   	   5.09		
-580.75   	217.59   	174.32   	-1353.00		 24.21   	  66.12		
-584.41   	219.73   	168.91   	-1414.03		 24.48   	 122.07		
-586.85   	215.76   	163.25   	-1464.90		 24.96   	 147.51		
-594.18   	208.44   	157.40   	-1505.59		 25.55   	 152.59		
-594.79   	209.96   	151.37   	-1525.93		 26.16   	 137.33		
-599.98   	205.69   	145.27   	-1541.19		 26.71   	 111.90		
-605.16   	202.33   	139.10   	-1546.28		 27.16   	  66.12		
-601.81   	206.91   	132.92   	-1551.37		 27.43   	  25.43		
-607.61   	198.36   	126.71   	-1566.63		 27.53   	  -5.09		
-609.13   	196.53   	120.45   	-1612.40		 27.51   	 -30.52		
-607.61   	197.14   	114.00   	-1668.36		 27.39   	 -40.69		
-610.05   	192.57   	107.32   	-1724.31		 27.22   	 -40.69		
-609.13   	194.70   	100.43   	-1754.83		 27.06   	 -30.52		
-610.35   	194.40   	 93.41   	-1744.65		 26.94   	   0.00		
-613.71   	191.65   	 86.43   	-1683.61		 26.94   	  35.61		
-615.23   	191.04   	 79.69   	-1576.80		 27.08   	  71.21		
-613.40   	189.51   	 73.39   	-1444.55		 27.37   	 106.82		
-613.40   	187.99   	 67.61   	-1297.04		 27.79   	 116.99		
-610.96   	184.94   	 62.42   	-1144.45		 28.26   	 106.82		
-610.35   	184.02   	 57.84   	-996.94		 28.69   	  96.64		
-615.84   	179.75   	 53.86   	-864.70		 29.07   	  81.38		
-613.71   	180.36   	 50.40   	-757.88		 29.40   	  76.30		
-615.23   	180.97   	 47.37   	-671.41		 29.70   	  86.47		
-618.59   	177.61   	 44.68   	-620.55		 30.05   	 106.82		
-615.23   	180.05   	 42.20   	-605.29		 30.48   	 116.99		
-616.15   	178.83   	 39.78   	-630.72		 30.95   	 127.16		
-618.29   	176.09   	 37.25   	-671.41		 31.45   	 137.33		
-617.68   	177.61   	 34.57   	-727.36		 32.00   	 157.68		
-619.51   	175.48   	 31.66   	-757.88		 32.63   	 172.94		
-623.17   	173.03   	 28.63   	-762.97		 33.33   	 188.20		
-626.22   	171.20   	 25.57   	-701.93		 34.08   	 172.94		
-629.88   	170.59   	 22.77   	-600.20		 34.77   	 127.16		
-631.41   	172.12   	 20.37   	-442.52		 35.28   	  61.04		
-634.16   	168.46   	 18.60   	-269.58		 35.52(V)	 -20.35		
-633.24   	169.37   	 17.52   	-101.73		 35.44   	 -91.56		
-632.32   	168.76   	 17.11   	  50.86		 35.08   	-142.42		
-634.16   	164.49   	 17.31   	 172.94		 34.51   	-162.77		
-632.63   	168.46   	 18.01   	 254.32		 33.86   	-152.59		
-636.29   	169.37   	 19.02   	 300.10		 33.25   	-106.82		
-639.04   	168.15   	 20.22   	 289.93		 32.82   	 -50.86		
-637.21   	172.12   	 21.38   	 233.98		 32.61   	  10.17		
-640.56   	170.29   	 22.32   	 122.07		 32.66   	  61.04		
-635.38   	172.42   	 22.81   	 -15.26		 32.90   	  91.56		
-635.99   	171.51   	 22.75   	-172.94		 33.27   	  86.47		
-635.07   	171.20   	 22.05   	-295.01		 33.61   	  55.95		
-631.71   	171.51   	 20.87   	-386.57		 33.84   	  -5.09		
-634.16   	166.93   	 19.33   	-412.00		 33.81   	 -81.38		
-632.63   	167.85   	 17.68   	-376.40		 33.49   	-152.59		
-629.58   	168.76   	 16.17   	-284.84		 32.88   	-203.46		
-631.10   	167.24   	 15.04   	-152.59		 32.06   	-233.98		
-631.41   	166.32   	 14.43   	  -5.09		 31.13   	-223.80		
-626.83   	169.07   	 14.40   	 132.25		 30.23   	-178.03		
-626.83   	166.63   	 14.93   	 239.06		 29.52   	-122.07		
-615.84   	170.59   	 15.89   	 310.27		 29.03   	 -40.69		
-599.37   	176.70   	 17.13   	 320.45		 28.87   	  30.52		
-582.28   	181.58   	 18.41   	 295.01		 28.99   	  86.47		
-561.83   	184.63   	 19.59   	 218.72		 29.34   	 122.07		
-547.18   	184.33   	 20.47   	 132.25		 29.83   	 122.07		
-538.02   	185.24   	 21.00   	  40.69		 30.32   	  91.56		
-530.70   	185.55   	 21.16   	 -30.52		 30.68   	  40.69		
-527.04   	187.38   	 21.04   	 -81.38		 30.84   	 -25.43		
-524.60   	193.48   	 20.71   	 -91.56		 30.74   	 -91.56		
-516.05   	200.50   	 20.35   	 -76.30		 30.38   	-142.42		
-503.23   	208.74   	 20.04   	 -30.52		 29.81   	-167.85		
-480.04   	222.47   	 19.92   	  15.26		 29.14   	-172.94		
-454.10   	227.66   	 19.98   	  61.04		 28.44   	-152.59		
-429.99   	230.10   	 20.22   	 101.73		 27.83   	-111.90		
-428.77   	228.58   	 20.63   	 116.99		 27.39   	 -61.04		
-448.30   	218.20   	 21.10   	 127.16		 27.14   	 -15.26		
-455.63   	224.30   	 21.61   	 111.90		 27.08   	  20.35		
-466.31   	235.60   	 22.05   	  91.56		 27.16   	  40.69		
-451.05   	250.85   	 22.42   	  61.04		 27.32   	  40.69		
-426.64   	269.47   	 22.67   	  25.43		 27.49   	  30.52		
-432.43   	271.91   	 22.77   	  -5.09		 27.61   	  15.26		
-435.49   	264.59   	 22.75   	 -30.52		 27.67   	 -10.17		
-447.08   	257.26   	 22.62   	 -45.78		 27.63   	 -30.52		
-463.26   	254.52   	 22.44   	 -50.86		 27.51   	 -40.69		
-466.61   	255.74   	 22.24   	 -61.04		 27.34   	 -45.78		
-482.79   	248.11   	 21.99   	 -50.86		 27.16   	 -45.78		
-512.70   	220.34   	 21.79   	 -40.69		 26.98   	 -55.95		
-540.47   	186.16   	 21.63   	 -25.43		 26.75   	 -81.38		
-565.80   	154.72   	 21.53   	   0.00		 26.43   	-106.82		
-586.55   	139.47   	 21.53   	  35.61		 26.00   	-122.07		
-599.37   	141.30   	 21.67   	  71.21		 25.51   	-116.99		
-606.69   	138.24   	 21.95   	 111.90		 25.05   	 -81.38		
-607.91   	135.50   	 22.40   	 162.77		 24.72   	 -25.43		
-608.22   	129.09   	 23.05   	 203.46		 24.62   	  40.69		
-604.55   	126.95   	 23.87   	 244.15		 24.78   	  96.64		
-603.64   	133.06   	 24.84   	 274.67		 25.17   	 137.33		
-605.77   	134.58   	 25.94   	 284.84		 25.72   	 142.42		
-604.55   	132.14   	 27.08   	 284.84		 26.29   	 122.07		
-604.25   	128.78   	 28.22   	 269.58		 26.78   	  71.21		
-604.55   	130.31   	 29.30   	 259.41		 27.06   	  10.17		
-603.94   	132.75   	 30.34   	 244.15		 27.10   	 -55.95		
-605.77   	132.75   	 31.31   	 239.06		 26.88   	-101.73		
-602.42   	137.02   	 32.27   	 239.06		 26.47   	-132.25		
-599.37   	135.19   	 33.22   	 244.15		 25.94   	-127.16		
-597.84   	132.45   	 34.20   	 254.32		 25.43   	 -96.64		
-594.48   	137.94   	 35.22   	 259.41		 25.05   	 -30.52		
-593.87   	137.02   	 36.26   	 259.41		 24.92   	  50.86		
-591.13   	136.41   	 37.29   	 239.06		 25.13   	 147.51		
-590.82   	134.58   	 38.25   	 208.54		 25.72   	 228.89		
-589.29   	134.58   	 39.08   	 152.59		 26.63   	 284.84		
-590.82   	133.67   	 39.69   	  81.38		 27.77   	 305.19		
-593.57   	127.87   	 40.02   	   5.09		 28.99   	 274.67		
-603.94   	121.77   	 40.04   	 -76.30		 30.09   	 213.63		
-615.23   	111.08   	 39.74   	-137.33		 30.95   	 116.99		
-599.98   	 93.38   	 39.19   	-188.20		 31.41   	  15.26		
-551.76   	 84.53   	 38.43   	-203.46		 31.47   	 -81.38		
-465.39   	 92.77   	 37.62   	-203.46		 31.15   	-147.51		
-357.36   	119.02   	 36.81   	-178.03		 30.56   	-178.03		
-226.75   	173.65   	 36.09   	-137.33		 29.85   	-162.77		
-111.39   	242.00   	 35.54   	 -96.64		 29.20   	-106.82		
 16.48   	340.58   	 35.16   	 -55.95		 28.77   	 -15.26		
132.45   	462.34   	 34.93   	 -25.43		 28.71   	  81.38		
193.48   	615.23   	 34.83   	  -5.09		 29.03   	 172.94		
236.21   	763.55   	 34.81   	   5.09		 29.73   	 244.15		
172.73   	803.22   	 34.83   	   0.00		 30.70   	 274.67		
-76.90   	674.74   	 34.83   	 -10.17		 31.80   	 264.50		
-394.90   	413.51   	 34.79   	 -15.26		 32.86   	 218.72		
-726.32   	 73.55   	 34.73   	 -20.35		 33.73   	 147.51		
-1010.44   	-298.46   	 34.65   	  -5.09		 34.32   	  76.30		
-1092.22(R)	-542.60   	 34.63(E)	  20.35		 34.63   	  10.17		
-971.68   	-705.26   	 34.71   	  71.21		 34.67   	 -20.35		
-859.38   	-798.03   	 34.99   	 132.25		 34.59   	 -35.61		
-799.87   	-766.91   	 35.52   	 193.29		 34.45   	 -25.43		
-733.64   	-677.49   	 36.30   	 269.58		 34.34   	  -5.09		
-763.55   	-565.80   	 37.38   	 361.14		 34.32   	  30.52		
-841.37   	-483.09   	 38.82   	 498.47		 34.45   	  66.12		
-855.71   	-424.80   	 40.81   	 686.67		 34.71   	  91.56		
-883.18   	-405.27   	 43.56   	 946.08		 35.08   	 106.82		
-912.48   	-415.04   	 47.34   	1220.75		 35.50   	 101.73		
-927.12   	-414.73   	 52.23   	1469.98		 35.91   	  91.56		
-910.64   	-415.04   	 58.11   	1622.58		 36.28   	  50.86		
-924.07   	-414.43   	 64.60   	1658.18		 36.48(A)	   0.00		
-943.91   	-417.79   	 71.23   	1571.71		 36.48   	 -61.04		
-931.70   	-394.90   	 77.52   	1383.51		 36.24   	-116.99		
-902.10   	-367.43   	 83.05   	1164.80		 35.77   	-167.85		
-876.16   	-330.81   	 87.71   	 966.43		 35.10   	-193.29		
-823.06   	-272.83   	 91.58   	 803.66		 34.32   	-198.37		
-779.11   	-203.86   	 94.79   	 661.24		 33.53   	-172.94		
-740.36   	-136.11   	 97.44   	 528.99		 32.84   	-122.07		
-689.09   	-74.77   	 99.55   	 391.66		 32.35   	 -50.86		
-653.99   	-24.72   	101.12   	 274.67		 32.15   	  20.35		
-625.31   	  1.83   	102.22   	 213.63		 32.23   	  76.30		
-607.91   	 18.31   	103.07   	 203.46		 32.53   	  96.64		
-598.45   	 31.74   	103.89   	 269.58		 32.92   	  96.64		
-589.29   	 38.45   	104.96   	 386.57		 33.31   	  61.04		
-582.89   	 43.95   	106.51   	 549.34		 33.55   	  -5.09		
-573.12   	 50.66   	108.71   	 732.45		 33.53   	 -96.64		
-570.68   	 50.66   	111.64   	 910.47		 33.14   	-188.20		
