  I     	  LV     	  LV'		  PA     	  PA'		
-129.70   	 21.44   	  91.56		 26.51   	 -30.52		
-149.84   	 21.81   	  91.56		 26.39   	 -30.52		
-161.44   	 22.18   	  91.56		 26.27   	 -20.35		
-155.03   	 22.54   	  86.47		 26.19   	 -15.26		
-116.58   	 22.89   	  81.38		 26.12   	  -5.09		
-31.13   	 23.21   	  66.12		 26.10   	   0.00		
111.39   	 23.48   	  50.86		 26.10   	   5.09		
307.92   	 23.68   	  30.52		 26.12   	  15.26		
532.23   	 23.80   	  15.26		 26.19   	  25.43		
729.06   	 23.87   	   5.09		 26.29   	  20.35		
832.21(R)	 23.89   	 -10.17		 26.37   	  25.43		
801.09   	 23.85   	 -15.26		 26.47   	  15.26		
651.86   	 23.78(E)	 -10.17		 26.53   	  15.26		
458.98   	 23.74   	  10.17		 26.59   	   0.00		
312.50   	 23.78   	  30.52		 26.59   	 -10.17		
258.79   	 23.91   	  76.30		 26.55   	 -15.26		
275.88   	 24.21   	 122.07		 26.49   	 -30.52		
300.29   	 24.70   	 198.37		 26.37   	 -25.43		
280.46   	 25.49   	 274.67		 26.27   	 -35.61		
207.52   	 26.59   	 371.31		 26.12   	 -30.52		
108.03   	 28.08   	 473.04		 26.00   	 -25.43		
 16.78   	 29.97   	 579.86		 25.90   	 -20.35		
-45.47   	 32.29   	 686.67		 25.82   	 -20.35		
-73.55   	 35.04   	 798.57		 25.74   	 -20.35		
-73.85   	 38.23   	 905.39		 25.66   	 -15.26		
-57.98   	 41.85   	1017.29		 25.60   	 -20.35		
-40.89   	 45.92   	1119.02		 25.51   	 -15.26		
-33.87   	 50.40   	1220.75		 25.45   	 -15.26		
-38.15   	 55.28   	1312.30		 25.39   	 -10.17		
-46.69   	 60.53   	1378.43		 25.35   	 -10.17		
-50.96   	 66.04   	1419.12		 25.31(D)	   5.09		
-48.83   	 71.72   	1414.03		 25.33   	   5.09		
-43.03   	 77.38   	1378.43		 25.35   	  20.35		
-37.84   	 82.89   	1302.13		 25.43   	  30.52		
-34.79   	 88.10   	1205.49		 25.55   	  35.61		
-32.35   	 92.92   	1083.41		 25.70   	  40.69		
-28.99   	 97.25   	 966.43		 25.86   	  55.95		
-24.41   	101.12   	 854.52		 26.08   	  61.04		
-19.53   	104.54   	 757.88		 26.33   	  71.21		
-14.34   	107.57   	 686.67		 26.61   	  86.47		
-10.38   	110.31   	 640.89		 26.96   	  91.56		
 -7.02   	112.88   	 620.55		 27.32   	 106.82		
 -3.97   	115.36   	 610.37		 27.75   	 111.90		
  0.00   	117.80   	 615.46		 28.20   	 122.07		
  6.10   	120.26   	 620.55		 28.69   	 132.25		
 13.12   	122.75   	 620.55		 29.22   	 132.25		
 20.14   	125.23   	 605.29		 29.75   	 137.33		
 26.86   	127.65   	 590.03		 30.29   	 147.51		
 33.26   	130.01   	 549.34		 30.88   	 142.42		
 39.67   	132.21   	 503.56		 31.45   	 152.59		
 47.30   	134.22   	 452.69		 32.06   	 157.68		
 55.85   	136.03   	 391.66		 32.70   	 162.77		
 65.31   	137.60   	 335.71		 33.35   	 167.85		
 74.77   	138.94   	 295.01		 34.02   	 172.94		
 83.92   	140.12   	 269.58		 34.71   	 183.11		
 93.38   	141.20   	 254.32		 35.44   	 188.20		
103.45   	142.22   	 259.41		 36.20   	 193.29		
114.75   	143.25   	 279.75		 36.97   	 198.37		
127.26   	144.37   	 295.01		 37.76   	 193.29		
140.69   	145.55   	 310.27		 38.53   	 188.20		
153.81   	146.79   	 325.53		 39.29   	 183.11		
166.32   	148.10   	 320.45		 40.02   	 167.85		
177.61   	149.38   	 295.01		 40.69   	 157.68		
186.77   	150.56   	 259.41		 41.32   	 142.42		
193.79   	151.60   	 208.54		 41.89   	 127.16		
196.23   	152.43   	 127.16		 42.40   	 116.99		
193.18   	152.94   	  45.78		 42.87   	 101.73		
185.24   	153.12(S)	 -45.78		 43.28   	  96.64		
172.73   	152.94   	-137.33		 43.66   	  86.47		
157.78   	152.39   	-213.63		 44.01   	  81.38		
141.30   	151.54   	-274.67		 44.33   	  71.21		
123.90   	150.44   	-305.19		 44.62   	  71.21		
105.59   	149.22   	-310.27		 44.90   	  61.04		
 86.67   	147.98   	-300.10		 45.15   	  50.86		
 67.14   	146.77   	-274.67		 45.35   	  45.78		
 48.22   	145.68   	-228.89		 45.53   	  30.52		
 30.21   	144.76   	-183.11		 45.66   	  30.52		
 13.43   	144.03   	-147.51		 45.78   	  15.26		
 -2.75   	143.44   	-132.25		 45.84   	  10.17		
-17.40   	142.91   	-137.33		 45.88   	   5.09		
-30.82   	142.36   	-162.77		 45.90   	   5.09		
-42.72   	141.71   	-198.37		 45.92(S)	   0.00		
-53.10   	140.92   	-239.06		 45.92   	   0.00		
-61.95   	139.96   	-274.67		 45.92   	  -5.09		
-69.58   	138.86   	-300.10		 45.90   	   0.00		
-75.38   	137.66   	-315.36		 45.90   	 -10.17		
-79.65   	136.40   	-320.45		 45.86   	  -5.09		
-82.70   	135.12   	-330.62		 45.84   	 -15.26		
-84.84   	133.79   	-330.62		 45.78   	 -15.26		
-87.28   	132.47   	-335.71		 45.72   	 -20.35		
-89.42   	131.13   	-345.88		 45.64   	 -20.35		
-91.55   	129.75   	-361.14		 45.55   	 -25.43		
-93.08   	128.30   	-381.48		 45.45   	 -20.35		
-93.99   	126.77   	-406.92		 45.37   	 -20.35		
-93.69   	125.15   	-427.26		 45.29   	 -20.35		
-93.08   	123.44   	-452.69		 45.21   	 -20.35		
-92.16   	121.63   	-467.95		 45.13   	 -20.35		
-91.25   	119.76   	-488.30		 45.05   	 -20.35		
-90.33   	117.80   	-518.82		 44.96   	 -30.52		
-89.42   	115.73   	-554.42		 44.84   	 -40.69		
-87.59   	113.51   	-605.29		 44.68   	 -50.86		
-85.75   	111.09   	-671.41		 44.48   	 -55.95		
-84.53   	108.40   	-742.62		 44.25   	 -71.21		
-83.92   	105.43   	-803.66		 43.97   	 -76.30		
-84.53   	102.22   	-864.70		 43.66   	 -81.38		
-85.45   	 98.76   	-920.65		 43.34   	 -86.47		
-85.45   	 95.08   	-976.60		 42.99   	 -86.47		
-83.92   	 91.17   	-1042.72		 42.64   	 -91.56		
-81.48   	 87.00   	-1108.85		 42.28   	 -91.56		
-79.04   	 82.56   	-1174.97		 41.91   	 -91.56		
-77.51   	 77.86   	-1246.18		 41.55   	-101.73		
-77.21   	 72.88   	-1297.04		 41.14   	-106.82		
-77.21   	 67.69   	-1332.65		 40.71   	-106.82		
-76.90   	 62.36   	-1342.82		 40.28   	-111.90		
-76.60   	 56.99   	-1322.48		 39.84   	-106.82		
-76.29   	 51.70   	-1271.61		 39.41   	 -96.64		
-76.29   	 46.61   	-1195.32		 39.02   	 -86.47		
-76.90   	 41.83   	-1083.41		 38.68   	 -76.30		
-76.90   	 37.50   	-961.34		 38.37   	 -55.95		
-76.90   	 33.65   	-824.00		 38.15   	 -35.61		
-76.90   	 30.36   	-691.76		 38.01   	 -30.52		
-76.90   	 27.59   	-559.51		 37.88   	 -15.26		
-76.29   	 25.35   	-447.61		 37.82   	 -20.35		
-75.38   	 23.56   	-361.14		 37.74   	 -15.26		
-74.46   	 22.12   	-289.93		 37.68   	 -25.43		
-73.85   	 20.96   	-249.24		 37.58   	 -25.43		
-73.85   	 19.96   	-218.72		 37.48   	 -35.61		
-74.16   	 19.08   	-208.54		 37.33   	 -45.78		
-74.46   	 18.25   	-203.46		 37.15   	 -40.69		
-74.77   	 17.44   	-198.37		 36.99   	 -40.69		
-74.77   	 16.64   	-193.29		 36.83   	 -35.61		
-74.77   	 15.87   	-183.11		 36.68   	 -35.61		
-74.46   	 15.14   	-178.03		 36.54   	 -25.43		
-73.85   	 14.43   	-152.59		 36.44   	 -20.35		
-72.94   	 13.81   	-132.25		 36.36   	 -15.26		
-72.63   	 13.29   	-111.90		 36.30   	 -15.26		
-73.24   	 12.84   	 -81.38		 36.24   	 -20.35		
-74.16   	 12.51   	 -50.86		 36.15   	 -15.26		
-74.77   	 12.31   	 -30.52		 36.09   	 -25.43		
-74.77   	 12.19   	 -10.17		 35.99   	 -25.43		
-74.16   	 12.15(D)	   5.09		 35.89   	 -25.43		
-73.24   	 12.17   	  20.35		 35.79   	 -30.52		
-72.02   	 12.25   	  35.61		 35.67   	 -25.43		
-71.11   	 12.39   	  35.61		 35.56   	 -30.52		
-70.50   	 12.53   	  45.78		 35.44   	 -30.52		
-69.89   	 12.72   	  45.78		 35.32   	 -30.52		
-69.89   	 12.90   	  40.69		 35.20   	 -30.52		
-70.80   	 13.06   	  45.78		 35.08   	 -35.61		
-71.72   	 13.25   	  45.78		 34.93   	 -35.61		
-72.63   	 13.43   	  40.69		 34.79   	 -35.61		
-72.94   	 13.59   	  45.78		 34.65   	 -40.69		
-72.63   	 13.77   	  40.69		 34.49   	 -40.69		
-72.02   	 13.94   	  45.78		 34.32   	 -45.78		
-71.11   	 14.12   	  45.78		 34.14   	 -45.78		
-69.89   	 14.30   	  50.86		 33.96   	 -45.78		
-68.36   	 14.51   	  50.86		 33.77   	 -45.78		
-66.83   	 14.71   	  55.95		 33.59   	 -45.78		
-65.61   	 14.93   	  55.95		 33.41   	 -45.78		
-65.00   	 15.16   	  50.86		 33.22   	 -40.69		
-65.00   	 15.36   	  50.86		 33.06   	 -45.78		
-65.31   	 15.56   	  45.78		 32.88   	 -45.78		
-65.92   	 15.75   	  40.69		 32.70   	 -40.69		
-66.22   	 15.91   	  35.61		 32.53   	 -40.69		
-66.22   	 16.05   	  25.43		 32.37   	 -45.78		
-65.92   	 16.15   	  25.43		 32.19   	 -40.69		
-65.00   	 16.26   	  20.35		 32.02   	 -40.69		
-64.39   	 16.34   	  20.35		 31.86   	 -40.69		
-64.39   	 16.42   	  15.26		 31.70   	 -45.78		
-64.39   	 16.48   	  20.35		 31.52   	 -40.69		
-64.09   	 16.56   	  20.35		 31.35   	 -45.78		
-61.95   	 16.64   	  20.35		 31.17   	 -40.69		
-57.98   	 16.72   	  20.35		 31.01   	 -40.69		
-53.10   	 16.81   	  25.43		 30.84   	 -40.69		
-48.52   	 16.91   	  25.43		 30.68   	 -35.61		
-44.25   	 17.01   	  25.43		 30.54   	 -40.69		
-39.37   	 17.11   	  30.52		 30.38   	 -35.61		
-33.87   	 17.23   	  20.35		 30.23   	 -30.52		
-28.38   	 17.31   	  20.35		 30.11   	 -35.61		
-24.11   	 17.40   	  20.35		 29.97   	 -35.61		
-20.14   	 17.48   	  10.17		 29.83   	 -30.52		
-14.65   	 17.52   	  10.17		 29.70   	 -35.61		
 -5.19   	 17.56   	   0.00		 29.56   	 -35.61		
  8.24   	 17.56   	   0.00		 29.42   	 -35.61		
 23.50   	 17.56   	  -5.09		 29.28   	 -40.69		
 36.01   	 17.54   	  -5.09		 29.11   	 -40.69		
 42.11   	 17.52   	  -5.09		 28.95   	 -35.61		
 39.98   	 17.50   	  -5.09		 28.81   	 -40.69		
 32.35   	 17.48   	  -5.09		 28.65   	 -40.69		
 23.80   	 17.46   	  -5.09		 28.48   	 -35.61		
 17.40   	 17.44   	   5.09		 28.34   	 -40.69		
 13.73   	 17.46   	   5.09		 28.18   	 -35.61		
 10.68   	 17.48   	  15.26		 28.04   	 -30.52		
  4.88   	 17.54   	  15.26		 27.91   	 -30.52		
 -7.02   	 17.60   	  25.43		 27.79   	 -30.52		
-25.02   	 17.70   	  35.61		 27.67   	 -30.52		
-46.08   	 17.84   	  35.61		 27.55   	 -30.52		
-65.31   	 17.99   	  40.69		 27.43   	 -25.43		
-78.43   	 18.15   	  45.78		 27.32   	 -30.52		
-83.62   	 18.33   	  40.69		 27.20   	 -25.43		
-82.40   	 18.49   	  40.69		 27.10   	 -20.35		
-79.04   	 18.66   	  35.61		 27.02   	 -25.43		
-76.60   	 18.80   	  30.52		 26.92   	 -15.26		
-75.99   	 18.92   	  25.43		 26.86   	 -20.35		
-75.68   	 19.02   	  15.26		 26.78   	 -15.26		
-74.77   	 19.08   	  10.17		 26.71   	 -10.17		
-72.94   	 19.13   	   5.09		 26.67   	 -15.26		
-71.41   	 19.15   	   5.09		 26.61   	 -10.17		
-70.19   	 19.17   	   5.09		 26.57   	 -10.17		
-69.58   	 19.19   	  15.26		 26.53   	 -10.17		
-68.97   	 19.25   	  15.26		 26.49   	 -15.26		
-67.44   	 19.31   	  30.52		 26.43   	 -15.26		
-65.61   	 19.43   	  40.69		 26.37   	 -15.26		
-65.00   	 19.59   	  55.95		 26.31   	 -15.26		
-68.36   	 19.82   	  66.12		 26.25   	 -15.26		
-79.04   	 20.08   	  76.30		 26.19   	 -20.35		
-97.05   	 20.39   	  81.38		 26.10   	 -15.26		
-119.63   	 20.71   	  86.47		 26.04   	 -20.35		
-142.21   	 21.06   	  86.47		 25.96   	 -25.43		
-157.78   	 21.40   	  76.30		 25.86   	 -25.43		
-160.52   	 21.71   	  71.21		 25.76   	 -25.43		
-141.60   	 21.99   	  61.04		 25.66   	 -25.43		
-86.98   	 22.24   	  45.78		 25.55   	 -20.35		
 17.09   	 22.42   	  35.61		 25.47   	 -25.43		
178.53   	 22.56   	  20.35		 25.37   	 -15.26		
388.79   	 22.64   	   5.09		 25.31   	 -10.17		
610.96   	 22.67   	   0.00		 25.27   	   0.00		
781.56   	 22.67   	 -10.17		 25.27   	   0.00		
838.62(R)	 22.62(E)	  -5.09		 25.27   	   5.09		
760.19   	 22.60   	   5.09		 25.29   	  10.17		
586.24   	 22.62   	  15.26		 25.33   	   5.09		
403.44   	 22.69   	  40.69		 25.35   	  10.17		
291.14   	 22.85   	  76.30		 25.39   	   0.00		
270.39   	 23.15   	 116.99		 25.39   	  -5.09		
298.16   	 23.62   	 172.94		 25.37   	 -10.17		
309.14   	 24.31   	 233.98		 25.33   	 -15.26		
267.03   	 25.25   	 315.36		 25.27   	 -15.26		
178.83   	 26.51   	 401.83		 25.21   	 -15.26		
 77.21   	 28.12   	 498.47		 25.15   	 -20.35		
 -6.41   	 30.11   	 600.20		 25.07   	 -10.17		
-56.46   	 32.51   	 701.93		 25.03   	 -15.26		
-72.63   	 35.32   	 813.83		 24.96   	 -10.17		
-63.78   	 38.58   	 920.65		 24.92   	 -10.17		
-44.86   	 42.26   	1032.55		 24.88   	  -5.09		
-30.82   	 46.39   	1139.36		 24.86   	 -10.17		
-30.52   	 50.95   	1241.09		 24.82   	   0.00		
-39.67   	 55.91   	1332.65		 24.82   	   0.00		
-47.91   	 61.24   	1388.60		 24.82   	   5.09		
-48.83   	 66.80   	1419.12		 24.84   	  10.17		
-42.42   	 72.47   	1403.86		 24.88   	  15.26		
-35.10   	 78.09   	1358.08		 24.94   	  20.35		
-31.13   	 83.52   	1276.70		 25.03   	  30.52		
-29.60   	 88.63   	1169.88		 25.15   	  35.61		
-28.69   	 93.31   	1047.81		 25.29   	  45.78		
-26.25   	 97.50   	 930.82		 25.47   	  50.86		
-21.97   	101.22   	 813.83		 25.68   	  61.04		
-16.78   	104.48   	 722.28		 25.92   	  66.12		
-11.60   	107.36   	 651.07		 26.19   	  71.21		
 -7.02   	109.97   	 615.46		 26.47   	  81.38		
 -2.75   	112.43   	 600.20		 26.80   	  86.47		
  1.83   	114.83   	 600.20		 27.14   	  91.56		
  7.02   	117.23   	 605.29		 27.51   	 101.73		
 12.21   	119.65   	 620.55		 27.91   	 111.90		
 17.40   	122.14   	 620.55		 28.36   	 116.99		
 22.28   	124.62   	 620.55		 28.83   	 127.16		
 27.77   	127.10   	 600.20		 29.34   	 137.33		
 34.48   	129.50   	 579.86		 29.89   	 147.51		
 42.72   	131.82   	 534.08		 30.48   	 152.59		
 52.19   	133.96   	 493.39		 31.09   	 167.85		
 62.56   	135.93   	 437.43		 31.76   	 172.94		
 72.94   	137.68   	 381.48		 32.45   	 178.03		
 83.62   	139.21   	 335.71		 33.16   	 183.11		
 94.30   	140.55   	 305.19		 33.90   	 188.20		
105.59   	141.77   	 284.84		 34.65   	 193.29		
117.19   	142.91   	 279.75		 35.42   	 193.29		
129.39   	144.03   	 279.75		 36.20   	 193.29		
141.91   	145.15   	 284.84		 36.97   	 193.29		
154.42   	146.29   	 284.84		 37.74   	 183.11		
166.02   	147.43   	 279.75		 38.47   	 183.11		
176.70   	148.54   	 259.41		 39.21   	 167.85		
186.16   	149.58   	 239.06		 39.88   	 162.77		
194.40   	150.54   	 203.46		 40.53   	 147.51		
199.89   	151.35   	 157.68		 41.12   	 132.25		
202.03   	151.98   	  96.64		 41.65   	 127.16		
198.97   	152.37   	  25.43		 42.16   	 111.90		
190.73   	152.47(S)	 -55.95		 42.60   	  96.64		
177.31   	152.25   	-147.51		 42.99   	  91.56		
160.83   	151.66   	-223.80		 43.36   	  76.30		
143.13   	150.76   	-289.93		 43.66   	  71.21		
125.43   	149.60   	-320.45		 43.95   	  61.04		
107.42   	148.32   	-330.62		 44.19   	  50.86		
 89.11   	147.00   	-300.10		 44.39   	  45.78		
 69.58   	145.80   	-254.32		 44.58   	  35.61		
 50.05   	144.78   	-193.29		 44.72   	  25.43		
 30.82   	144.01   	-142.42		 44.82   	  20.35		
 13.12   	143.44   	-101.73		 44.90   	  10.17		
 -2.14   	143.03   	 -86.47		 44.94   	   5.09		
-16.17   	142.69   	 -91.56		 44.96(S)	   0.00		
-28.69   	142.32   	-116.99		 44.96   	  -5.09		
-40.89   	141.85   	-167.85		 44.94   	  -5.09		
-52.49   	141.18   	-223.80		 44.92   	  -5.09		
-62.56   	140.28   	-284.84		 44.90   	 -15.26		
-70.80   	139.14   	-340.79		 44.84   	 -10.17		
-77.21   	137.78   	-391.66		 44.80   	 -20.35		
-82.09   	136.22   	-427.26		 44.72   	 -25.43		
-85.75   	134.51   	-447.61		 44.62   	 -30.52		
-88.20   	132.72   	-457.78		 44.50   	 -30.52		
-89.42   	130.88   	-457.78		 44.37   	 -40.69		
-89.42   	129.05   	-442.52		 44.21   	 -35.61		
-88.81   	127.28   	-427.26		 44.07   	 -35.61		
-88.20   	125.57   	-406.92		 43.93   	 -35.61		
-88.20   	123.95   	-381.48		 43.78   	 -30.52		
-88.81   	122.42   	-371.31		 43.66   	 -30.52		
-90.03   	120.94   	-356.05		 43.54   	 -25.43		
-90.64   	119.51   	-371.31		 43.44   	 -30.52		
-90.03   	118.03   	-401.83		 43.32   	 -35.61		
-88.50   	116.42   	-462.87		 43.17   	 -45.78		
-86.06   	114.57   	-528.99		 42.99   	 -55.95		
-83.92   	112.45   	-620.55		 42.77   	 -66.12		
-82.40   	109.97   	-712.10		 42.50   	 -81.38		
-82.09   	107.12   	-798.57		 42.18   	 -91.56		
-82.40   	103.93   	-864.70		 41.81   	-106.82		
-82.70   	100.47   	-925.73		 41.38   	-111.90		
-82.09   	 96.76   	-971.51		 40.94   	-116.99		
-80.57   	 92.88   	-1022.38		 40.47   	-127.16		
-78.13   	 88.79   	-1073.24		 39.96   	-127.16		
-76.29   	 84.50   	-1129.19		 39.45   	-127.16		
-75.07   	 79.98   	-1190.23		 38.94   	-137.33		
-74.46   	 75.22   	-1251.27		 38.39   	-132.25		
-73.85   	 70.21   	-1307.22		 37.86   	-137.33		
-72.63   	 64.98   	-1347.91		 37.31   	-137.33		
-70.80   	 59.59   	-1368.26		 36.76   	-132.25		
-69.58   	 54.12   	-1353.00		 36.24   	-132.25		
-68.66   	 48.71   	-1312.30		 35.71   	-116.99		
-68.97   	 43.46   	-1225.83		 35.24   	-101.73		
-70.19   	 38.56   	-1119.02		 34.83   	 -91.56		
-71.11   	 34.08   	-986.77		 34.47   	 -76.30		
-71.72   	 30.13   	-844.35		 34.16   	 -66.12		
-71.72   	 26.75   	-707.02		 33.90   	 -55.95		
-71.11   	 23.93   	-574.77		 33.67   	 -45.78		
-70.19   	 21.63   	-467.95		 33.49   	 -45.78		
-69.89   	 19.76   	-376.40		 33.31   	 -45.78		
-70.50   	 18.25   	-305.19		 33.12   	 -50.86		
-71.41   	 17.03   	-259.41		 32.92   	 -55.95		
-72.33   	 15.99   	-228.89		 32.70   	 -61.04		
-72.94   	 15.08   	-213.63		 32.45   	 -61.04		
-72.33   	 14.22   	-198.37		 32.21   	 -66.12		
-71.72   	 13.43   	-188.20		 31.94   	 -61.04		
-70.80   	 12.68   	-183.11		 31.70   	 -61.04		
-69.89   	 11.94   	-162.77		 31.45   	 -50.86		
-68.97   	 11.29   	-152.59		 31.25   	 -45.78		
-68.36   	 10.68   	-132.25		 31.07   	 -40.69		
-67.14   	 10.15   	-111.90		 30.91   	 -30.52		
-66.22   	  9.70   	 -86.47		 30.78   	 -25.43		
-66.22   	  9.36   	 -61.04		 30.68   	 -20.35		
-67.44   	  9.11   	 -35.61		 30.60   	 -25.43		
-69.27   	  8.97   	 -20.35		 30.50   	 -20.35		
-70.50   	  8.89(D)	   0.00		 30.42   	 -30.52		
-70.19   	  8.89   	  15.26		 30.29   	 -35.61		
-68.05   	  8.95   	  25.43		 30.15   	 -45.78		
-65.61   	  9.05   	  30.52		 29.97   	 -45.78		
-64.39   	  9.18   	  35.61		 29.79   	 -55.95		
-64.70   	  9.32   	  40.69		 29.56   	 -55.95		
-65.61   	  9.48   	  40.69		 29.34   	 -61.04		
-66.22   	  9.64   	  40.69		 29.09   	 -66.12		
-66.22   	  9.81   	  45.78		 28.83   	 -61.04		
-65.61   	  9.99   	  50.86		 28.59   	 -61.04		
-65.31   	 10.19   	  50.86		 28.34   	 -61.04		
-65.31   	 10.40   	  55.95		 28.10   	 -61.04		
-65.92   	 10.62   	  50.86		 27.85   	 -55.95		
-66.53   	 10.82   	  55.95		 27.63   	 -55.95		
-67.44   	 11.05   	  55.95		 27.41   	 -55.95		
-68.05   	 11.27   	  55.95		 27.18   	 -50.86		
-68.05   	 11.50   	  45.78		 26.98   	 -55.95		
-67.75   	 11.68   	  40.69		 26.75   	 -50.86		
-67.14   	 11.84   	  40.69		 26.55   	 -50.86		
-66.22   	 12.00   	  35.61		 26.35   	 -50.86		
-64.39   	 12.15   	  25.43		 26.14   	 -55.95		
-61.95   	 12.25   	  30.52		 25.92   	 -50.86		
-60.12   	 12.37   	  25.43		 25.72   	 -55.95		
-59.51   	 12.47   	  25.43		 25.49   	 -50.86		
-59.81   	 12.57   	  25.43		 25.29   	 -55.95		
-60.42   	 12.68   	  30.52		 25.07   	 -55.95		
-60.42   	 12.80   	  25.43		 24.84   	 -55.95		
-59.51   	 12.90   	  30.52		 24.62   	 -55.95		
-58.29   	 13.02   	  35.61		 24.39   	 -50.86		
-57.37   	 13.16   	  30.52		 24.19   	 -55.95		
-57.07   	 13.29   	  35.61		 23.97   	 -50.86		
-56.46   	 13.43   	  35.61		 23.76   	 -50.86		
-54.93   	 13.57   	  35.61		 23.56   	 -50.86		
-52.19   	 13.71   	  30.52		 23.36   	 -50.86		
-49.13   	 13.84   	  35.61		 23.15   	 -50.86		
-45.17   	 13.98   	  30.52		 22.95   	 -45.78		
-40.89   	 14.10   	  25.43		 22.77   	 -50.86		
-35.71   	 14.20   	  25.43		 22.56   	 -45.78		
-29.91   	 14.30   	  20.35		 22.38   	 -45.78		
-24.72   	 14.38   	  15.26		 22.20   	 -40.69		
-19.23   	 14.45   	  10.17		 22.03   	 -45.78		
-12.82   	 14.49   	  10.17		 21.85   	 -40.69		
 -3.36   	 14.53   	   5.09		 21.69   	 -40.69		
 10.07   	 14.55   	   5.09		 21.53   	 -40.69		
 25.33   	 14.57   	   0.00		 21.36   	 -45.78		
 39.37   	 14.57   	   0.00		 21.18   	 -35.61		
 47.91   	 14.57   	  -5.09		 21.04   	 -40.69		
 48.83   	 14.55   	   0.00		 20.87   	 -35.61		
 43.03   	 14.55   	  -5.09		 20.73   	 -40.69		
 34.18   	 14.53   	   0.00		 20.57   	 -35.61		
 25.94   	 14.53   	  -5.09		 20.43   	 -30.52		
 20.14   	 14.51   	   0.00		 20.31   	 -35.61		
 15.56   	 14.51   	   5.09		 20.16   	 -30.52		
 10.38   	 14.53   	   5.09		 20.04   	 -35.61		
  1.83   	 14.55   	  10.17		 19.90   	 -30.52		
-11.90   	 14.59   	  15.26		 19.78   	 -35.61		
-29.60   	 14.65   	  25.43		 19.63   	 -30.52		
-47.91   	 14.75   	  20.35		 19.51   	 -35.61		
-63.17   	 14.83   	  25.43		 19.37   	 -30.52		
-72.33   	 14.93   	  15.26		 19.25   	 -30.52		
-75.68   	 14.99   	  15.26		 19.13   	 -35.61		
-75.68   	 15.06   	   5.09		 18.98   	 -30.52		
-74.46   	 15.08   	 -10.17		 18.86   	 -30.52		
-73.55   	 15.04   	 -20.35		 18.74   	 -30.52		
-72.94   	 14.95   	 -30.52		 18.62   	 -30.52		
-72.33   	 14.83   	 -35.61		 18.49   	 -30.52		
-71.11   	 14.69   	 -40.69		 18.37   	 -30.52		
-70.19   	 14.53   	 -35.61		 18.25   	 -30.52		
-69.58   	 14.38   	 -35.61		 18.13   	 -35.61		
-69.58   	 14.24   	 -25.43		 17.99   	 -40.69		
-68.66   	 14.14   	 -20.35		 17.82   	 -40.69		
-67.75   	 14.06   	  -5.09		 17.66   	 -45.78		
-66.22   	 14.04   	   5.09		 17.48   	 -50.86		
-65.31   	 14.06   	   5.09		 17.27   	 -45.78		
-66.22   	 14.08   	  15.26		 17.09   	 -50.86		
-72.63   	 14.14   	  10.17		 16.89   	 -45.78		
-87.59   	 14.18   	  10.17		 16.70   	 -40.69		
-110.78   	 14.22   	   5.09		 16.54   	 -35.61		
-139.16   	 14.24   	  -5.09		 16.40   	 -30.52		
-166.02   	 14.22   	 -10.17		 16.28   	 -15.26		
-182.50   	 14.18   	 -15.26		 16.22   	  -5.09		
-180.05   	 14.12   	 -15.26		 16.20   	   5.09		
-145.87   	 14.06   	 -20.35		 16.22   	  10.17		
-65.31   	 13.98   	 -15.26		 16.26   	  20.35		
 71.11   	 13.92   	  -5.09		 16.34   	  25.43		
260.01   	 13.90   	  -5.09		 16.44   	  25.43		
472.41   	 13.88   	   5.09		 16.54   	  20.35		
650.33   	 13.90(E)	  20.35		 16.62   	  15.26		
726.32(R)	 13.98   	  25.43		 16.68   	  10.17		
664.67   	 14.08   	  35.61		 16.72   	   5.09		
490.11   	 14.22   	  50.86		 16.74   	  -5.09		
284.73   	 14.43   	  61.04		 16.72   	 -10.17		
142.21   	 14.67   	  81.38		 16.68   	 -10.17		
106.81   	 14.99   	  96.64		 16.64   	 -20.35		
150.76   	 15.38   	 116.99		 16.56   	 -20.35		
203.86   	 15.85   	 152.59		 16.48   	 -20.35		
209.96   	 16.46   	 198.37		 16.40   	 -25.43		
158.39   	 17.25   	 244.15		 16.30   	 -25.43		
 76.60   	 18.23   	 315.36		 16.20   	 -25.43		
  1.22   	 19.49   	 391.66		 16.09   	 -25.43		
-46.08   	 21.06   	 478.13		 15.99   	 -25.43		
-60.73   	 22.97   	 574.77		 15.89   	 -15.26		
-50.35   	 25.27   	 661.24		 15.83   	  -5.09		
-29.91   	 27.91   	 752.79		 15.81(D)	  10.17		
-13.43   	 30.93   	 829.09		 15.85   	  30.52		
 -8.85   	 34.24   	 890.13		 15.97   	  45.78		
-13.12   	 37.80   	 946.08		 16.15   	  66.12		
-17.70   	 41.59   	 991.86		 16.42   	  71.21		
-16.48   	 45.55   	1032.55		 16.70   	  81.38		
-10.99   	 49.68   	1083.41		 17.03   	  81.38		
 -5.80   	 54.02   	1129.19		 17.35   	  71.21		
 -3.97   	 58.53   	1174.97		 17.64   	  66.12		
 -4.27   	 63.23   	1210.58		 17.90   	  61.04		
 -3.66   	 68.08   	1215.66		 18.15   	  50.86		
 -0.61   	 72.94   	1200.40		 18.35   	  50.86		
  4.58   	 77.74   	1159.71		 18.56   	  55.95		
 11.29   	 82.38   	1088.50		 18.78   	  66.12		
 18.92   	 86.73   	1012.20		 19.04   	  86.47		
