  I     	  II     	  CH1     	  CH1'		  PW     	  PW'		
-19.23   	-55.54   	 -0.02   	   0.00		  8.22   	 111.90		
-19.84   	-59.51   	 -0.02   	   0.00		  8.67   	 122.07		
-21.97   	-65.92   	 -0.02   	   0.00		  9.16   	 122.07		
-24.11   	-71.41   	 -0.02   	   0.00		  9.64   	 122.07		
-24.41   	-73.55   	 -0.02   	   0.00		 10.13   	 116.99		
-21.97   	-72.63   	 -0.02   	   0.00		 10.60   	 101.73		
-18.62   	-69.58   	 -0.02   	   0.00		 11.01   	  76.30		
-15.87   	-67.14   	 -0.02   	   0.00		 11.31   	  55.95		
-15.26   	-66.83   	 -0.02   	   0.00		 11.54   	  30.52		
-16.78   	-68.97   	 -0.02   	   0.00		 11.66(V)	   0.00		
-18.92   	-72.63   	 -0.02   	   0.00		 11.66   	 -25.43		
-21.36   	-76.90   	 -0.02   	   0.00		 11.56   	 -45.78		
-22.89   	-79.96   	 -0.02   	   0.00		 11.37   	 -55.95		
-22.89   	-81.48   	 -0.02   	   0.00		 11.15   	 -71.21		
-21.97   	-81.48   	 -0.02   	   0.00		 10.86   	 -66.12		
-20.75   	-80.57   	 -0.02   	   0.00		 10.60   	 -71.21		
-20.14   	-80.26   	 -0.02   	   0.00		 10.32   	 -61.04		
-19.84   	-80.26   	 -0.02   	   0.00		 10.07   	 -45.78		
-20.14   	-80.87   	 -0.02   	   0.00		  9.89   	 -35.61		
-19.84   	-81.48   	 -0.02   	   0.00		  9.75   	 -20.35		
-18.92   	-81.79   	 -0.02   	   0.00		  9.66   	   0.00		
-17.70   	-81.79   	 -0.02   	   0.00		  9.66   	  15.26		
-16.48   	-81.79   	 -0.02   	   0.00		  9.73   	  25.43		
-15.87   	-82.09   	 -0.02   	   0.00		  9.83   	  40.69		
-15.87   	-83.31   	 -0.02   	   0.00		  9.99   	  45.78		
-17.09   	-85.75   	 -0.02   	   0.00		 10.17   	  45.78		
-19.23   	-89.42   	 -0.02   	   0.00		 10.36   	  45.78		
-21.97   	-93.38   	 -0.02   	   0.00		 10.54   	  45.78		
-24.11   	-96.13   	 -0.02   	   0.00		 10.72   	  30.52		
-25.02   	-97.35   	 -0.02   	   0.00		 10.84   	  20.35		
-24.72   	-97.05   	 -0.02   	   0.00		 10.93   	   0.00		
-23.50   	-96.44   	 -0.02   	   0.00		 10.93   	 -15.26		
-22.28   	-95.21   	 -0.02   	   0.00		 10.86   	 -35.61		
-20.75   	-94.30   	 -0.02   	   0.00		 10.72   	 -55.95		
-19.23   	-93.69   	 -0.02   	   0.00		 10.50   	 -76.30		
-17.70   	-93.38   	 -0.02   	   0.00		 10.19   	 -96.64		
-17.40   	-93.38   	 -0.02   	   0.00		  9.81   	-106.82		
-18.31   	-93.99   	 -0.02   	   0.00		  9.38   	-122.07		
-19.84   	-94.91   	 -0.02   	   0.00		  8.89   	-116.99		
-20.75   	-95.83   	 -0.02   	   0.00		  8.42   	-116.99		
-19.84   	-97.05   	 -0.02   	   0.00		  7.96   	-106.82		
-18.01   	-97.66   	 -0.02   	   0.00		  7.53   	 -91.56		
-16.17   	-97.96   	 -0.02   	   0.00		  7.16   	 -66.12		
-15.26   	-97.35   	 -0.02   	   0.00		  6.90   	 -40.69		
-14.95   	-96.44   	 -0.02   	   0.00		  6.73   	 -15.26		
-15.87   	-94.91   	 -0.02   	   0.00		  6.67   	  10.17		
-17.09   	-93.38   	 -0.02   	   0.00		  6.71   	  35.61		
-18.31   	-91.86   	 -0.02   	   0.00		  6.86   	  50.86		
-19.23   	-90.64   	 -0.02   	   0.00		  7.06   	  66.12		
-18.92   	-90.03   	 -0.02   	   0.00		  7.32   	  71.21		
-18.01   	-89.42   	 -0.02   	   0.00		  7.61   	  76.30		
-17.40   	-89.42   	 -0.02   	   0.00		  7.91   	  71.21		
-17.40   	-89.42   	 -0.02   	   0.00		  8.20   	  66.12		
-18.01   	-88.81   	 -0.02   	   0.00		  8.46   	  55.95		
-18.92   	-88.20   	 -0.02   	   0.00		  8.69   	  45.78		
-18.92   	-87.28   	 -0.02   	   0.00		  8.87   	  30.52		
-18.31   	-86.36   	 -0.02   	   0.00		  8.99   	  25.43		
-17.40   	-86.06   	 -0.02   	   0.00		  9.09   	  10.17		
-16.48   	-86.98   	 -0.02   	   0.00		  9.14   	   5.09		
-15.56   	-88.20   	 -0.02   	   0.00		  9.16   	   0.00		
-14.65   	-88.50   	 -0.02   	   0.00		  9.16   	   0.00		
-14.04   	-86.98   	 -0.02   	   0.00		  9.16   	 -10.17		
-14.04   	-85.14   	 -0.02   	   0.00		  9.11   	   0.00		
-15.56   	-83.62   	 -0.02   	   0.00		  9.11   	  -5.09		
-18.62   	-84.53   	 -0.02   	   0.00		  9.09   	   0.00		
-21.06   	-86.67   	 -0.02   	   0.00		  9.09   	  10.17		
-22.28   	-88.81   	 -0.02   	   0.00		  9.14   	  10.17		
-21.67   	-89.11   	 -0.02   	   0.00		  9.18   	  20.35		
-19.23   	-87.59   	 -0.02   	   0.00		  9.26   	  20.35		
-17.09   	-85.75   	 -0.02   	   0.00		  9.34   	  25.43		
-16.17   	-85.14   	 -0.02   	   0.00		  9.44   	  30.52		
-16.78   	-86.06   	 -0.02   	   0.00		  9.56   	  30.52		
-17.70   	-87.28   	 -0.02   	   0.00		  9.68   	  25.43		
-18.31   	-87.89   	 -0.02   	   0.00		  9.79   	  20.35		
-18.31   	-86.98   	 -0.02   	   0.00		  9.87   	  20.35		
-18.31   	-85.14   	 -0.02   	   0.00		  9.95   	  10.17		
-18.31   	-83.31   	 -0.02   	   0.00		  9.99   	   0.00		
-18.62   	-81.79   	 -0.02   	   0.00		  9.99   	  -5.09		
-18.31   	-81.18   	 -0.02   	   0.00		  9.97   	 -15.26		
-18.01   	-81.48   	 -0.02   	   0.00		  9.91   	 -20.35		
-18.31   	-82.70   	 -0.02   	   0.00		  9.83   	 -25.43		
-19.23   	-84.53   	 -0.02   	   0.00		  9.73   	 -30.52		
-21.06   	-86.06   	 -0.02   	   0.00		  9.60   	 -25.43		
-22.58   	-86.67   	 -0.02   	   0.00		  9.50   	 -25.43		
-22.89   	-85.14   	 -0.02   	   0.00		  9.40   	 -15.26		
-22.28   	-83.31   	 -0.02   	   0.00		  9.34   	 -10.17		
-21.36   	-81.48   	 -0.02   	   0.00		  9.30   	  -5.09		
-21.36   	-80.87   	 -0.02   	   0.00		  9.28   	   0.00		
-21.36   	-80.26   	 -0.02   	   0.00		  9.28   	   5.09		
-21.67   	-79.96   	 -0.02   	   0.00		  9.30   	   5.09		
-21.36   	-79.35   	 -0.02   	   0.00		  9.32   	   5.09		
-21.36   	-79.04   	 -0.02   	   0.00		  9.34   	   0.00		
-21.67   	-79.04   	 -0.02   	   0.00		  9.34   	   0.00		
-22.58   	-78.74   	 -0.02   	   0.00		  9.34   	  -5.09		
-22.58   	-77.51   	 -0.02   	   0.00		  9.32   	 -10.17		
-21.97   	-75.68   	 -0.02   	   0.00		  9.28   	 -10.17		
-20.45   	-74.46   	 -0.02   	   0.00		  9.24   	 -10.17		
-18.92   	-74.46   	 -0.02   	   0.00		  9.20   	 -15.26		
-18.62   	-75.38   	 -0.02   	   0.00		  9.14   	  -5.09		
-19.23   	-76.60   	 -0.02   	   0.00		  9.11   	  -5.09		
-21.06   	-76.90   	 -0.02   	   0.00		  9.09   	   0.00		
-22.89   	-75.99   	 -0.02   	   0.00		  9.09   	  10.17		
-24.11   	-73.85   	 -0.02   	   0.00		  9.14   	  10.17		
-24.11   	-70.19   	 -0.02   	   0.00		  9.18   	  20.35		
-22.58   	-65.92   	 -0.02   	   0.00		  9.26   	  20.35		
-20.45   	-61.95   	 -0.02   	   0.00		  9.34   	  20.35		
-18.31   	-58.90   	 -0.02   	   0.00		  9.42   	  25.43		
-17.09   	-57.07   	 -0.02   	   0.00		  9.52   	  25.43		
-16.17   	-55.85   	 -0.02   	   0.00		  9.62   	  25.43		
-14.04   	-53.10   	 -0.02   	   0.00		  9.73   	  25.43		
-10.38   	-46.69   	 -0.02   	   0.00		  9.83   	  15.26		
 -5.19   	-35.10   	 -0.02   	   0.00		  9.89   	  20.35		
  0.31   	-19.53   	 -0.02   	   0.00		  9.97   	  10.17		
  4.27   	 -3.97   	 -0.02   	   0.00		 10.01   	  10.17		
  6.10   	  7.63   	 -0.02   	   0.00		 10.05   	   5.09		
  6.10   	 11.90   	 -0.02   	   0.00		 10.07   	   5.09		
  6.10   	 11.29   	 -0.02   	   0.00		 10.09   	   5.09		
  7.63   	 10.68   	 -0.02   	   0.00		 10.11   	   5.09		
 12.51   	 13.43   	 -0.02   	   0.00		 10.13   	   0.00		
 19.84   	 17.09   	 -0.02   	   0.00		 10.13   	   0.00		
 26.55   	 15.87   	 -0.02   	   0.00		 10.13   	   0.00		
 30.21   	  3.36   	 -0.02   	   0.00		 10.13   	   0.00		
 28.99   	-19.53   	 -0.02   	   0.00		 10.13   	   0.00		
 23.80   	-44.86   	 -0.02   	   0.00		 10.13   	   5.09		
 18.01   	-62.87   	 -0.02   	   0.00		 10.15   	   0.00		
 13.73   	-67.14   	 -0.02   	   0.00		 10.15   	   5.09		
 12.82   	-58.90   	 -0.02   	   0.00		 10.17   	   5.09		
 14.04   	-45.47   	 -0.02   	   0.00		 10.19   	   5.09		
 15.56   	-34.79   	 -0.02   	   0.00		 10.21   	  10.17		
 16.17   	-29.91   	 -0.02   	   0.00		 10.25   	  10.17		
 15.26   	-28.69   	 -0.02   	   0.00		 10.29   	   5.09		
 11.90   	-27.16   	 -0.02   	   0.00		 10.32   	  10.17		
  6.10   	-24.11   	 -0.02   	   0.00		 10.36   	   5.09		
 -1.53   	-21.67   	 -0.02   	   0.00		 10.38   	   0.00		
-10.38   	-24.72   	 -0.02   	   0.00		 10.38   	   0.00		
-17.70   	-36.32   	 -0.02   	   0.00		 10.38   	 -10.17		
-22.28   	-54.32   	 -0.02   	   0.00		 10.34   	 -15.26		
-23.19   	-72.94   	 -0.02   	   0.00		 10.27   	 -15.26		
-21.67   	-85.45   	 -0.02   	   0.00		 10.21   	 -25.43		
-19.53   	-89.11   	 -0.02   	   0.00		 10.11   	 -25.43		
-18.31   	-85.75   	 -0.02   	   0.00		 10.01   	 -20.35		
-18.31   	-79.04   	 -0.02   	   0.00		  9.93   	 -15.26		
-19.23   	-73.55   	 -0.02   	   0.00		  9.87   	 -10.17		
-20.14   	-70.50   	 -0.02   	   0.00		  9.83   	   5.09		
-20.14   	-69.58   	 -0.02   	   0.00		  9.85   	  15.26		
-19.53   	-69.27   	 -0.02   	   0.00		  9.91   	  30.52		
-18.62   	-68.66   	 -0.02   	   0.00		 10.03   	  40.69		
-17.70   	-66.83   	 -0.02   	   0.00		 10.19   	  45.78		
-17.09   	-64.09   	 -0.02   	   0.00		 10.38   	  55.95		
-16.48   	-60.42   	 -0.02   	   0.00		 10.60   	  61.04		
-16.48   	-56.15   	 -0.02   	   0.00		 10.84   	  55.95		
-17.09   	-51.57   	 -0.02   	   0.00		 11.07   	  55.95		
-18.62   	-49.13   	 -0.02   	   0.00		 11.29   	  45.78		
-20.75   	-50.05   	 -0.02   	   0.00		 11.48   	  40.69		
-21.97   	-50.96   	 -0.02   	   0.00		 11.64   	  35.61		
-20.75   	-39.67   	 -0.02   	   0.00		 11.78   	  25.43		
-14.65   	  7.02   	 -0.02   	   0.00		 11.88   	  15.26		
 -0.31   	115.36   	 -0.02   	   0.00		 11.94   	  10.17		
 24.72   	301.82   	 -0.02   	   0.00		 11.98   	   5.09		
 62.87   	564.27   	 -0.02   	   0.00		 12.00   	   5.09		
113.83   	880.43   	 -0.02   	   0.00		 12.02   	   0.00		
172.73   	1210.94   	 -0.02   	   0.00		 12.02   	   0.00		
264.89   	1637.57(R)	 -0.02   	   0.00		 12.02   	  -5.09		
267.33   	1557.62   	 -0.02   	   0.00		 12.00   	   0.00		
230.71   	1229.25   	 -0.02   	   0.00		 12.00   	   0.00		
165.41   	729.68   	 -0.02   	   0.00		 12.00   	   0.00		
 93.08   	220.64   	 -0.02   	   0.00		 12.00   	  -5.09		
 35.10   	-131.84   	 -0.02   	   0.00		 11.98   	   0.00		
  1.53   	-257.26   	 -0.02   	   0.00		 11.98   	 -10.17		
-10.68   	-208.74   	 -0.02   	   0.00		 11.94   	  -5.09		
-12.82   	-102.84   	 -0.02   	   0.00		 11.92   	  -5.09		
-13.43   	-31.43   	 -0.02   	   0.00		 11.90   	  -5.09		
-14.95   	-19.23   	 -0.02   	   0.00		 11.88   	  -5.09		
-15.87   	-39.06   	 -0.02   	   0.00		 11.86   	  -5.09		
-14.95   	-55.24   	 -0.02   	   0.00		 11.84   	   0.00		
-13.12   	-54.32   	 -0.02   	   0.00		 11.84   	  -5.09		
-12.51   	-43.64   	 -0.02   	   0.00		 11.82   	   0.00		
-14.04   	-34.48   	 -0.02   	   0.00		 11.82   	 -10.17		
-16.48   	-32.65   	 -0.02   	   0.00		 11.78   	 -10.17		
-18.92   	-36.62   	 -0.02   	   0.00		 11.74   	 -20.35		
-20.14   	-42.11   	 -0.02   	   0.00		 11.66   	 -20.35		
-19.84   	-45.17   	 -0.02   	   0.00		 11.58   	 -25.43		
-18.31   	-42.11   	 -0.02   	   0.00		 11.48   	 -20.35		
-16.48   	-35.10   	 -0.02   	   0.00		 11.39   	 -10.17		
-14.65   	-28.38   	 -0.02   	   0.00		 11.35   	   5.09		
-13.73   	-25.02   	 -0.02   	   0.00		 11.37   	  25.43		
-13.43   	-24.41   	 -0.02   	   0.00		 11.48   	  40.69		
-13.43   	-24.41   	 -0.02   	   0.00		 11.64   	  71.21		
-12.82   	-23.50   	 -0.02   	   0.00		 11.92   	  81.38		
-11.60   	-21.06   	 -0.02   	   0.00		 12.25   	 101.73		
-10.68   	-18.01   	 -0.02   	   0.00		 12.66   	 101.73		
-10.38   	-14.34   	 -0.02   	   0.00		 13.06   	 106.82		
-10.38   	-10.68   	 -0.02   	   0.00		 13.49   	 101.73		
-10.38   	 -6.71   	 -0.02   	   0.00		 13.90   	  91.56		
 -9.77   	 -1.83   	 -0.02   	   0.00		 14.26   	  71.21		
 -8.85   	  3.05   	 -0.02   	   0.00		 14.55   	  61.04		
 -7.93   	  7.93   	 -0.02   	   0.00		 14.79   	  35.61		
 -7.02   	 12.51   	 -0.02   	   0.00		 14.93   	  15.26		
 -6.71   	 16.17   	 -0.02   	   0.00		 14.99(A)	 -10.17		
 -6.10   	 19.84   	 -0.02   	   0.00		 14.95   	 -25.43		
 -5.19   	 23.50   	 -0.02   	   0.00		 14.85   	 -45.78		
 -4.27   	 27.16   	 -0.02   	   0.00		 14.67   	 -55.95		
 -3.05   	 31.74   	 -0.02   	   0.00		 14.45   	 -66.12		
 -1.83   	 36.93   	 -0.02   	   0.00		 14.18   	 -71.21		
 -0.31   	 43.64   	 -0.02   	   0.00		 13.90   	 -71.21		
  1.22   	 51.27   	 -0.02   	   0.00		 13.61   	 -61.04		
  2.75   	 59.20   	 -0.02   	   0.00		 13.37   	 -61.04		
  4.58   	 67.75   	 -0.02   	   0.00		 13.12   	 -55.95		
  6.10   	 76.60   	 -0.02   	   0.00		 12.90   	 -45.78		
  8.24   	 85.75   	 -0.02   	   0.00		 12.72   	 -45.78		
 10.68   	 95.21   	 -0.02   	   0.00		 12.53   	 -40.69		
 13.43   	105.90   	 -0.02   	   0.00		 12.37   	 -40.69		
 16.17   	117.49   	 -0.02   	   0.00		 12.21   	 -40.69		
 19.23   	130.00   	 -0.02   	   0.00		 12.04   	 -35.61		
 22.28   	143.13   	 -0.02   	   0.00		 11.90   	 -35.61		
 25.33   	156.56   	 -0.02   	   0.00		 11.76   	 -35.61		
 28.69   	170.59   	 -0.02   	   0.00		 11.62   	 -30.52		
 32.35   	186.77   	 -0.02   	   0.00		 11.50   	 -25.43		
 36.93   	205.69   	 -0.02   	   0.00		 11.39   	 -25.43		
 43.03   	227.05   	 -0.02   	   0.00		 11.29   	 -25.43		
 50.05   	249.63   	 -0.02   	   0.00		 11.19   	 -25.43		
 56.15   	271.61   	 -0.02   	   0.00		 11.09   	 -25.43		
 60.12   	290.83   	 -0.02   	   0.00		 10.99   	 -25.43		
 61.95   	306.70   	 -0.02   	   0.00		 10.89   	 -30.52		
 63.17   	320.74   	 -0.02   	   0.00		 10.76   	 -25.43		
 65.31   	334.17   	 -0.02   	   0.00		 10.66   	 -30.52		
 69.27   	347.90   	 -0.02   	   0.00		 10.54   	 -30.52		
 73.85   	361.02   	 -0.02   	   0.00		 10.42   	 -30.52		
 77.51   	372.31   	 -0.02   	   0.00		 10.29   	 -20.35		
 79.35   	379.03   	 -0.02   	   0.00		 10.21   	 -20.35		
 79.04   	381.16   	 -0.02   	   0.00		 10.13   	 -10.17		
 77.21   	379.33   	 -0.02   	   0.00		 10.09   	   0.00		
 75.38   	374.15   	 -0.02   	   0.00		 10.09   	   0.00		
 72.94   	366.21   	 -0.02   	   0.00		 10.09   	  15.26		
 69.58   	354.31   	 -0.02   	   0.00		 10.15   	  15.26		
 64.39   	336.61   	 -0.02   	   0.00		 10.21   	  20.35		
 57.07   	312.81   	 -0.02   	   0.00		 10.29   	  20.35		
 47.91   	283.81   	 -0.02   	   0.00		 10.38   	  25.43		
 38.15   	251.77   	 -0.02   	   0.00		 10.48   	  20.35		
 29.91   	218.51   	 -0.02   	   0.00		 10.56   	  20.35		
 23.50   	185.85   	 -0.02   	   0.00		 10.64   	  15.26		
 18.01   	152.89   	 -0.02   	   0.00		 10.70   	  10.17		
 12.51   	120.24   	 -0.02   	   0.00		 10.74   	   5.09		
  5.80   	 88.50   	 -0.02   	   0.00		 10.76   	  -5.09		
 -0.92   	 58.90   	 -0.02   	   0.00		 10.74   	  -5.09		
 -6.10   	 32.35   	 -0.02   	   0.00		 10.72   	 -10.17		
 -9.16   	  8.54   	 -0.02   	   0.00		 10.68   	 -15.26		
-10.68   	-13.43   	 -0.02   	   0.00		 10.62   	 -10.17		
-12.21   	-34.18   	 -0.02   	   0.00		 10.58   	 -15.26		
-14.65   	-53.41   	 -0.02   	   0.00		 10.52   	  -5.09		
-18.62   	-70.50   	 -0.02   	   0.00		 10.50   	  -5.09		
-22.58   	-84.53   	 -0.02   	   0.00		 10.48   	   0.00		
-25.33   	-95.52   	 -0.02   	   0.00		 10.48   	  10.17		
-25.94   	-104.06   	 -0.02   	   0.00		 10.52   	  10.17		
-25.33   	-110.78   	 -0.02   	   0.00		 10.56   	  10.17		
-24.72   	-116.58   	 -0.02   	   0.00		 10.60   	   5.09		
-25.63   	-121.77   	 -0.02   	   0.00		 10.62   	   5.09		
-27.77   	-126.65   	 -0.02   	   0.00		 10.64   	   0.00		
-29.91   	-130.62   	 -0.02   	   0.00		 10.64   	 -10.17		
-31.13   	-133.06   	 -0.02   	   0.00		 10.60   	 -10.17		
-30.52   	-134.28   	 -0.02   	   0.00		 10.56   	 -20.35		
-29.60   	-134.28   	 -0.02   	   0.00		 10.48   	 -20.35		
-29.60   	-134.58   	 -0.02   	   0.00		 10.40   	 -15.26		
-30.82   	-134.89   	 -0.02   	   0.00		 10.34   	 -10.17		
-32.35   	-134.89   	 -0.02   	   0.00		 10.29   	  -5.09		
-32.65   	-133.06   	 -0.02   	   0.00		 10.27   	   5.09		
-31.43   	-130.00   	 -0.02   	   0.00		 10.29   	  20.35		
-29.30   	-126.65   	 -0.02   	   0.00		 10.38   	  25.43		
-28.08   	-124.21   	 -0.02   	   0.00		 10.48   	  30.52		
-28.08   	-122.99   	 -0.02   	   0.00		 10.60   	  25.43		
-28.69   	-122.38   	 -0.02   	   0.00		 10.70   	  30.52		
-28.69   	-121.46   	 -0.02   	   0.00		 10.82   	  15.26		
-28.08   	-119.02   	 -0.02   	   0.00		 10.89   	   5.09		
-27.16   	-116.27   	 -0.02   	   0.00		 10.91   	 -10.17		
-26.55   	-113.83   	 -0.02   	   0.00		 10.86   	 -15.26		
-26.25   	-112.00   	 -0.02   	   0.00		 10.80   	 -25.43		
-26.25   	-109.86   	 -0.02   	   0.00		 10.70   	 -30.52		
-26.25   	-107.73   	 -0.02   	   0.00		 10.58   	 -25.43		
-26.55   	-105.59   	 -0.02   	   0.00		 10.48   	 -20.35		
-27.16   	-104.37   	 -0.02   	   0.00		 10.40   	 -20.35		
-28.38   	-104.37   	 -0.02   	   0.00		 10.32   	  -5.09		
-29.60   	-105.59   	 -0.02   	   0.00		 10.29   	   0.00		
-30.82   	-106.81   	 -0.02   	   0.00		 10.29   	  20.35		
-31.43   	-108.03   	 -0.02   	   0.00		 10.38   	  40.69		
-31.43   	-108.34   	 -0.02   	   0.00		 10.54   	  66.12		
-30.82   	-107.73   	 -0.02   	   0.00		 10.80   	  86.47		
-30.21   	-106.81   	 -0.02   	   0.00		 11.15   	 101.73		
-30.21   	-106.51   	 -0.02   	   0.00		 11.56   	 122.07		
-31.13   	-106.81   	 -0.02   	   0.00		 12.04   	 122.07		
-32.04   	-106.81   	 -0.02   	   0.00		 12.53   	 116.99		
-31.74   	-106.81   	 -0.02   	   0.00		 13.00   	 106.82		
-29.91   	-106.51   	 -0.02   	   0.00		 13.43   	  91.56		
-27.47   	-107.42   	 -0.02   	   0.00		 13.79   	  66.12		
-26.25   	-108.95   	 -0.02   	   0.00		 14.06   	  45.78		
-27.16   	-111.69   	 -0.02   	   0.00		 14.24   	  25.43		
-29.30   	-113.53   	 -0.02   	   0.00		 14.34   	  10.17		
-31.43   	-114.75   	 -0.02   	   0.00		 14.38(V)	   0.00		
-32.35   	-115.36   	 -0.02   	   0.00		 14.38   	 -10.17		
-31.74   	-115.97   	 -0.02   	   0.00		 14.34   	 -15.26		
-30.82   	-117.49   	 -0.02   	   0.00		 14.28   	 -15.26		
-29.91   	-119.32   	 -0.02   	   0.00		 14.22   	 -20.35		
-30.21   	-121.15   	 -0.02   	   0.00		 14.14   	 -15.26		
-31.43   	-122.99   	 -0.02   	   0.00		 14.08   	 -15.26		
-32.35   	-124.51   	 -0.02   	   0.00		 14.02   	 -15.26		
-32.96   	-126.65   	 -0.02   	   0.00		 13.96   	  -5.09		
-32.65   	-128.17   	 -0.02   	   0.00		 13.94   	 -10.17		
-31.74   	-129.09   	 -0.02   	   0.00		 13.90   	  -5.09		
-30.82   	-129.39   	 -0.02   	   0.00		 13.88   	  -5.09		
-30.21   	-129.39   	 -0.02   	   0.00		 13.86   	   0.00		
-29.91   	-129.09   	 -0.02   	   0.00		 13.86   	   0.00		
-29.60   	-129.39   	 -0.02   	   0.00		 13.86   	  -5.09		
-29.30   	-130.92   	 -0.02   	   0.00		 13.84   	  -5.09		
-28.99   	-132.75   	 -0.02   	   0.00		 13.81   	 -10.17		
-28.99   	-134.89   	 -0.02   	   0.00		 13.77   	 -15.26		
-29.60   	-135.80   	 -0.02   	   0.00		 13.71   	 -15.26		
-30.52   	-135.80   	 -0.02   	   0.00		 13.65   	 -20.35		
-31.13   	-134.89   	 -0.02   	   0.00		 13.57   	 -30.52		
-31.43   	-134.28   	 -0.02   	   0.00		 13.45   	 -30.52		
-30.82   	-134.58   	 -0.02   	   0.00		 13.33   	 -30.52		
-30.21   	-135.80   	 -0.02   	   0.00		 13.20   	 -35.61		
-30.21   	-137.33   	 -0.02   	   0.00		 13.06   	 -40.69		
-30.82   	-138.24   	 -0.02   	   0.00		 12.90   	 -35.61		
-31.13   	-138.24   	 -0.02   	   0.00		 12.76   	 -35.61		
-30.21   	-137.33   	 -0.02   	   0.00		 12.61   	 -30.52		
-28.69   	-135.80   	 -0.02   	   0.00		 12.49   	 -25.43		
-27.77   	-134.89   	 -0.02   	   0.00		 12.39   	 -25.43		
-28.08   	-134.89   	 -0.02   	   0.00		 12.29   	 -20.35		
-29.91   	-135.50   	 -0.02   	   0.00		 12.21   	 -20.35		
-31.13   	-136.41   	 -0.02   	   0.00		 12.13   	 -20.35		
-30.82   	-136.41   	 -0.02   	   0.00		 12.04   	 -15.26		
-28.99   	-134.89   	 -0.02   	   0.00		 11.98   	 -15.26		
-27.16   	-133.06   	 -0.02   	   0.00		 11.92   	 -20.35		
-25.63   	-131.53   	 -0.02   	   0.00		 11.84   	 -15.26		
-25.33   	-131.23   	 -0.02   	   0.00		 11.78   	 -20.35		
-25.94   	-131.53   	 -0.02   	   0.00		 11.70   	 -20.35		
-25.94   	-132.14   	 -0.02   	   0.00		 11.62   	 -20.35		
-25.02   	-131.84   	 -0.02   	   0.00		 11.54   	 -15.26		
-23.50   	-130.31   	 -0.02   	   0.00		 11.48   	 -15.26		
-21.36   	-127.87   	 -0.02   	   0.00		 11.41   	 -10.17		
-20.14   	-126.04   	 -0.02   	   0.00		 11.37   	  -5.09		
-20.14   	-125.12   	 -0.02   	   0.00		 11.35   	   0.00		
-21.36   	-124.82   	 -0.02   	   0.00		 11.35   	   5.09		
-22.58   	-124.21   	 -0.02   	   0.00		 11.37   	  15.26		
-22.28   	-122.07   	 -0.02   	   0.00		 11.43   	  15.26		
-20.14   	-119.02   	 -0.02   	   0.00		 11.50   	  15.26		
-17.40   	-115.97   	 -0.02   	   0.00		 11.56   	  20.35		
-15.26   	-114.14   	 -0.02   	   0.00		 11.64   	  15.26		
-14.34   	-114.14   	 -0.02   	   0.00		 11.70   	  10.17		
-14.34   	-114.14   	 -0.02   	   0.00		 11.74   	  10.17		
-14.34   	-113.53   	 -0.02   	   0.00		 11.78   	  10.17		
-14.04   	-112.00   	 -0.02   	   0.00		 11.82   	   0.00		
-13.12   	-110.47   	 -0.02   	   0.00		 11.82   	   0.00		
-12.21   	-109.86   	 -0.02   	   0.00		 11.82   	  -5.09		
-10.38   	-109.56   	 -0.02   	   0.00		 11.80   	  -5.09		
 -8.85   	-108.95   	 -0.02   	   0.00		 11.78   	  -5.09		
 -7.32   	-107.73   	 -0.02   	   0.00		 11.76   	 -10.17		
 -6.71   	-105.59   	 -0.02   	   0.00		 11.72   	 -15.26		
 -6.71   	-103.76   	 -0.02   	   0.00		 11.66   	 -10.17		
 -6.71   	-101.62   	 -0.02   	   0.00		 11.62   	 -15.26		
 -6.10   	-98.88   	 -0.02   	   0.00		 11.56   	 -15.26		
 -4.58   	-96.13   	 -0.02   	   0.00		 11.50   	 -15.26		
 -2.44   	-93.69   	 -0.02   	   0.00		 11.43   	 -15.26		
 -0.61   	-91.86   	 -0.02   	   0.00		 11.37   	 -15.26		
  0.92   	-90.94   	 -0.02   	   0.00		 11.31   	 -15.26		
  1.83   	-90.33   	 -0.02   	   0.00		 11.25   	 -15.26		
  2.14   	-89.72   	 -0.02   	   0.00		 11.19   	 -10.17		
  1.83   	-89.42   	 -0.02   	   0.00		 11.15   	 -10.17		
  1.53   	-89.11   	 -0.02   	   0.00		 11.11   	 -10.17		
  1.53   	-88.20   	 -0.02   	   0.00		 11.07   	  -5.09		
  2.75   	-86.06   	 -0.02   	   0.00		 11.05   	  -5.09		
  4.58   	-83.01   	 -0.02   	   0.00		 11.03   	   0.00		
  6.10   	-79.96   	 -0.02   	   0.00		 11.03   	  -5.09		
  6.71   	-77.51   	 -0.02   	   0.00		 11.01   	   0.00		
  6.71   	-76.29   	 -0.02   	   0.00		 11.01   	  -5.09		
  6.41   	-76.29   	 -0.02   	   0.00		 10.99   	  -5.09		
  7.02   	-76.90   	 -0.02   	   0.00		 10.97   	   0.00		
  7.63   	-77.21   	 -0.02   	   0.00		 10.97   	  -5.09		
  6.71   	-77.82   	 -0.02   	   0.00		 10.95   	  -5.09		
  4.27   	-78.43   	 -0.02   	   0.00		 10.93   	   0.00		
  2.14   	-78.74   	 -0.02   	   0.00		 10.93   	  -5.09		
  1.22   	-78.43   	 -0.02   	   0.00		 10.91   	  -5.09		
  2.75   	-76.90   	 -0.02   	   0.00		 10.89   	   0.00		
  5.49   	-75.07   	 -0.02   	   0.00		 10.89   	  -5.09		
