  I     	  II     	  CH1     	  CH1'		  AO     	  AO'		
-11.90   	-78.43   	  6.31   	   0.00		 80.77   	 -40.69		
-11.90   	-72.33   	  6.31   	   0.00		 80.61   	 -45.78		
-11.90   	-63.78   	  6.31   	   5.09		 80.43   	 -45.78		
-12.51   	-57.98   	  6.33   	   0.00		 80.24   	 -40.69		
-13.12   	-57.07   	  6.33   	   5.09		 80.08   	 -40.69		
-13.12   	-60.73   	  6.35   	   5.09		 79.92   	 -50.86		
-12.51   	-66.83   	  6.37   	   5.09		 79.71   	 -61.04		
-11.60   	-73.24   	  6.39   	   5.09		 79.47   	 -71.21		
-10.99   	-78.13   	  6.41   	   0.00		 79.19   	 -71.21		
-10.99   	-79.65   	  6.41   	   5.09		 78.90   	 -66.12		
-10.99   	-77.21   	  6.43   	   5.09		 78.64   	 -61.04		
-10.68   	-72.33   	  6.45   	   5.09		 78.39   	 -50.86		
 -9.77   	-67.14   	  6.47   	   5.09		 78.19   	 -40.69		
 -9.16   	-65.00   	  6.49   	   5.09		 78.03   	 -35.61		
 -8.54   	-66.22   	  6.51   	   5.09		 77.88   	 -30.52		
 -8.24   	-70.19   	  6.53   	   0.00		 77.76   	 -30.52		
 -8.24   	-75.68   	  6.53   	   5.09		 77.64   	 -15.26		
 -7.93   	-82.40   	  6.55   	   0.00		 77.58   	 -10.17		
 -7.32   	-89.11   	  6.55   	   0.00		 77.54   	 -10.17		
 -6.71   	-92.77   	  6.55   	   0.00		 77.50   	 -35.61		
 -6.41   	-89.11   	  6.55   	   0.00		 77.35   	 -50.86		
 -7.02   	-77.82   	  6.55   	   0.00		 77.15   	 -50.86		
 -7.93   	-64.70   	  6.55   	   0.00		 76.95   	 -55.95		
 -9.16   	-57.68   	  6.55   	   0.00		 76.72   	 -55.95		
 -9.77   	-62.56   	  6.55   	   0.00		 76.50   	 -55.95		
 -9.77   	-75.68   	  6.55   	  -5.09		 76.28   	 -50.86		
 -9.46   	-86.36   	  6.53   	   0.00		 76.07   	 -30.52		
 -8.85   	-85.14   	  6.53   	  -5.09		 75.95   	 -20.35		
 -8.85   	-72.33   	  6.51   	   0.00		 75.87   	 -15.26		
 -9.16   	-56.76   	  6.51   	   0.00		 75.81   	 -15.26		
-10.07   	-49.44   	  6.51   	  -5.09		 75.75   	 -20.35		
-10.68   	-54.63   	  6.49   	   0.00		 75.67   	 -30.52		
-10.68   	-65.61   	  6.49   	  -5.09		 75.54   	 -40.69		
 -9.46   	-73.85   	  6.47   	   0.00		 75.38   	 -30.52		
 -7.93   	-75.38   	  6.47   	   0.00		 75.26   	 -35.61		
 -7.32   	-73.24   	  6.47   	   0.00		 75.12   	 -40.69		
 -7.63   	-72.33   	  6.47   	  -5.09		 74.95   	 -40.69		
 -8.24   	-75.38   	  6.45   	   0.00		 74.79   	 -35.61		
 -9.16   	-79.04   	  6.45   	   0.00		 74.65   	 -15.26		
 -9.46   	-80.57   	  6.45   	   0.00		 74.59   	   0.00		
 -9.77   	-78.43   	  6.45   	   0.00		 74.59   	 -15.26		
-10.07   	-74.77   	  6.45   	   0.00		 74.53   	-111.90		
-10.38   	-71.11   	  6.45   	   0.00		 74.08   	-254.32		
-10.38   	-68.97   	  6.45   	   0.00		 73.06   	-305.19		
 -9.77   	-68.36   	  6.45   	   0.00		 71.84   	-208.54		
 -8.85   	-68.66   	  6.45   	   0.00		 71.01   	 -86.47		
 -8.54   	-70.19   	  6.45   	   0.00		 70.66   	  15.26		
 -9.46   	-72.63   	  6.45   	   0.00		 70.72   	 137.33		
-10.68   	-75.99   	  6.45   	   0.00		 71.27   	 269.58		
-11.60   	-79.96   	  6.45   	   0.00		 72.35   	 391.66		
-11.60   	-83.31   	  6.45   	   0.00		 73.92   	 417.09		
-10.38   	-83.01   	  6.45   	   0.00		 75.58   	 340.79		
 -9.16   	-77.51   	  6.45   	   0.00		 76.95   	 239.06		
 -8.54   	-67.75   	  6.45   	   0.00		 77.90   	 127.16		
 -7.93   	-58.29   	  6.45   	   0.00		 78.41   	 -35.61		
 -7.02   	-53.71   	  6.45   	   0.00		 78.27   	-228.89		
 -5.80   	-55.54   	  6.45   	   0.00		 77.35   	-376.40		
 -5.49   	-61.65   	  6.45   	   0.00		 75.85   	-457.78		
 -5.80   	-67.14   	  6.45   	  -5.09		 74.02   	-457.78		
 -7.02   	-69.27   	  6.43   	   0.00		 72.19   	-391.66		
 -8.24   	-68.66   	  6.43   	  -5.09		 70.62   	-259.41		
 -8.54   	-68.97   	  6.41   	  -5.09		 69.58   	-111.90		
 -7.63   	-72.63   	  6.39   	   0.00		 69.14   	   5.09		
 -6.41   	-79.35   	  6.39   	  -5.09		 69.16   	 101.73		
 -5.80   	-84.23   	  6.37   	   0.00		 69.56   	 172.94		
 -6.41   	-84.84   	  6.37   	   0.00		 70.25   	 203.46		
 -7.32   	-83.01   	  6.37   	  -5.09		 71.07   	 218.72		
 -8.54   	-83.92   	  6.35   	   0.00		 71.94   	 188.20		
 -9.46   	-90.03   	  6.35   	   5.09		 72.70   	 116.99		
 -9.46   	-97.66   	  6.37   	   0.00		 73.16   	  25.43		
 -8.85   	-98.27   	  6.37   	   0.00		 73.27   	 -50.86		
 -7.93   	-87.28   	  6.37   	   0.00		 73.06   	 -91.56		
 -7.32   	-68.97   	  6.37   	   5.09		 72.70   	-111.90		
 -7.63   	-52.80   	  6.39   	   0.00		 72.25   	-116.99		
 -9.16   	-48.83   	  6.39   	   5.09		 71.78   	-106.82		
-11.29   	-57.68   	  6.41   	   5.09		 71.35   	 -96.64		
-13.43   	-71.72   	  6.43   	   0.00		 70.97   	 -50.86		
-15.56   	-79.65   	  6.43   	   5.09		 70.76   	 -15.26		
-17.70   	-76.60   	  6.45   	   0.00		 70.70   	   5.09		
-20.45   	-65.61   	  6.45   	   5.09		 70.72   	  10.17		
-23.50   	-55.85   	  6.47   	   5.09		 70.76   	  10.17		
-25.94   	-54.02   	  6.49   	   0.00		 70.80   	  10.17		
-27.47   	-59.51   	  6.49   	   5.09		 70.84   	   0.00		
-28.08   	-66.83   	  6.51   	   5.09		 70.84   	 -15.26		
-27.77   	-69.27   	  6.53   	   0.00		 70.78   	 -40.69		
-26.86   	-64.09   	  6.53   	   5.09		 70.62   	 -61.04		
-26.25   	-55.54   	  6.55   	   0.00		 70.38   	 -76.30		
-25.63   	-50.05   	  6.55   	   5.09		 70.07   	 -86.47		
-25.63   	-51.57   	  6.57   	   0.00		 69.73   	 -76.30		
-26.55   	-60.42   	  6.57   	   0.00		 69.42   	 -76.30		
-27.47   	-72.94   	  6.57   	   0.00		 69.11   	-101.73		
-27.47   	-83.92   	  6.57   	   0.00		 68.71   	 -96.64		
-26.25   	-89.42   	  6.57   	  -5.09		 68.32   	 -66.12		
-25.02   	-88.20   	  6.55   	   0.00		 68.06   	 -30.52		
-24.72   	-79.96   	  6.55   	   0.00		 67.93   	  10.17		
-25.63   	-67.14   	  6.55   	  -5.09		 67.98   	  71.21		
-27.16   	-54.63   	  6.53   	   0.00		 68.26   	 132.25		
-28.08   	-46.39   	  6.53   	  -5.09		 68.79   	 162.77		
-27.16   	-44.56   	  6.51   	   0.00		 69.44   	 132.25		
-24.72   	-48.22   	  6.51   	  -5.09		 69.97   	  96.64		
-22.89   	-54.32   	  6.49   	  -5.09		 70.36   	  66.12		
-21.97   	-60.12   	  6.47   	  -5.09		 70.62   	   5.09		
-22.58   	-65.00   	  6.45   	   0.00		 70.64   	 -86.47		
-23.50   	-68.66   	  6.45   	  -5.09		 70.29   	-147.51		
-24.11   	-71.41   	  6.43   	   0.00		 69.70   	-188.20		
-24.11   	-72.63   	  6.43   	   0.00		 68.95   	-193.29		
-23.80   	-72.33   	  6.43   	  -5.09		 68.18   	-183.11		
-23.80   	-70.80   	  6.41   	   0.00		 67.45   	-147.51		
-24.41   	-68.97   	  6.41   	   0.00		 66.86   	 -91.56		
-24.72   	-67.14   	  6.41   	   0.00		 66.49   	 -40.69		
-24.72   	-65.61   	  6.41   	   0.00		 66.33   	  20.35		
-24.11   	-65.00   	  6.41   	   0.00		 66.41   	  66.12		
-22.89   	-64.39   	  6.41   	   0.00		 66.67   	  86.47		
-21.36   	-63.48   	  6.41   	   0.00		 67.02   	 106.82		
-20.14   	-62.56   	  6.41   	   0.00		 67.45   	 101.73		
-19.84   	-63.17   	  6.41   	   5.09		 67.85   	  91.56		
-20.14   	-65.00   	  6.43   	   0.00		 68.22   	  66.12		
-20.75   	-65.92   	  6.43   	   0.00		 68.48   	  35.61		
-20.45   	-62.87   	  6.43   	   0.00		 68.63   	   0.00		
-18.92   	-54.93   	  6.43   	   5.09		 68.63   	 -45.78		
-17.09   	-45.47   	  6.45   	   0.00		 68.44   	 -76.30		
-15.87   	-39.98   	  6.45   	   5.09		 68.14   	 -96.64		
-16.48   	-39.98   	  6.47   	   0.00		 67.75   	 -96.64		
-18.92   	-43.33   	  6.47   	   0.00		 67.36   	 -86.47		
-21.97   	-47.91   	  6.47   	   0.00		 67.02   	 -66.12		
-24.11   	-53.41   	  6.47   	   5.09		 66.75   	 -35.61		
-25.02   	-62.56   	  6.49   	   0.00		 66.61   	  -5.09		
-24.72   	-75.07   	  6.49   	   0.00		 66.59   	  15.26		
-23.80   	-86.36   	  6.49   	   0.00		 66.65   	  25.43		
-22.58   	-88.81   	  6.49   	   0.00		 66.75   	  30.52		
-21.97   	-77.82   	  6.49   	   5.09		 66.88   	  20.35		
-21.06   	-57.07   	  6.51   	   0.00		 66.96   	   5.09		
-20.45   	-35.71   	  6.51   	   0.00		 66.98   	 -10.17		
-19.84   	-24.11   	  6.51   	  -5.09		 66.94   	 -25.43		
-19.53   	-26.86   	  6.49   	   0.00		 66.84   	 -35.61		
-19.23   	-39.06   	  6.49   	   0.00		 66.69   	 -45.78		
-19.23   	-53.10   	  6.49   	   0.00		 66.51   	 -45.78		
-18.62   	-61.04   	  6.49   	   0.00		 66.33   	 -35.61		
-18.01   	-60.73   	  6.49   	   0.00		 66.18   	 -35.61		
-17.40   	-53.41   	  6.49   	   0.00		 66.04   	 -25.43		
-16.78   	-42.11   	  6.49   	   0.00		 65.94   	 -10.17		
-17.09   	-30.52   	  6.49   	   0.00		 65.90   	  -5.09		
-18.92   	-22.58   	  6.49   	   0.00		 65.88   	   0.00		
-21.67   	-21.06   	  6.49   	  -5.09		 65.88   	  15.26		
-23.50   	-26.25   	  6.47   	   0.00		 65.94   	  10.17		
-21.67   	-30.52   	  6.47   	   0.00		 65.98   	   5.09		
-15.56   	-17.70   	  6.47   	   0.00		 66.00   	   0.00		
 -8.24   	 31.13   	  6.47   	   0.00		 66.00   	 -10.17		
 -4.88   	133.67   	  6.47   	   0.00		 65.96   	 -25.43		
 -7.63   	299.07   	  6.47   	   0.00		 65.86   	 -30.52		
-10.68   	523.38   	  6.47   	  -5.09		 65.74   	 -35.61		
 -4.27   	779.72   	  6.45   	   0.00		 65.59   	 -35.61		
 18.01   	1016.24   	  6.45   	   0.00		 65.45   	 -30.52		
 50.05   	1168.21   	  6.45   	   0.00		 65.33   	 -25.43		
 76.60   	1187.74(R)	  6.45   	   0.00		 65.23   	 -10.17		
 79.96   	1072.39   	  6.45   	   0.00		 65.19   	  -5.09		
 54.02   	870.06   	  6.45   	   0.00		 65.17   	   5.09		
  7.93   	653.69   	  6.45   	   0.00		 65.19   	   5.09		
-42.42   	476.68   	  6.45   	   0.00		 65.21   	   5.09		
-84.53   	352.78   	  6.45   	   0.00		 65.23   	   0.00		
-111.69   	265.20   	  6.45   	   0.00		 65.23   	 -10.17		
-122.68   	189.51   	  6.45   	   0.00		 65.19   	 -10.17		
-117.80   	113.22   	  6.45   	   0.00		 65.15   	 -10.17		
-98.57   	 40.89   	  6.45   	   0.00		 65.11   	 -15.26		
-69.58   	-17.40   	  6.45   	   0.00		 65.05   	 -15.26		
-40.28   	-57.37   	  6.45   	   5.09		 64.98   	 -15.26		
-19.84   	-79.35   	  6.47   	   0.00		 64.92   	  -5.09		
-10.99   	-87.89   	  6.47   	   0.00		 64.90(D)	  10.17		
-10.07   	-89.11   	  6.47   	   0.00		 64.94   	  20.35		
-10.99   	-86.98   	  6.47   	   5.09		 65.03   	  30.52		
-10.99   	-83.31   	  6.49   	   0.00		 65.15   	  45.78		
 -9.77   	-81.48   	  6.49   	   0.00		 65.33   	  71.21		
 -9.77   	-85.45   	  6.49   	   0.00		 65.62   	  91.56		
-11.29   	-95.83   	  6.49   	   0.00		 65.98   	 152.59		
-13.43   	-107.73   	  6.49   	   0.00		 66.59   	 228.89		
-14.04   	-115.66   	  6.49   	   0.00		 67.51   	 361.14		
-13.12   	-115.36   	  6.49   	   0.00		 68.95   	 584.94		
-11.60   	-111.39   	  6.49   	   0.00		 71.29   	 900.30		
 -9.77   	-109.56   	  6.49   	   0.00		 74.89   	1185.14		
 -8.85   	-111.69   	  6.49   	  -5.09		 79.63   	1439.47		
 -8.24   	-113.22   	  6.47   	   0.00		 85.39   	1714.13		
 -8.24   	-110.17   	  6.47   	   0.00		 92.25   	1775.17		
 -7.93   	-103.15   	  6.47   	   0.00		 99.35   	1490.33		
 -7.02   	-97.35   	  6.47   	   0.00		105.31   	1073.24		
 -5.19   	-95.21   	  6.47   	   0.00		109.60   	 717.19		
 -3.36   	-95.52   	  6.47   	   0.00		112.47   	 422.18		
 -1.83   	-94.91   	  6.47   	   0.00		114.16   	 137.33		
 -1.83   	-93.99   	  6.47   	  -5.09		114.71   	 -50.86		
 -2.44   	-94.91   	  6.45   	   0.00		114.51   	 -91.56		
 -2.75   	-98.88   	  6.45   	   0.00		114.14   	 -20.35		
 -1.83   	-102.23   	  6.45   	   0.00		114.06   	 178.03		
  0.61   	-102.23   	  6.45   	   0.00		114.77   	 493.39		
  3.36   	-100.10   	  6.45   	   0.00		116.74   	 747.71		
  5.49   	-99.49   	  6.45   	   0.00		119.74   	 869.78		
  6.41   	-101.62   	  6.45   	  -5.09		123.21   	 890.13		
  7.02   	-102.54   	  6.43   	   0.00		126.77   	 757.88		
  7.93   	-97.96   	  6.43   	   5.09		129.81   	 518.82		
  9.16   	-86.98   	  6.45   	   0.00		131.88   	 310.27		
 10.68   	-76.29   	  6.45   	   0.00		133.12   	 172.94		
 12.51   	-73.24   	  6.45   	   0.00		133.81   	  50.86		
 14.34   	-79.04   	  6.45   	   0.00		134.02   	 -81.38		
 15.87   	-88.50   	  6.45   	   0.00		133.69   	-147.51		
 17.09   	-93.08   	  6.45   	   0.00		133.10   	-101.73		
 18.31   	-87.28   	  6.45   	   0.00		132.70   	   5.09		
 20.14   	-72.94   	  6.45   	   0.00		132.72   	 137.33		
 22.28   	-56.15   	  6.45   	   5.09		133.26   	 264.50		
 25.02   	-42.42   	  6.47   	   0.00		134.32   	 381.48		
 28.38   	-34.48   	  6.47   	   0.00		135.85   	 452.69		
 32.35   	-30.52   	  6.47   	   5.09		137.66   	 447.61		
 36.93   	-25.02   	  6.49   	   0.00		139.45   	 376.40		
 41.81   	-13.73   	  6.49   	   0.00		140.96   	 259.41		
 46.08   	  4.58   	  6.49   	   0.00		141.99   	 111.90		
 49.44   	 26.86   	  6.49   	   0.00		142.44(S)	 -20.35		
 51.57   	 47.91   	  6.49   	   0.00		142.36   	-122.07		
 53.41   	 63.48   	  6.49   	   0.00		141.87   	-183.11		
 55.54   	 73.24   	  6.49   	   0.00		141.14   	-203.46		
 58.29   	 80.87   	  6.49   	   0.00		140.32   	-198.37		
 61.65   	 90.64   	  6.49   	   0.00		139.53   	-172.94		
 64.70   	104.68   	  6.49   	   0.00		138.84   	-137.33		
 67.14   	122.68   	  6.49   	   0.00		138.29   	-127.16		
 69.58   	142.82   	  6.49   	   0.00		137.78   	-111.90		
 71.72   	163.57   	  6.49   	  -5.09		137.33   	-111.90		
 73.85   	183.41   	  6.47   	   0.00		136.89   	 -91.56		
 75.68   	201.72   	  6.47   	   0.00		136.52   	 -76.30		
 76.90   	215.15   	  6.47   	  -5.09		136.22   	 -66.12		
 76.90   	220.64   	  6.45   	   0.00		135.95   	 -76.30		
 75.38   	216.37   	  6.45   	  -5.09		135.65   	-111.90		
 72.63   	203.25   	  6.43   	   0.00		135.20   	-167.85		
 68.66   	183.72   	  6.43   	   0.00		134.53   	-244.15		
 63.17   	160.83   	  6.43   	  -5.09		133.55   	-310.27		
 56.76   	137.02   	  6.41   	   0.00		132.31   	-356.05		
 49.44   	113.53   	  6.41   	   0.00		130.88   	-381.48		
 41.81   	 90.33   	  6.41   	  -5.09		129.36   	-396.74		
 34.48   	 67.44   	  6.39   	   0.00		127.77   	-401.83		
 27.47   	 46.39   	  6.39   	   0.00		126.16   	-406.92		
 21.36   	 30.21   	  6.39   	   0.00		124.54   	-406.92		
 16.17   	 20.45   	  6.39   	   0.00		122.91   	-406.92		
 11.60   	 16.17   	  6.39   	   5.09		121.28   	-422.18		
  7.93   	 11.90   	  6.41   	   0.00		119.59   	-452.69		
  5.19   	  3.05   	  6.41   	   0.00		117.78   	-498.47		
  2.75   	-12.82   	  6.41   	   5.09		115.79   	-534.08		
  0.31   	-31.74   	  6.43   	   0.00		113.65   	-564.60		
 -2.14   	-47.30   	  6.43   	   5.09		111.39   	-579.86		
 -4.58   	-55.54   	  6.45   	   5.09		109.07   	-549.34		
 -7.02   	-56.76   	  6.47   	   0.00		106.88   	-473.04		
 -8.54   	-54.63   	  6.47   	   5.09		104.98   	-376.40		
 -9.46   	-51.88   	  6.49   	   0.00		103.48   	-249.24		
 -9.77   	-50.35   	  6.49   	   5.09		102.48   	 -66.12		
 -9.16   	-49.44   	  6.51   	   0.00		102.22   	 116.99		
 -8.24   	-49.44   	  6.51   	   5.09		102.69   	 228.89		
 -7.63   	-51.57   	  6.53   	   0.00		103.60   	 249.24		
 -7.63   	-55.85   	  6.53   	   0.00		104.60   	 208.54		
 -8.54   	-59.51   	  6.53   	   0.00		105.43   	 137.33		
 -9.16   	-59.51   	  6.53   	   0.00		105.98   	  30.52		
 -9.16   	-55.85   	  6.53   	   0.00		106.10   	 -96.64		
 -7.02   	-51.57   	  6.53   	   0.00		105.72   	-223.80		
 -4.27   	-50.35   	  6.53   	  -5.09		104.82   	-335.71		
 -1.53   	-53.10   	  6.51   	   0.00		103.48   	-396.74		
 -0.31   	-57.37   	  6.51   	  -5.09		101.89   	-401.83		
 -1.22   	-59.20   	  6.49   	   0.00		100.28   	-361.14		
 -2.44   	-57.68   	  6.49   	  -5.09		 98.84   	-310.27		
 -3.36   	-54.63   	  6.47   	   0.00		 97.60   	-239.06		
 -2.75   	-52.19   	  6.47   	  -5.09		 96.64   	-172.94		
 -1.53   	-50.66   	  6.45   	   0.00		 95.95   	-106.82		
 -0.31   	-48.83   	  6.45   	  -5.09		 95.52   	 -61.04		
 -0.61   	-45.78   	  6.43   	   0.00		 95.28   	 -30.52		
 -1.83   	-42.72   	  6.43   	   0.00		 95.16   	 -35.61		
 -3.97   	-40.89   	  6.43   	  -5.09		 95.01   	 -55.95		
 -5.49   	-40.28   	  6.41   	   0.00		 94.79   	 -96.64		
 -6.10   	-40.28   	  6.41   	   0.00		 94.40   	-127.16		
 -4.58   	-40.28   	  6.41   	   0.00		 93.90   	-147.51		
 -1.83   	-40.89   	  6.41   	   0.00		 93.31   	-162.77		
  0.31   	-42.11   	  6.41   	   0.00		 92.65   	-172.94		
  0.92   	-43.95   	  6.41   	   0.00		 91.96   	-162.77		
 -0.61   	-45.47   	  6.41   	   0.00		 91.31   	-142.42		
 -3.66   	-46.08   	  6.41   	   0.00		 90.74   	-116.99		
 -6.71   	-46.69   	  6.41   	   0.00		 90.27   	-106.82		
 -7.63   	-47.91   	  6.41   	   0.00		 89.85   	 -86.47		
 -6.41   	-48.22   	  6.41   	   0.00		 89.50   	 -76.30		
 -3.97   	-46.69   	  6.41   	   5.09		 89.20   	 -71.21		
 -2.14   	-44.56   	  6.43   	   0.00		 88.91   	 -76.30		
 -2.44   	-43.95   	  6.43   	   0.00		 88.61   	 -76.30		
 -4.58   	-45.17   	  6.43   	   0.00		 88.30   	 -76.30		
 -7.02   	-48.22   	  6.43   	   0.00		 88.00   	 -91.56		
 -8.85   	-50.66   	  6.43   	   5.09		 87.63   	 -96.64		
 -8.85   	-51.57   	  6.45   	   0.00		 87.24   	-111.90		
 -7.93   	-51.27   	  6.45   	   0.00		 86.80   	-127.16		
 -6.71   	-50.35   	  6.45   	   0.00		 86.29   	-132.25		
 -5.19   	-49.44   	  6.45   	   5.09		 85.76   	-132.25		
 -3.97   	-48.22   	  6.47   	   0.00		 85.23   	-132.25		
 -3.97   	-48.22   	  6.47   	   0.00		 84.70   	-127.16		
 -5.49   	-49.74   	  6.47   	   0.00		 84.19   	-106.82		
 -7.93   	-50.35   	  6.47   	   0.00		 83.76   	 -91.56		
-10.38   	-47.30   	  6.47   	   5.09		 83.40   	 -71.21		
-10.99   	-40.28   	  6.49   	   0.00		 83.11   	 -76.30		
 -9.77   	-34.48   	  6.49   	   0.00		 82.81   	-132.25		
 -7.02   	-36.32   	  6.49   	   0.00		 82.28   	-249.24		
 -4.88   	-48.83   	  6.49   	   0.00		 81.28   	-289.93		
 -4.58   	-66.53   	  6.49   	   0.00		 80.12   	-198.37		
 -5.19   	-78.74   	  6.49   	   0.00		 79.33   	 -76.30		
 -6.10   	-77.51   	  6.49   	   0.00		 79.02   	  10.17		
 -6.71   	-64.09   	  6.49   	   0.00		 79.06   	 101.73		
 -7.02   	-48.22   	  6.49   	   0.00		 79.47   	 172.94		
 -8.24   	-40.28   	  6.49   	   0.00		 80.16   	 208.54		
-10.38   	-43.33   	  6.49   	   0.00		 81.00   	 152.59		
-12.82   	-53.41   	  6.49   	   0.00		 81.61   	  45.78		
-13.73   	-62.26   	  6.49   	  -5.09		 81.79   	 -66.12		
-12.82   	-65.61   	  6.47   	   0.00		 81.53   	-162.77		
-10.68   	-63.48   	  6.47   	   0.00		 80.87   	-233.98		
 -9.46   	-58.90   	  6.47   	  -5.09		 79.94   	-289.93		
 -9.77   	-54.93   	  6.45   	   0.00		 78.78   	-305.19		
-11.90   	-53.41   	  6.45   	   0.00		 77.56   	-259.41		
-14.04   	-54.93   	  6.45   	  -5.09		 76.52   	-193.29		
-15.56   	-59.51   	  6.43   	   0.00		 75.75   	-167.85		
-16.17   	-65.31   	  6.43   	   0.00		 75.08   	-122.07		
-16.78   	-69.27   	  6.43   	   0.00		 74.59   	 -50.86		
-17.09   	-69.89   	  6.43   	  -5.09		 74.38   	   5.09		
-17.40   	-67.44   	  6.41   	   0.00		 74.40   	  35.61		
-17.09   	-63.78   	  6.41   	   0.00		 74.55   	  50.86		
-17.09   	-59.81   	  6.41   	   0.00		 74.75   	  61.04		
-17.70   	-55.54   	  6.41   	   0.00		 74.99   	  45.78		
-19.23   	-50.05   	  6.41   	   0.00		 75.18   	  25.43		
-20.75   	-43.33   	  6.41   	   0.00		 75.28   	 -15.26		
-21.06   	-36.93   	  6.41   	   0.00		 75.22   	 -61.04		
-19.53   	-33.26   	  6.41   	   0.00		 74.97   	 -96.64		
-17.40   	-33.87   	  6.41   	   0.00		 74.59   	-122.07		
-15.56   	-38.15   	  6.41   	   5.09		 74.10   	-127.16		
-14.95   	-43.64   	  6.43   	   0.00		 73.59   	-122.07		
-15.26   	-48.52   	  6.43   	   0.00		 73.10   	-111.90		
-15.56   	-49.74   	  6.43   	   5.09		 72.65   	 -71.21		
-14.95   	-47.61   	  6.45   	   0.00		 72.37   	 -45.78		
-13.43   	-44.86   	  6.45   	   5.09		 72.19   	 -15.26		
-11.60   	-44.86   	  6.47   	   0.00		 72.13   	   0.00		
-10.07   	-48.52   	  6.47   	   0.00		 72.13   	   0.00		
 -8.85   	-52.80   	  6.47   	   5.09		 72.13   	 -15.26		
 -8.24   	-53.71   	  6.49   	   0.00		 72.06   	 -35.61		
 -8.54   	-48.22   	  6.49   	   5.09		 71.92   	 -61.04		
 -9.77   	-38.76   	  6.51   	   0.00		 71.68   	 -91.56		
-11.60   	-31.13   	  6.51   	   0.00		 71.31   	-111.90		
-13.12   	-30.52   	  6.51   	   0.00		 70.86   	-116.99		
-14.34   	-36.62   	  6.51   	   5.09		 70.40   	-116.99		
-15.26   	-44.86   	  6.53   	   0.00		 69.93   	-101.73		
-16.48   	-49.44   	  6.53   	   0.00		 69.52   	 -81.38		
-17.40   	-49.44   	  6.53   	   0.00		 69.20   	 -61.04		
-17.40   	-47.91   	  6.53   	   0.00		 68.95   	 -30.52		
-17.09   	-48.22   	  6.53   	   0.00		 68.83   	 -10.17		
-16.48   	-49.74   	  6.53   	   0.00		 68.79   	   5.09		
-15.87   	-50.96   	  6.53   	   0.00		 68.81   	  10.17		
-15.56   	-49.74   	  6.53   	  -5.09		 68.85   	  10.17		
-14.65   	-48.52   	  6.51   	   0.00		 68.89   	   0.00		
-13.12   	-50.05   	  6.51   	   0.00		 68.89   	 -15.26		
-11.29   	-53.41   	  6.51   	   0.00		 68.83   	 -35.61		
-10.68   	-54.93   	  6.51   	   0.00		 68.69   	 -50.86		
-10.99   	-50.96   	  6.51   	   0.00		 68.48   	 -61.04		
-11.60   	-41.81   	  6.51   	  -5.09		 68.24   	 -71.21		
-11.29   	-32.35   	  6.49   	   0.00		 67.95   	 -76.30		
-10.07   	-28.69   	  6.49   	   0.00		 67.65   	 -76.30		
 -8.54   	-32.35   	  6.49   	   0.00		 67.34   	 -71.21		
 -7.63   	-42.42   	  6.49   	  -5.09		 67.06   	 -71.21		
 -8.24   	-53.41   	  6.47   	   0.00		 66.77   	 -61.04		
 -9.46   	-58.90   	  6.47   	   0.00		 66.53   	 -61.04		
-10.07   	-56.15   	  6.47   	  -5.09		 66.29   	 -50.86		
 -9.46   	-47.30   	  6.45   	   0.00		 66.08   	 -55.95		
 -8.24   	-36.93   	  6.45   	   0.00		 65.86   	 -45.78		
 -7.02   	-31.43   	  6.45   	   0.00		 65.68   	 -35.61		
 -6.10   	-33.87   	  6.45   	   0.00		 65.53   	 -30.52		
 -4.58   	-42.42   	  6.45   	  -5.09		 65.41   	 -10.17		
 -3.36   	-50.96   	  6.43   	   0.00		 65.37   	   0.00		
 -3.05   	-53.41   	  6.43   	   0.00		 65.37   	   5.09		
 -4.88   	-49.74   	  6.43   	   0.00		 65.39   	   0.00		
 -8.24   	-44.56   	  6.43   	   0.00		 65.39   	 -10.17		
-10.99   	-43.64   	  6.43   	   0.00		 65.35   	 -15.26		
-11.60   	-48.83   	  6.43   	   0.00		 65.29   	 -30.52		
 -9.77   	-56.76   	  6.43   	   0.00		 65.17   	 -45.78		
 -6.71   	-61.95   	  6.43   	   0.00		 64.98   	 -61.04		
 -5.49   	-61.04   	  6.43   	   0.00		 64.74   	 -76.30		
 -6.10   	-54.93   	  6.43   	   0.00		 64.44   	 -76.30		
 -7.32   	-47.30   	  6.43   	   5.09		 64.13   	 -81.38		
 -8.85   	-40.59   	  6.45   	   0.00		 63.80   	 -81.38		
-10.68   	-37.23   	  6.45   	   0.00		 63.48   	 -66.12		
-12.82   	-39.67   	  6.45   	   0.00		 63.21   	 -55.95		
-15.26   	-49.44   	  6.45   	   0.00		 62.99   	 -30.52		
-15.87   	-62.56   	  6.45   	   0.00		 62.87   	 -20.35		
-14.04   	-70.50   	  6.45   	   0.00		 62.79   	  -5.09		
-10.07   	-65.31   	  6.45   	   0.00		 62.77   	   0.00		
 -6.71   	-46.39   	  6.45   	   0.00		 62.77   	  -5.09		
 -5.19   	-24.11   	  6.45   	   0.00		 62.75   	  -5.09		
 -5.19   	-11.29   	  6.45   	   0.00		 62.73   	 -20.35		
 -5.19   	-14.95   	  6.45   	   0.00		 62.64   	 -30.52		
 -5.19   	-30.82   	  6.45   	   0.00		 62.52   	 -35.61		
 -4.88   	-47.00   	  6.45   	   0.00		 62.38   	 -45.78		
