  I     	  II     	  PW     	  PW'		  CH2     	  CH2'		
 57.07   	128.48   	 33.08   	-101.73		  0.92   	   0.00		
 64.09   	145.26   	 32.68   	 -91.56		  0.92   	   0.00		
 68.66   	151.67   	 32.31   	 -86.47		  0.92   	   0.00		
 71.41   	150.45   	 31.96   	 -76.30		  0.92   	   0.00		
 73.24   	146.79   	 31.66   	 -76.30		  0.92   	   0.00		
 74.16   	140.99   	 31.35   	 -76.30		  0.92   	   5.09		
 71.72   	128.48   	 31.05   	 -81.38		  0.94   	   0.00		
 64.39   	103.76   	 30.72   	 -76.30		  0.94   	   0.00		
 51.88   	 67.14   	 30.42   	 -86.47		  0.94   	   0.00		
 36.93   	 25.63   	 30.07   	 -86.47		  0.94   	   0.00		
 22.89   	 -9.46   	 29.73   	 -86.47		  0.94   	   0.00		
 13.43   	-30.21   	 29.38   	 -86.47		  0.94   	   5.09		
  9.77   	-35.71   	 29.03   	 -86.47		  0.96   	   0.00		
 10.68   	-35.40   	 28.69   	 -81.38		  0.96   	   0.00		
 12.82   	-39.98   	 28.36   	 -76.30		  0.96   	   0.00		
 14.34   	-54.93   	 28.06   	 -66.12		  0.96   	   0.00		
 14.04   	-77.21   	 27.79   	 -61.04		  0.96   	   0.00		
 12.21   	-99.18   	 27.55   	 -55.95		  0.96   	   0.00		
 10.07   	-113.83   	 27.32   	 -45.78		  0.96   	   0.00		
  9.46   	-119.32   	 27.14   	 -45.78		  0.96   	   0.00		
 11.29   	-118.41   	 26.96   	 -35.61		  0.96   	   0.00		
 15.26   	-113.83   	 26.82   	 -40.69		  0.96   	   0.00		
 20.14   	-108.34   	 26.65   	 -35.61		  0.96   	   0.00		
 23.50   	-102.23   	 26.51   	 -35.61		  0.96   	   5.09		
 24.41   	-96.74   	 26.37   	 -35.61		  0.98   	   0.00		
 23.50   	-92.77   	 26.23   	 -40.69		  0.98   	   0.00		
 22.89   	-90.33   	 26.06   	 -35.61		  0.98   	   0.00		
 25.02   	-88.50   	 25.92   	 -35.61		  0.98   	   0.00		
 29.60   	-86.67   	 25.78   	 -40.69		  0.98   	   0.00		
 35.71   	-85.14   	 25.62   	 -40.69		  0.98   	   0.00		
 40.28   	-84.53   	 25.45   	 -40.69		  0.98   	   0.00		
 41.50   	-84.84   	 25.29   	 -40.69		  0.98   	   0.00		
 39.06   	-85.14   	 25.13   	 -40.69		  0.98   	   0.00		
 32.65   	-85.75   	 24.96   	 -40.69		  0.98   	   0.00		
 23.80   	-86.06   	 24.80   	 -35.61		  0.98   	   0.00		
 14.34   	-86.67   	 24.66   	 -35.61		  0.98   	   0.00		
  7.63   	-86.67   	 24.52   	 -30.52		  0.98   	   0.00		
  4.88   	-84.23   	 24.39   	 -20.35		  0.98   	  -5.09		
  6.10   	-78.43   	 24.31   	 -25.43		  0.96   	   0.00		
  9.16   	-69.27   	 24.21   	 -20.35		  0.96   	   0.00		
 10.99   	-59.20   	 24.13   	 -15.26		  0.96   	   0.00		
 10.68   	-51.57   	 24.07   	 -20.35		  0.96   	  -5.09		
  8.54   	-47.91   	 23.99   	 -20.35		  0.94   	   0.00		
  6.10   	-47.30   	 23.91   	 -20.35		  0.94   	   0.00		
  5.19   	-47.61   	 23.82   	 -25.43		  0.94   	   0.00		
  5.80   	-47.00   	 23.72   	 -30.52		  0.94   	   0.00		
  7.93   	-45.17   	 23.60   	 -30.52		  0.94   	  -5.09		
 10.07   	-42.42   	 23.48   	 -30.52		  0.92   	   0.00		
 11.29   	-39.37   	 23.36   	 -35.61		  0.92   	   0.00		
 11.29   	-33.57   	 23.21   	 -30.52		  0.92   	   0.00		
 10.99   	-18.92   	 23.09   	 -30.52		  0.92   	   0.00		
 11.90   	 14.34   	 22.97   	 -25.43		  0.92   	   0.00		
 16.48   	 75.99   	 22.87   	 -15.26		  0.92   	   0.00		
 25.33   	174.56   	 22.81   	 -10.17		  0.92   	   5.09		
 40.28   	311.89   	 22.77   	   0.00		  0.94   	   0.00		
 62.26   	485.84   	 22.77   	  10.17		  0.94   	   0.00		
 93.38   	689.09   	 22.81   	  10.17		  0.94   	   5.09		
136.11   	903.93   	 22.85   	  15.26		  0.96   	   0.00		
192.26   	1098.94   	 22.91   	  20.35		  0.96   	   0.00		
255.13   	1223.75(R)	 22.99   	  20.35		  0.96   	   0.00		
304.26   	1218.26   	 23.07   	  20.35		  0.96   	   5.09		
312.50   	1040.65   	 23.15   	  15.26		  0.98   	   0.00		
266.72   	710.45   	 23.21   	  10.17		  0.98   	   0.00		
182.19   	310.06   	 23.26   	   5.09		  0.98   	   0.00		
101.62   	-44.56   	 23.28   	  10.17		  0.98   	   0.00		
 68.05   	-260.01   	 23.32   	   5.09		  0.98   	   0.00		
 93.08   	-318.30   	 23.34   	   5.09		  0.98   	   0.00		
144.65   	-275.88   	 23.36   	  15.26		  0.98   	   0.00		
174.26   	-211.18   	 23.42   	  15.26		  0.98   	   0.00		
153.20   	-173.65   	 23.48   	  25.43		  0.98   	   0.00		
 90.33   	-167.85   	 23.58   	  30.52		  0.98   	   0.00		
 19.23   	-168.46   	 23.70   	  35.61		  0.98   	   0.00		
-27.16   	-154.72   	 23.85   	  40.69		  0.98   	   0.00		
-37.54   	-128.17   	 24.01   	  40.69		  0.98   	   0.00		
-23.50   	-104.68   	 24.17   	  40.69		  0.98   	   0.00		
 -6.10   	-95.21   	 24.33   	  40.69		  0.98   	   0.00		
  1.22   	-98.88   	 24.50   	  40.69		  0.98   	   0.00		
 -2.75   	-105.90   	 24.66   	  30.52		  0.98   	   0.00		
-10.68   	-108.34   	 24.78   	  35.61		  0.98   	   0.00		
-15.26   	-104.98   	 24.92   	  20.35		  0.98   	   0.00		
-12.82   	-98.88   	 25.00   	  15.26		  0.98   	  -5.09		
 -7.02   	-95.83   	 25.07   	  10.17		  0.96   	   0.00		
 -3.05   	-97.05   	 25.11   	  -5.09		  0.96   	   0.00		
 -2.44   	-100.71   	 25.09   	 -20.35		  0.96   	   0.00		
 -4.88   	-103.45   	 25.00   	 -20.35		  0.96   	   0.00		
 -7.32   	-103.15   	 24.92   	 -30.52		  0.96   	   0.00		
 -8.54   	-99.79   	 24.80   	 -25.43		  0.96   	  -5.09		
 -8.54   	-94.30   	 24.70   	 -20.35		  0.94   	   0.00		
 -7.32   	-88.81   	 24.62   	   0.00		  0.94   	   0.00		
 -5.80   	-85.14   	 24.62   	  15.26		  0.94   	   0.00		
 -3.97   	-84.84   	 24.68   	  40.69		  0.94   	   0.00		
 -2.75   	-88.20   	 24.84   	  71.21		  0.94   	  -5.09		
 -2.75   	-93.08   	 25.13   	  86.47		  0.92   	   0.00		
 -3.36   	-97.66   	 25.47   	 106.82		  0.92   	   0.00		
 -4.27   	-99.18   	 25.90   	 106.82		  0.92   	   0.00		
 -5.19   	-97.96   	 26.33   	 101.73		  0.92   	   0.00		
 -5.80   	-95.52   	 26.73   	  86.47		  0.92   	   0.00		
 -6.71   	-93.99   	 27.08   	  66.12		  0.92   	   0.00		
 -7.63   	-93.99   	 27.34   	  35.61		  0.92   	   0.00		
 -8.24   	-95.21   	 27.49   	   5.09		  0.92   	   0.00		
 -8.24   	-95.52   	 27.51(A)	 -20.35		  0.92   	   0.00		
 -7.93   	-94.60   	 27.43   	 -45.78		  0.92   	   0.00		
 -7.32   	-93.38   	 27.24   	 -55.95		  0.92   	   0.00		
 -7.32   	-92.77   	 27.02   	 -66.12		  0.92   	   0.00		
 -7.63   	-93.38   	 26.75   	 -66.12		  0.92   	   0.00		
 -7.63   	-94.60   	 26.49   	 -61.04		  0.92   	   5.09		
 -7.02   	-96.13   	 26.25   	 -45.78		  0.94   	   0.00		
 -7.02   	-96.74   	 26.06   	 -35.61		  0.94   	   0.00		
 -7.63   	-97.05   	 25.92   	 -25.43		  0.94   	   0.00		
 -9.46   	-98.27   	 25.82   	 -15.26		  0.94   	   0.00		
-11.29   	-100.71   	 25.76   	  -5.09		  0.94   	   0.00		
-12.51   	-104.06   	 25.74   	  -5.09		  0.94   	   0.00		
-13.43   	-108.64   	 25.72   	 -10.17		  0.94   	   5.09		
-14.65   	-113.22   	 25.68   	 -10.17		  0.96   	   0.00		
-16.48   	-117.49   	 25.64   	 -15.26		  0.96   	   0.00		
-18.62   	-121.77   	 25.57   	 -20.35		  0.96   	   0.00		
-20.75   	-125.43   	 25.49   	 -30.52		  0.96   	   0.00		
-22.28   	-128.78   	 25.37   	 -40.69		  0.96   	   5.09		
-24.11   	-131.84   	 25.21   	 -40.69		  0.98   	   0.00		
-27.16   	-134.89   	 25.05   	 -40.69		  0.98   	   0.00		
-31.43   	-137.63   	 24.88   	 -45.78		  0.98   	   0.00		
-35.40   	-140.08   	 24.70   	 -45.78		  0.98   	   0.00		
-39.06   	-141.60   	 24.52   	 -40.69		  0.98   	   5.09		
-41.81   	-141.91   	 24.35   	 -30.52		  1.00   	   0.00		
-43.95   	-141.91   	 24.23   	 -25.43		  1.00   	   0.00		
-46.39   	-141.91   	 24.13   	 -15.26		  1.00   	   0.00		
-48.52   	-141.60   	 24.07   	 -10.17		  1.00   	   0.00		
-50.05   	-140.38   	 24.03   	  -5.09		  1.00   	   0.00		
-50.05   	-137.94   	 24.01   	   5.09		  1.00   	   0.00		
-49.44   	-132.75   	 24.03   	   5.09		  1.00   	   0.00		
-47.61   	-124.82   	 24.05   	   0.00		  1.00   	   0.00		
-45.47   	-114.14   	 24.05   	   5.09		  1.00   	   0.00		
-42.42   	-101.32   	 24.07   	  -5.09		  1.00   	   0.00		
-38.15   	-86.67   	 24.05   	  -5.09		  1.00   	   0.00		
-33.26   	-70.80   	 24.03   	 -10.17		  1.00   	  -5.09		
-27.77   	-54.63   	 23.99   	 -15.26		  0.98   	   0.00		
-21.67   	-39.06   	 23.93   	 -15.26		  0.98   	   0.00		
-14.95   	-24.41   	 23.87   	 -15.26		  0.98   	  -5.09		
 -7.93   	-11.90   	 23.80   	 -15.26		  0.96   	   0.00		
 -0.92   	 -1.83   	 23.74   	  -5.09		  0.96   	  -5.09		
  6.10   	  6.41   	 23.72   	   0.00		  0.94   	   0.00		
 12.82   	 14.34   	 23.72   	   5.09		  0.94   	   0.00		
 19.23   	 22.28   	 23.74   	  15.26		  0.94   	  -5.09		
 25.94   	 30.21   	 23.80   	  20.35		  0.92   	   0.00		
 32.04   	 36.93   	 23.89   	  25.43		  0.92   	   0.00		
 37.23   	 41.20   	 23.99   	  30.52		  0.92   	   0.00		
 40.28   	 43.33   	 24.11   	  35.61		  0.92   	   0.00		
 41.81   	 43.95   	 24.25   	  35.61		  0.92   	   0.00		
 42.72   	 44.56   	 24.39   	  35.61		  0.92   	   0.00		
 43.03   	 46.08   	 24.54   	  40.69		  0.92   	  -5.09		
 43.64   	 47.61   	 24.70   	  35.61		  0.90   	   5.09		
 44.86   	 48.83   	 24.84   	  40.69		  0.92   	   0.00		
 45.78   	 48.83   	 25.00   	  40.69		  0.92   	   0.00		
 46.69   	 47.91   	 25.17   	  40.69		  0.92   	   0.00		
 47.91   	 46.39   	 25.33   	  35.61		  0.92   	   0.00		
 49.13   	 45.17   	 25.47   	  40.69		  0.92   	   0.00		
 50.35   	 43.95   	 25.64   	  35.61		  0.92   	   5.09		
 50.96   	 43.64   	 25.78   	  25.43		  0.94   	   0.00		
 51.57   	 43.95   	 25.88   	  25.43		  0.94   	   0.00		
 51.57   	 45.17   	 25.98   	  10.17		  0.94   	   5.09		
 51.27   	 46.08   	 26.02   	   5.09		  0.96   	   0.00		
 50.66   	 46.69   	 26.04   	   0.00		  0.96   	   0.00		
 50.05   	 46.39   	 26.04   	   5.09		  0.96   	   5.09		
 49.74   	 45.47   	 26.06   	  20.35		  0.98   	   0.00		
 49.74   	 44.86   	 26.14   	  45.78		  0.98   	   0.00		
 50.66   	 45.47   	 26.33   	  81.38		  0.98   	   0.00		
 51.88   	 47.30   	 26.65   	 122.07		  0.98   	   0.00		
 52.49   	 50.35   	 27.14   	 162.77		  0.98   	   0.00		
 52.49   	 53.10   	 27.79   	 198.37		  0.98   	   0.00		
 52.80   	 54.32   	 28.59   	 218.72		  0.98   	   0.00		
 53.10   	 54.02   	 29.46   	 228.89		  0.98   	   0.00		
 53.71   	 51.88   	 30.38   	 223.80		  0.98   	   0.00		
 53.71   	 48.83   	 31.27   	 198.37		  0.98   	   0.00		
 53.10   	 45.78   	 32.06   	 162.77		  0.98   	   0.00		
 51.27   	 43.03   	 32.72   	 116.99		  0.98   	   0.00		
 48.83   	 40.59   	 33.18   	  76.30		  0.98   	   0.00		
 45.78   	 38.76   	 33.49   	  35.61		  0.98   	   0.00		
 43.33   	 36.93   	 33.63   	   5.09		  0.98   	   0.00		
 42.72   	 35.10   	 33.65   	 -20.35		  0.98   	   0.00		
 44.25   	 33.57   	 33.57   	 -30.52		  0.98   	   0.00		
 46.39   	 32.35   	 33.45   	 -30.52		  0.98   	   0.00		
 47.91   	 31.13   	 33.33   	 -15.26		  0.98   	   0.00		
 47.61   	 28.99   	 33.27   	  -5.09		  0.98   	   0.00		
 45.47   	 25.33   	 33.25   	  20.35		  0.98   	   0.00		
 42.42   	 20.45   	 33.33   	  40.69		  0.98   	   0.00		
 39.98   	 15.26   	 33.49   	  61.04		  0.98   	   0.00		
 39.37   	 11.90   	 33.73   	  71.21		  0.98   	   0.00		
 40.28   	 10.38   	 34.02   	  76.30		  0.98   	  -5.09		
 41.50   	 10.68   	 34.32   	  71.21		  0.96   	   0.00		
 42.42   	 11.29   	 34.61   	  61.04		  0.96   	   0.00		
 42.42   	 12.21   	 34.85   	  35.61		  0.96   	   0.00		
 41.81   	 13.43   	 34.99   	  15.26		  0.96   	  -5.09		
 41.20   	 15.87   	 35.06(V)	 -15.26		  0.94   	   0.00		
 41.20   	 19.84   	 34.99   	 -40.69		  0.94   	   0.00		
 41.81   	 25.63   	 34.83   	 -61.04		  0.94   	   0.00		
 43.33   	 34.48   	 34.59   	 -81.38		  0.94   	  -5.09		
 47.00   	 49.13   	 34.26   	 -96.64		  0.92   	   0.00		
 53.10   	 72.02   	 33.88   	-101.73		  0.92   	   0.00		
 61.65   	101.93   	 33.47   	-101.73		  0.92   	   0.00		
 72.02   	134.89   	 33.06   	-101.73		  0.92   	   0.00		
 82.09   	162.35   	 32.66   	 -96.64		  0.92   	   0.00		
 89.72   	178.53   	 32.27   	 -86.47		  0.92   	   0.00		
 94.60   	181.88   	 31.92   	 -81.38		  0.92   	   5.09		
 97.35   	177.00   	 31.60   	 -76.30		  0.94   	   0.00		
 97.66   	169.68   	 31.29   	 -71.21		  0.94   	   0.00		
 95.83   	162.66   	 31.01   	 -76.30		  0.94   	   0.00		
 90.94   	151.37   	 30.70   	 -71.21		  0.94   	   5.09		
 81.18   	129.39   	 30.42   	 -76.30		  0.96   	   0.00		
 66.83   	 94.91   	 30.11   	 -76.30		  0.96   	   0.00		
 49.44   	 54.02   	 29.81   	 -81.38		  0.96   	   5.09		
 32.65   	 18.92   	 29.48   	 -81.38		  0.98   	   0.00		
 21.36   	 -1.83   	 29.16   	 -81.38		  0.98   	   0.00		
 18.01   	 -7.93   	 28.83   	 -86.47		  0.98   	   0.00		
 21.97   	 -8.54   	 28.48   	 -76.30		  0.98   	   0.00		
 28.99   	-14.65   	 28.18   	 -76.30		  0.98   	   0.00		
 34.18   	-30.52   	 27.87   	 -66.12		  0.98   	   0.00		
 34.79   	-52.49   	 27.61   	 -61.04		  0.98   	   0.00		
 30.52   	-72.33   	 27.37   	 -55.95		  0.98   	   0.00		
 25.33   	-84.23   	 27.14   	 -50.86		  0.98   	   0.00		
 22.58   	-88.50   	 26.94   	 -40.69		  0.98   	   0.00		
 25.33   	-89.11   	 26.78   	 -35.61		  0.98   	   0.00		
 33.57   	-89.11   	 26.63   	 -30.52		  0.98   	   0.00		
 43.95   	-88.50   	 26.51   	 -30.52		  0.98   	   0.00		
 51.88   	-85.75   	 26.39   	 -25.43		  0.98   	   0.00		
 54.32   	-79.65   	 26.29   	 -25.43		  0.98   	   0.00		
 53.41   	-70.80   	 26.19   	 -25.43		  0.98   	  -5.09		
 52.80   	-62.56   	 26.08   	 -30.52		  0.96   	   0.00		
 54.93   	-58.29   	 25.96   	 -30.52		  0.96   	   0.00		
 58.59   	-59.51   	 25.84   	 -35.61		  0.96   	   0.00		
 60.73   	-64.70   	 25.70   	 -45.78		  0.96   	   0.00		
 59.51   	-69.89   	 25.51   	 -45.78		  0.96   	   0.00		
 55.24   	-71.72   	 25.33   	 -50.86		  0.96   	   0.00		
 49.74   	-68.36   	 25.13   	 -55.95		  0.96   	   0.00		
 43.95   	-61.65   	 24.90   	 -55.95		  0.96   	   0.00		
 37.23   	-55.85   	 24.68   	 -50.86		  0.96   	   0.00		
 28.99   	-54.02   	 24.48   	 -45.78		  0.96   	   0.00		
 19.23   	-56.76   	 24.29   	 -40.69		  0.96   	   0.00		
  9.46   	-61.04   	 24.13   	 -30.52		  0.96   	   0.00		
  1.83   	-61.95   	 24.01   	 -25.43		  0.96   	   0.00		
 -0.61   	-57.07   	 23.91   	 -15.26		  0.96   	  -5.09		
  2.14   	-47.00   	 23.85   	  -5.09		  0.94   	   0.00		
  9.46   	-36.32   	 23.82   	  -5.09		  0.94   	   0.00		
 19.23   	-29.91   	 23.80   	  -5.09		  0.94   	   0.00		
 27.16   	-28.69   	 23.78   	  -5.09		  0.94   	   0.00		
 31.13   	-31.13   	 23.76   	  -5.09		  0.94   	   0.00		
 30.21   	-33.57   	 23.74   	 -15.26		  0.94   	   0.00		
 26.25   	-33.57   	 23.68   	 -15.26		  0.94   	   0.00		
 21.67   	-31.43   	 23.62   	 -20.35		  0.94   	   0.00		
 18.62   	-28.99   	 23.54   	 -25.43		  0.94   	   0.00		
 18.62   	-25.02   	 23.44   	 -25.43		  0.94   	   0.00		
 20.14   	-13.73   	 23.34   	 -30.52		  0.94   	   0.00		
 22.28   	 13.73   	 23.21   	 -25.43		  0.94   	   0.00		
 24.11   	 68.36   	 23.11   	 -25.43		  0.94   	   0.00		
 26.86   	159.00   	 23.01   	 -20.35		  0.94   	   0.00		
 32.96   	289.00   	 22.93   	 -10.17		  0.94   	   0.00		
 45.78   	455.93   	 22.89   	 -10.17		  0.94   	   0.00		
 66.83   	653.38   	 22.85   	  -5.09		  0.94   	   0.00		
100.71   	867.31   	 22.83   	   5.09		  0.94   	   0.00		
151.98   	1070.25   	 22.85   	   5.09		  0.94   	   0.00		
220.34   	1217.35   	 22.87   	  10.17		  0.94   	   0.00		
287.78   	1249.08(R)	 22.91   	   5.09		  0.94   	   0.00		
322.27   	1113.89   	 22.93   	  10.17		  0.94   	   0.00		
297.85   	813.90   	 22.97   	  10.17		  0.94   	   0.00		
218.51   	418.09   	 23.01   	   5.09		  0.94   	   5.09		
125.43   	 39.06   	 23.03   	  10.17		  0.96   	   0.00		
 71.11   	-217.59   	 23.07   	   5.09		  0.96   	   0.00		
 81.48   	-313.42   	 23.09   	  15.26		  0.96   	   0.00		
133.06   	-291.75   	 23.15   	  15.26		  0.96   	   0.00		
173.95   	-229.19   	 23.21   	  20.35		  0.96   	   5.09		
165.71   	-184.33   	 23.30   	  25.43		  0.98   	   0.00		
108.95   	-171.51   	 23.40   	  35.61		  0.98   	   0.00		
 33.87   	-170.59   	 23.54   	  40.69		  0.98   	   0.00		
-24.41   	-159.30   	 23.70   	  45.78		  0.98   	   0.00		
-49.74   	-133.97   	 23.89   	  40.69		  0.98   	   0.00		
-47.00   	-108.34   	 24.05   	  45.78		  0.98   	   0.00		
-31.74   	-94.91   	 24.23   	  40.69		  0.98   	   0.00		
-14.65   	-94.60   	 24.39   	  40.69		  0.98   	   0.00		
 -0.61   	-100.10   	 24.56   	  30.52		  0.98   	   0.00		
  8.85   	-103.45   	 24.68   	  25.43		  0.98   	   0.00		
 13.43   	-101.93   	 24.78   	  15.26		  0.98   	  -5.09		
 11.90   	-97.96   	 24.84   	   5.09		  0.96   	   0.00		
  5.19   	-95.52   	 24.86   	   0.00		  0.96   	   0.00		
 -3.66   	-96.13   	 24.86   	  -5.09		  0.96   	   0.00		
-11.29   	-98.57   	 24.84   	 -15.26		  0.96   	  -5.09		
-16.48   	-100.71   	 24.78   	 -20.35		  0.94   	   0.00		
-18.62   	-100.71   	 24.70   	 -25.43		  0.94   	   0.00		
-18.62   	-99.49   	 24.60   	 -15.26		  0.94   	   0.00		
-17.09   	-97.35   	 24.54   	 -10.17		  0.94   	   0.00		
-14.04   	-95.21   	 24.50   	   5.09		  0.94   	   0.00		
-11.60   	-93.08   	 24.52   	  25.43		  0.94   	   0.00		
-12.21   	-91.55   	 24.62   	  45.78		  0.94   	   0.00		
-16.17   	-89.42   	 24.80   	  71.21		  0.94   	   0.00		
-19.23   	-86.67   	 25.09   	  91.56		  0.94   	   0.00		
-16.17   	-83.62   	 25.45   	 101.73		  0.94   	   0.00		
 -5.49   	-81.48   	 25.86   	 116.99		  0.94   	   0.00		
  7.02   	-81.18   	 26.33   	 106.82		  0.94   	   5.09		
 11.90   	-83.62   	 26.75   	 101.73		  0.96   	   0.00		
  6.10   	-86.67   	 27.16   	  76.30		  0.96   	   0.00		
 -6.10   	-89.42   	 27.47   	  50.86		  0.96   	   5.09		
-16.78   	-90.03   	 27.67   	  15.26		  0.98   	   0.00		
-21.06   	-89.42   	 27.73(A)	 -10.17		  0.98   	   0.00		
-20.14   	-87.59   	 27.69   	 -35.61		  0.98   	   0.00		
-17.70   	-86.06   	 27.55   	 -61.04		  0.98   	   5.09		
-17.70   	-85.14   	 27.30   	 -66.12		  1.00   	   0.00		
-19.84   	-83.92   	 27.04   	 -76.30		  1.00   	   0.00		
-21.06   	-83.62   	 26.73   	 -76.30		  1.00   	   0.00		
-20.75   	-83.62   	 26.43   	 -61.04		  1.00   	   0.00		
-18.92   	-85.14   	 26.19   	 -55.95		  1.00   	   0.00		
-15.87   	-87.28   	 25.96   	 -35.61		  1.00   	   0.00		
-13.12   	-89.42   	 25.82   	 -30.52		  1.00   	   0.00		
-13.12   	-91.55   	 25.70   	 -15.26		  1.00   	  -5.09		
-18.01   	-93.69   	 25.64   	 -10.17		  0.98   	   0.00		
-27.77   	-97.05   	 25.60   	 -10.17		  0.98   	   0.00		
-38.15   	-101.62   	 25.55   	 -15.26		  0.98   	   0.00		
-44.56   	-106.20   	 25.49   	 -15.26		  0.98   	   0.00		
-43.64   	-109.86   	 25.43   	 -25.43		  0.98   	   0.00		
-37.23   	-111.39   	 25.33   	 -35.61		  0.98   	   0.00		
-30.82   	-112.00   	 25.19   	 -40.69		  0.98   	   0.00		
-29.60   	-112.92   	 25.03   	 -40.69		  0.98   	  -5.09		
-34.18   	-116.58   	 24.86   	 -45.78		  0.96   	   0.00		
-39.98   	-122.38   	 24.68   	 -45.78		  0.96   	   0.00		
-43.33   	-129.09   	 24.50   	 -45.78		  0.96   	   0.00		
-43.64   	-134.28   	 24.31   	 -35.61		  0.96   	   0.00		
-44.56   	-136.72   	 24.17   	 -35.61		  0.96   	   0.00		
-48.83   	-136.11   	 24.03   	 -25.43		  0.96   	   5.09		
-56.76   	-133.97   	 23.93   	 -15.26		  0.98   	   0.00		
-64.70   	-130.92   	 23.87   	 -15.26		  0.98   	   0.00		
-68.97   	-127.87   	 23.80   	  -5.09		  0.98   	   0.00		
-68.97   	-123.60   	 23.78   	  -5.09		  0.98   	   0.00		
-67.44   	-118.10   	 23.76   	   0.00		  0.98   	   0.00		
-67.14   	-111.69   	 23.76   	   0.00		  0.98   	   5.09		
-68.05   	-103.15   	 23.76   	   0.00		  1.00   	   0.00		
-67.44   	-91.55   	 23.76   	   0.00		  1.00   	   0.00		
-63.17   	-76.90   	 23.76   	  -5.09		  1.00   	   0.00		
-55.24   	-60.12   	 23.74   	   0.00		  1.00   	   0.00		
-45.78   	-42.72   	 23.74   	  -5.09		  1.00   	   0.00		
-37.84   	-26.86   	 23.72   	 -10.17		  1.00   	   0.00		
-32.04   	-13.12   	 23.68   	   0.00		  1.00   	   0.00		
-27.77   	 -0.61   	 23.68   	  -5.09		  1.00   	   0.00		
-22.58   	 11.29   	 23.66   	   0.00		  1.00   	   0.00		
-15.26   	 22.28   	 23.66   	   5.09		  1.00   	   0.00		
 -5.49   	 31.43   	 23.68   	  10.17		  1.00   	   0.00		
  4.58   	 38.45   	 23.72   	  10.17		  1.00   	  -5.09		
 11.90   	 43.95   	 23.76   	  15.26		  0.98   	   0.00		
 14.04   	 48.83   	 23.82   	  15.26		  0.98   	   0.00		
 11.90   	 54.02   	 23.89   	  20.35		  0.98   	   0.00		
  9.16   	 58.90   	 23.97   	  20.35		  0.98   	  -5.09		
  9.77   	 62.87   	 24.05   	  20.35		  0.96   	   0.00		
 14.34   	 64.70   	 24.13   	  25.43		  0.96   	  -5.09		
 20.45   	 64.39   	 24.23   	  25.43		  0.94   	   0.00		
 25.02   	 63.48   	 24.33   	  25.43		  0.94   	   0.00		
 25.33   	 62.56   	 24.44   	  25.43		  0.94   	  -5.09		
 23.19   	 62.87   	 24.54   	  30.52		  0.92   	   0.00		
 21.67   	 64.09   	 24.66   	  25.43		  0.92   	  -5.09		
 22.58   	 65.61   	 24.76   	  30.52		  0.90   	   0.00		
 25.63   	 66.83   	 24.88   	  30.52		  0.90   	   0.00		
 28.08   	 67.75   	 25.00   	  25.43		  0.90   	   0.00		
 26.86   	 68.66   	 25.11   	  20.35		  0.90   	   0.00		
 21.67   	 70.19   	 25.19   	  15.26		  0.90   	  -5.09		
 16.17   	 72.63   	 25.25   	   0.00		  0.87   	   5.09		
 14.04   	 75.38   	 25.25   	  -5.09		  0.90   	   0.00		
 16.17   	 78.43   	 25.23   	 -10.17		  0.90   	   0.00		
 20.45   	 80.87   	 25.19   	 -10.17		  0.90   	   0.00		
 23.19   	 82.40   	 25.15   	   0.00		  0.90   	   5.09		
 22.28   	 83.31   	 25.15   	  25.43		  0.92   	   0.00		
 18.01   	 82.70   	 25.25   	  61.04		  0.92   	   5.09		
 13.12   	 81.18   	 25.49   	 101.73		  0.94   	   0.00		
 10.68   	 79.96   	 25.90   	 152.59		  0.94   	   5.09		
 11.60   	 78.74   	 26.51   	 193.29		  0.96   	   0.00		
 14.34   	 78.13   	 27.28   	 218.72		  0.96   	   0.00		
 16.48   	 77.82   	 28.16   	 244.15		  0.96   	   5.09		
 16.17   	 78.43   	 29.14   	 239.06		  0.98   	   0.00		
 13.73   	 79.35   	 30.09   	 218.72		  0.98   	   5.09		
 10.99   	 79.96   	 30.97   	 193.29		  1.00   	   0.00		
 10.07   	 79.35   	 31.74   	 147.51		  1.00   	   0.00		
 10.68   	 76.90   	 32.33   	 101.73		  1.00   	   0.00		
 11.60   	 73.85   	 32.74   	  50.86		  1.00   	   0.00		
 11.29   	 71.41   	 32.94   	  15.26		  1.00   	   0.00		
  8.85   	 69.58   	 33.00   	 -15.26		  1.00   	   0.00		
  5.19   	 67.75   	 32.94   	 -40.69		  1.00   	   0.00		
  1.83   	 65.00   	 32.78   	 -40.69		  1.00   	   0.00		
 -0.61   	 61.65   	 32.61   	 -40.69		  1.00   	   0.00		
 -1.53   	 58.90   	 32.45   	 -25.43		  1.00   	   0.00		
 -2.44   	 57.37   	 32.35   	  -5.09		  1.00   	   0.00		
 -3.66   	 57.68   	 32.33   	  15.26		  1.00   	  -5.09		
 -5.49   	 57.98   	 32.39   	  30.52		  0.98   	   0.00		
 -7.32   	 57.07   	 32.51   	  50.86		  0.98   	   0.00		
 -9.16   	 54.32   	 32.72   	  55.95		  0.98   	  -5.09		
-10.68   	 49.74   	 32.94   	  61.04		  0.96   	   0.00		
-10.99   	 45.47   	 33.18   	  55.95		  0.96   	   0.00		
 -9.77   	 43.95   	 33.41   	  40.69		  0.96   	  -5.09		
 -8.24   	 46.08   	 33.57   	  30.52		  0.94   	   0.00		
