  I     	  II     	  CH1     	  CH1'		  LV     	  LV'		
157.47   	734.56   	  6.78   	 -10.17		101.57   	-127.16		
166.93   	753.78   	  6.73   	  -5.09		101.06   	-289.93		
174.87   	787.35   	  6.71   	 -15.26		 99.90   	-391.66		
180.97   	831.30   	  6.65   	 -10.17		 98.33   	-473.04		
185.85   	872.50   	  6.61   	 -15.26		 96.44   	-539.16		
191.35   	898.13   	  6.55   	 -15.26		 94.28   	-498.47		
197.75   	899.96   	  6.49   	 -15.26		 92.29   	-254.32		
203.86   	878.30   	  6.43   	 -10.17		 91.27   	  66.12		
209.05   	840.15   	  6.39   	 -15.26		 91.54   	 305.19		
213.01   	797.73   	  6.33   	 -10.17		 92.76   	 437.43		
216.67   	765.08   	  6.29   	  -5.09		 94.51   	 295.01		
219.42   	749.51   	  6.27   	   0.00		 95.69   	 -86.47		
221.56   	743.41   	  6.27   	   0.00		 95.34   	-284.84		
221.56   	729.37   	  6.27   	   5.09		 94.20   	-300.10		
218.81   	694.27   	  6.29   	  15.26		 93.00   	-513.73		
213.32   	641.48   	  6.35   	  15.26		 90.95   	-752.79		
205.08   	588.07   	  6.41   	  20.35		 87.93   	-813.83		
195.01   	549.32   	  6.49   	  20.35		 84.68   	-864.70		
184.63   	524.90   	  6.57   	  25.43		 81.22   	-869.78		
173.34   	500.79   	  6.67   	  25.43		 77.74   	-783.31		
162.05   	463.56   	  6.78   	  30.52		 74.61   	-752.79		
150.15   	413.82   	  6.90   	  25.43		 71.60   	-651.07		
138.24   	366.21   	  7.00   	  30.52		 68.99   	-467.95		
126.65   	332.34   	  7.12   	  20.35		 67.12   	-457.78		
115.66   	310.36   	  7.20   	  25.43		 65.29   	-518.82		
106.20   	287.78   	  7.30   	  15.26		 63.21   	-523.90		
 98.27   	256.04   	  7.37   	  20.35		 61.12   	-142.42		
 91.25   	220.03   	  7.45   	  10.17		 60.55   	 401.83		
 83.92   	193.18   	  7.49   	  10.17		 62.16   	-122.07		
 75.38   	181.88   	  7.53   	   5.09		 61.67   	-1358.08		
 66.22   	177.31   	  7.55   	   0.00		 56.24   	-2604.26		
 56.76   	161.13   	  7.55   	   0.00		 45.82   	-3336.71		
 48.52   	124.21   	  7.55   	  -5.09		 32.47   	-3143.43		
 41.50   	 76.60   	  7.53   	 -10.17		 19.90   	-2309.25		
 34.18   	 36.62   	  7.49   	 -10.17		 10.66   	-1154.62		
 26.25   	 14.34   	  7.45   	 -10.17		  6.04   	 -30.52		
 18.92   	  4.27   	  7.41   	 -15.26		  5.92   	 732.45		
 13.43   	 -7.02   	  7.34   	 -15.26		  8.85   	1032.55		
 10.07   	-24.11   	  7.28   	 -15.26		 12.98   	 793.49		
  7.32   	-40.59   	  7.22   	 -15.26		 16.15   	 183.11		
  3.97   	-47.61   	  7.16   	 -15.26		 16.89   	-330.62		
 -0.92   	-48.83   	  7.10   	 -20.35		 15.56   	-528.99		
 -5.80   	-55.54   	  7.02   	 -15.26		 13.45   	-569.68		
-10.99   	-73.24   	  6.96   	 -10.17		 11.17   	-539.16		
-16.48   	-93.08   	  6.92   	 -15.26		  9.01   	-437.43		
-21.36   	-100.10   	  6.86   	 -10.17		  7.26   	-361.14		
-22.89   	-88.81   	  6.82   	 -10.17		  5.82   	-320.45		
-19.53   	-71.11   	  6.78   	 -10.17		  4.54   	-254.32		
-11.90   	-65.61   	  6.73   	  -5.09		  3.52   	-218.72		
 -4.58   	-80.57   	  6.71   	  -5.09		  2.64   	-193.29		
 -1.53   	-107.73   	  6.69   	  -5.09		  1.87   	-193.29		
 -3.97   	-131.84   	  6.67   	   0.00		  1.10   	-188.20		
 -9.46   	-142.52   	  6.67   	   0.00		  0.35   	-157.68		
-14.65   	-138.85   	  6.67   	   0.00		 -0.28   	 -35.61		
-17.70   	-126.95   	  6.67   	   5.09		 -0.43   	 127.16		
-19.23   	-114.44   	  6.69   	   0.00		  0.08   	 239.06		
-20.14   	-108.34   	  6.69   	   5.09		  1.04   	 361.14		
-20.75   	-111.39   	  6.71   	  10.17		  2.48   	 452.69		
-20.45   	-121.46   	  6.75   	   5.09		  4.29   	 478.13		
-18.62   	-131.53   	  6.78   	   5.09		  6.21   	 437.43		
-14.95   	-137.02   	  6.80   	   5.09		  7.96   	 340.79		
-11.29   	-137.33   	  6.82   	   5.09		  9.32   	 183.11		
-10.38   	-135.80   	  6.84   	  10.17		 10.05   	 -35.61		
-14.04   	-136.72   	  6.88   	   5.09		  9.91   	-300.10		
-20.45   	-139.16   	  6.90   	   5.09		  8.71   	-488.30		
-25.94   	-141.91   	  6.92   	   5.09		  6.75   	-513.73		
-27.16   	-143.13   	  6.94   	   5.09		  4.70   	-412.00		
-23.80   	-143.13   	  6.96   	   5.09		  3.05   	-279.75		
-19.84   	-140.38   	  6.98   	   0.00		  1.93   	 -91.56		
-19.84   	-135.19   	  6.98   	   5.09		  1.57   	 157.68		
-24.11   	-130.92   	  7.00   	   0.00		  2.20   	 427.26		
-30.52   	-132.14   	  7.00   	   5.09		  3.91   	 620.55		
-34.79   	-140.99   	  7.02   	   0.00		  6.39   	 635.81		
-36.01   	-152.89   	  7.02   	   0.00		  8.93   	 437.43		
-34.18   	-157.17   	  7.02   	   0.00		 10.68   	 162.77		
-31.13   	-148.32   	  7.02   	   0.00		 11.33   	-127.16		
-28.08   	-133.06   	  7.02   	   0.00		 10.82   	-366.22		
-25.94   	-123.60   	  7.02   	  -5.09		  9.36   	-422.18		
-25.63   	-127.56   	  7.00   	   0.00		  7.67   	-340.79		
-27.77   	-142.21   	  7.00   	   0.00		  6.31   	-213.63		
-31.74   	-156.86   	  7.00   	  -5.09		  5.45   	 -76.30		
-34.79   	-163.57   	  6.98   	  -5.09		  5.15   	  40.69		
-34.79   	-162.35   	  6.96   	   0.00		  5.31   	 122.07		
-31.13   	-158.39   	  6.96   	  -5.09		  5.80   	 193.29		
-25.94   	-154.42   	  6.94   	  -5.09		  6.57   	 244.15		
-21.97   	-151.37   	  6.92   	  -5.09		  7.55   	 228.89		
-20.14   	-149.23   	  6.90   	   0.00		  8.46   	 172.94		
-20.45   	-148.62   	  6.90   	  -5.09		  9.16   	 111.90		
-22.58   	-150.15   	  6.88   	  -5.09		  9.60   	   5.09		
-25.02   	-152.59   	  6.86   	   0.00		  9.62   	-106.82		
-27.77   	-153.50   	  6.86   	  -5.09		  9.20   	-172.94		
-29.60   	-152.28   	  6.84   	  -5.09		  8.50   	-183.11		
-29.91   	-149.23   	  6.82   	  -5.09		  7.77   	-122.07		
-28.08   	-144.04   	  6.80   	   0.00		  7.28   	  15.26		
-25.94   	-137.02   	  6.80   	  -5.09		  7.34   	 895.22		
-32.04   	-145.57   	  6.78   	  -5.09		 10.93   	 310.27		
-34.79   	-169.37   	  6.75   	   0.00		 12.17   	 228.89		
-34.48   	-186.77   	  6.75   	   0.00		 13.08   	 122.07		
-31.43   	-183.11   	  6.75   	   0.00		 13.57   	 -15.26		
-28.99   	-155.94   	  6.75   	   0.00		 13.51   	-137.33		
-29.30   	-122.99   	  6.75   	   5.09		 12.96   	-193.29		
-31.43   	-109.86   	  6.78   	   0.00		 12.19   	-223.80		
-33.57   	-126.65   	  6.78   	   0.00		 11.29   	-244.15		
-34.18   	-158.39   	  6.78   	   5.09		 10.32   	-198.37		
-33.57   	-177.00   	  6.80   	   0.00		  9.52   	 -91.56		
-32.96   	-166.32   	  6.80   	   5.09		  9.16   	 -10.17		
-32.65   	-137.02   	  6.82   	   0.00		  9.11   	  66.12		
-32.96   	-115.66   	  6.82   	   5.09		  9.38   	 162.77		
-33.26   	-118.41   	  6.84   	   5.09		 10.03   	 213.63		
-33.87   	-137.63   	  6.86   	   0.00		 10.89   	 203.46		
-33.57   	-151.67   	  6.86   	   5.09		 11.70   	 147.51		
-32.35   	-147.09   	  6.88   	   0.00		 12.29   	  86.47		
-29.91   	-132.14   	  6.88   	   5.09		 12.63   	  10.17		
-28.38   	-129.09   	  6.90   	   5.09		 12.68   	 -81.38		
-28.69   	-145.87   	  6.92   	   0.00		 12.35   	-137.33		
-31.43   	-169.07   	  6.92   	   5.09		 11.80   	-147.51		
-34.79   	-174.87   	  6.94   	   0.00		 11.21   	-137.33		
-36.93   	-152.28   	  6.94   	   0.00		 10.66   	 -96.64		
-36.62   	-114.14   	  6.94   	   5.09		 10.27   	 -40.69		
-34.48   	-89.72   	  6.96   	   0.00		 10.11   	   5.09		
-31.43   	-100.10   	  6.96   	   0.00		 10.13   	  30.52		
-28.38   	-135.80   	  6.96   	   0.00		 10.25   	  50.86		
-25.94   	-163.57   	  6.96   	   5.09		 10.46   	  61.04		
-25.02   	-155.33   	  6.98   	   0.00		 10.70   	  50.86		
-25.02   	-114.14   	  6.98   	   0.00		 10.91   	  35.61		
-25.33   	-73.55   	  6.98   	   0.00		 11.05   	  15.26		
-24.72   	-71.11   	  6.98   	   0.00		 11.11   	  -5.09		
-23.80   	-114.44   	  6.98   	  -5.09		 11.09   	 -30.52		
-22.89   	-170.90   	  6.96   	   0.00		 10.97   	 -20.35		
-22.58   	-195.01   	  6.96   	   0.00		 10.89   	   0.00		
-23.50   	-167.85   	  6.96   	   0.00		 10.89   	  20.35		
-25.33   	-110.17   	  6.96   	  -5.09		 10.97   	  35.61		
-27.77   	-65.31   	  6.94   	   0.00		 11.11   	  40.69		
-30.21   	-65.31   	  6.94   	   0.00		 11.27   	  15.26		
-31.43   	-108.95   	  6.94   	  -5.09		 11.33   	 -25.43		
-31.43   	-162.96   	  6.92   	   0.00		 11.23   	 -40.69		
-30.52   	-187.99   	  6.92   	   0.00		 11.07   	   0.00		
-29.91   	-166.93   	  6.92   	  -5.09		 11.07   	  40.69		
-30.52   	-115.66   	  6.90   	   0.00		 11.23   	  76.30		
-31.43   	-71.41   	  6.90   	   0.00		 11.54   	  86.47		
-31.74   	-64.70   	  6.90   	  -5.09		 11.88   	  55.95		
-30.52   	-97.96   	  6.88   	   0.00		 12.11   	 -30.52		
-27.77   	-145.26   	  6.88   	   0.00		 11.98   	-132.25		
-25.63   	-171.81   	  6.88   	   0.00		 11.45   	-167.85		
-25.33   	-161.44   	  6.88   	  -5.09		 10.78   	-137.33		
-27.16   	-127.56   	  6.86   	   0.00		 10.23   	 -55.95		
-30.52   	-98.27   	  6.86   	   0.00		 10.01   	  71.21		
-32.04   	-93.38   	  6.86   	   0.00		 10.29   	 203.46		
-30.82   	-112.92   	  6.86   	   0.00		 11.11   	 284.84		
-28.69   	-138.85   	  6.86   	   0.00		 12.25   	 300.10		
-27.47   	-150.76   	  6.86   	  -5.09		 13.45   	 244.15		
-28.69   	-141.91   	  6.84   	   0.00		 14.43   	 116.99		
-31.13   	-121.15   	  6.84   	   0.00		 14.89   	 -35.61		
-32.35   	-105.90   	  6.84   	   0.00		 14.75   	-142.42		
-31.43   	-107.12   	  6.84   	  -5.09		 14.18   	-208.54		
-29.60   	-123.29   	  6.82   	   0.00		 13.35   	-254.32		
-28.69   	-141.30   	  6.82   	   0.00		 12.33   	-244.15		
-29.30   	-147.71   	  6.82   	   0.00		 11.35   	-162.77		
-30.21   	-136.11   	  6.82   	  -5.09		 10.70   	 -66.12		
-30.52   	-112.61   	  6.80   	   0.00		 10.44   	  15.26		
-30.21   	-88.81   	  6.80   	   0.00		 10.50   	 111.90		
-29.60   	-75.07   	  6.80   	   0.00		 10.95   	 213.63		
-28.69   	-73.24   	  6.80   	   0.00		 11.80   	 239.06		
-27.77   	-79.65   	  6.80   	   0.00		 12.76   	 198.37		
-26.25   	-88.20   	  6.80   	   0.00		 13.55   	 178.03		
-24.11   	-95.21   	  6.80   	   5.09		 14.26   	 142.42		
-22.58   	-98.88   	  6.82   	   0.00		 14.83   	  61.04		
-21.67   	-100.40   	  6.82   	   0.00		 15.08   	 -25.43		
-21.67   	-100.71   	  6.82   	   0.00		 14.97   	 -50.86		
-22.89   	-99.18   	  6.82   	   5.09		 14.77   	 -66.12		
-24.72   	-95.21   	  6.84   	   0.00		 14.51   	 -91.56		
-26.55   	-88.81   	  6.84   	   5.09		 14.14   	 -81.38		
-27.77   	-83.01   	  6.86   	   0.00		 13.81   	 -61.04		
-27.77   	-81.18   	  6.86   	   5.09		 13.57   	 -35.61		
-26.86   	-85.45   	  6.88   	   0.00		 13.43   	   5.09		
-26.25   	-94.30   	  6.88   	   0.00		 13.45   	  71.21		
-26.55   	-102.54   	  6.88   	   5.09		 13.73   	 132.25		
-27.16   	-105.59   	  6.90   	   0.00		 14.26   	 183.11		
-27.77   	-101.62   	  6.90   	   5.09		 14.99   	 218.72		
-28.08   	-93.69   	  6.92   	   0.00		 15.87   	 228.89		
-27.47   	-85.45   	  6.92   	   0.00		 16.79   	 183.11		
-26.55   	-79.96   	  6.92   	   0.00		 17.52   	 122.07		
-25.94   	-77.51   	  6.92   	   5.09		 18.01   	  35.61		
-25.94   	-77.51   	  6.94   	   0.00		 18.15   	 -40.69		
-25.94   	-78.74   	  6.94   	   0.00		 17.99   	 -91.56		
-26.25   	-80.57   	  6.94   	   0.00		 17.62   	 -91.56		
-26.55   	-81.48   	  6.94   	   5.09		 17.25   	 -71.21		
-26.55   	-81.18   	  6.96   	   0.00		 16.97   	 -25.43		
-26.25   	-79.04   	  6.96   	   0.00		 16.87   	  20.35		
-25.33   	-75.99   	  6.96   	   0.00		 16.95   	  55.95		
-23.80   	-73.85   	  6.96   	   0.00		 17.17   	  91.56		
-22.58   	-73.24   	  6.96   	   0.00		 17.54   	 137.33		
-21.67   	-74.46   	  6.96   	   0.00		 18.09   	 157.68		
-21.36   	-75.99   	  6.96   	   0.00		 18.72   	 142.42		
-21.06   	-77.21   	  6.96   	   0.00		 19.29   	 101.73		
-20.45   	-77.21   	  6.96   	   0.00		 19.69   	  76.30		
-19.84   	-76.29   	  6.96   	   0.00		 20.00   	  55.95		
-18.92   	-74.46   	  6.96   	   0.00		 20.22   	  20.35		
-18.31   	-71.72   	  6.96   	  -5.09		 20.31   	 -10.17		
-18.01   	-68.97   	  6.94   	   0.00		 20.26   	 -30.52		
-17.70   	-66.83   	  6.94   	   0.00		 20.14   	 -20.35		
-17.09   	-65.92   	  6.94   	   0.00		 20.06   	   0.00		
-16.17   	-66.83   	  6.94   	  -5.09		 20.06   	  20.35		
-14.65   	-67.75   	  6.92   	   0.00		 20.14   	  35.61		
-13.43   	-67.14   	  6.92   	  -5.09		 20.28   	  15.26		
-12.21   	-64.70   	  6.90   	   0.00		 20.35   	 -25.43		
-12.51   	-61.04   	  6.90   	  -5.09		 20.24   	 -55.95		
-13.73   	-57.68   	  6.88   	   0.00		 20.02   	 -81.38		
-16.17   	-55.54   	  6.88   	   0.00		 19.69   	 -76.30		
-18.62   	-54.93   	  6.88   	  -5.09		 19.39   	 -55.95		
-20.75   	-54.02   	  6.86   	   0.00		 19.17   	  -5.09		
-22.58   	-52.80   	  6.86   	   0.00		 19.15   	  96.64		
-24.41   	-51.88   	  6.86   	   0.00		 19.53   	 183.11		
-26.86   	-52.49   	  6.86   	  -5.09		 20.26   	 218.72		
-28.08   	-53.71   	  6.84   	   0.00		 21.14   	 198.37		
-26.25   	-48.52   	  6.84   	   0.00		 21.93   	 157.68		
-20.14   	-23.80   	  6.84   	   0.00		 22.56   	  91.56		
-13.12   	 34.79   	  6.84   	   0.00		 22.93   	 -20.35		
 -9.16   	139.77   	  6.84   	   5.09		 22.85   	-122.07		
-10.68   	300.29   	  6.86   	   0.00		 22.36   	-152.59		
-12.82   	513.61   	  6.86   	   0.00		 21.75   	 -91.56		
 -6.71   	755.92   	  6.86   	   0.00		 21.38   	  45.78		
 13.43   	978.09   	  6.86   	   0.00		 21.57(E)	 223.80		
 42.42   	1116.94   	  6.86   	   5.09		 22.46   	 391.66		
 65.31   	1126.10(R)	  6.88   	   0.00		 24.03   	 528.99		
 64.70   	1006.16   	  6.88   	   0.00		 26.14   	 605.29		
 34.48   	808.41   	  6.88   	   5.09		 28.57   	 640.89		
-16.48   	602.72   	  6.90   	   0.00		 31.13   	 686.67		
-70.50   	437.32   	  6.90   	   0.00		 33.88   	 742.62		
-112.30   	319.52   	  6.90   	   0.00		 36.85   	 849.44		
-135.80   	233.46   	  6.90   	   5.09		 40.24   	1108.85		
-140.69   	161.44   	  6.92   	   0.00		 44.68   	1653.10		
-130.00   	 97.96   	  6.92   	   0.00		 51.29   	2370.29		
-106.51   	 43.64   	  6.92   	   0.00		 60.77   	2960.31		
-74.77   	 -2.14   	  6.92   	   0.00		 72.61   	3357.06		
-42.72   	-42.42   	  6.92   	   0.00		 86.04   	3189.20		
-18.92   	-74.77   	  6.92   	   0.00		 98.80   	2110.88		
 -8.24   	-93.38   	  6.92   	   0.00		107.24   	 981.68		
 -7.63   	-98.27   	  6.92   	   0.00		111.17   	 -25.43		
-10.99   	-96.13   	  6.92   	  -5.09		111.07   	-961.34		
-13.12   	-96.44   	  6.90   	   0.00		107.22   	-412.00		
-11.90   	-102.84   	  6.90   	   0.00		105.57   	1078.33		
 -8.85   	-112.30   	  6.90   	  -5.09		109.89   	1820.95		
 -6.10   	-119.02   	  6.88   	   0.00		117.17   	2360.11		
 -4.88   	-121.46   	  6.88   	   0.00		126.61   	2685.65		
 -5.49   	-120.85   	  6.88   	  -5.09		137.35   	2019.32		
 -7.32   	-119.63   	  6.86   	   0.00		145.43   	 844.35		
 -9.46   	-119.32   	  6.86   	   0.00		148.81   	-386.57		
-10.99   	-119.32   	  6.86   	  -5.09		147.26   	-1688.70		
-10.99   	-120.54   	  6.84   	   0.00		140.51   	-2390.63		
-10.38   	-122.07   	  6.84   	   0.00		130.95   	-2553.40		
-10.38   	-123.29   	  6.84   	   0.00		120.73   	-2797.55		
-11.29   	-122.99   	  6.84   	   0.00		109.54   	-1892.16		
-12.51   	-122.99   	  6.84   	   5.09		101.97   	 305.19		
-13.73   	-125.43   	  6.86   	   0.00		103.19   	2472.01		
-14.04   	-130.00   	  6.86   	   0.00		113.08   	3606.29		
-13.43   	-133.97   	  6.86   	   0.00		127.51   	3830.10		
-12.82   	-134.58   	  6.86   	   5.09		142.83   	3255.33		
-11.90   	-130.31   	  6.88   	   0.00		155.85   	1678.53		
-11.29   	-124.21   	  6.88   	   0.00		162.56(S)	-422.18		
-10.07   	-119.32   	  6.88   	   5.09		160.87   	-2334.68		
 -8.24   	-116.27   	  6.90   	   0.00		151.54   	-3290.93		
 -5.80   	-113.53   	  6.90   	   0.00		138.37   	-2934.88		
 -3.36   	-109.56   	  6.90   	   5.09		126.63   	-1861.64		
 -1.83   	-105.90   	  6.92   	   0.00		119.19   	-488.30		
 -1.22   	-105.29   	  6.92   	   0.00		117.23   	1002.03		
 -1.22   	-108.64   	  6.92   	   0.00		121.24   	2049.84		
 -1.22   	-114.44   	  6.92   	   5.09		129.44   	2278.73		
 -0.61   	-118.10   	  6.94   	   0.00		138.55   	1993.89		
  0.61   	-116.27   	  6.94   	   0.00		146.53   	1566.63		
  2.44   	-108.95   	  6.94   	   0.00		152.80   	 946.08		
  4.58   	-98.27   	  6.94   	   0.00		156.58   	 132.25		
  6.41   	-87.89   	  6.94   	   0.00		157.11   	-661.24		
  7.93   	-81.48   	  6.94   	   0.00		154.47   	-1246.18		
  9.16   	-81.18   	  6.94   	   0.00		149.48   	-1475.07		
 10.07   	-84.23   	  6.94   	   5.09		143.58   	-1266.53		
 10.68   	-86.67   	  6.96   	   0.00		138.51   	-783.31		
 11.60   	-85.45   	  6.96   	  -5.09		135.38   	-239.06		
 13.43   	-78.43   	  6.94   	   0.00		134.42   	 264.50		
 15.87   	-68.05   	  6.94   	   0.00		135.48   	 610.37		
 18.31   	-58.59   	  6.94   	   0.00		137.92   	 661.24		
 20.45   	-52.49   	  6.94   	   0.00		140.57   	 452.69		
 21.97   	-47.00   	  6.94   	   0.00		142.38   	 116.99		
 23.80   	-38.45   	  6.94   	   0.00		142.85   	-193.29		
 25.94   	-23.50   	  6.94   	   0.00		142.07   	-422.18		
 28.69   	 -1.83   	  6.94   	   0.00		140.39   	-564.60		
 31.74   	 21.97   	  6.94   	   0.00		138.13   	-666.32		
 34.48   	 42.72   	  6.94   	   0.00		135.46   	-651.07		
 36.32   	 58.59   	  6.94   	  -5.09		132.86   	-544.25		
 36.62   	 71.41   	  6.92   	   0.00		130.68   	-432.35		
 35.71   	 82.70   	  6.92   	   0.00		128.95   	-376.40		
 34.48   	 94.30   	  6.92   	  -5.09		127.45   	-350.97		
 32.96   	104.98   	  6.90   	   0.00		126.04   	-356.05		
 32.65   	113.53   	  6.90   	  -5.09		124.62   	-381.48		
 33.57   	118.71   	  6.88   	   0.00		123.09   	-391.66		
 34.48   	120.54   	  6.88   	   0.00		121.53   	-437.43		
 34.18   	119.32   	  6.88   	  -5.09		119.78   	-600.20		
 32.04   	114.44   	  6.86   	   0.00		117.37   	-778.23		
 27.77   	105.90   	  6.86   	  -5.09		114.26   	-915.56		
 22.58   	 94.60   	  6.84   	   0.00		110.60   	-956.25		
 17.70   	 82.09   	  6.84   	   0.00		106.77   	-783.31		
 13.73   	 69.89   	  6.84   	  -5.09		103.64   	-432.35		
 10.68   	 60.42   	  6.82   	   0.00		101.91   	-142.42		
  8.24   	 54.32   	  6.82   	   0.00		101.34   	-198.37		
  5.49   	 49.74   	  6.82   	   0.00		100.55   	-920.65		
  2.44   	 44.86   	  6.82   	  -5.09		 96.87   	-2065.10		
 -0.92   	 37.54   	  6.80   	   0.00		 88.61   	-3194.29		
 -4.27   	 27.77   	  6.80   	   0.00		 75.83   	-3570.69		
 -7.02   	 16.17   	  6.80   	   0.00		 61.55   	-3087.48		
 -8.85   	  3.66   	  6.80   	   0.00		 49.20   	-2309.25		
-10.07   	 -8.24   	  6.80   	   0.00		 39.96   	-1291.96		
-10.99   	-18.01   	  6.80   	   0.00		 34.79   	-269.58		
-12.51   	-24.11   	  6.80   	   0.00		 33.71   	 488.30		
-14.04   	-25.63   	  6.80   	   0.00		 35.67   	 971.51		
-15.87   	-23.50   	  6.80   	   0.00		 39.55   	1149.54		
-17.09   	-19.23   	  6.80   	   0.00		 44.15   	 971.51		
-17.40   	-14.65   	  6.80   	   0.00		 48.04   	 523.90		
-17.09   	-10.99   	  6.80   	   0.00		 50.13   	 -66.12		
-16.17   	 -9.46   	  6.80   	   5.09		 49.87   	-701.93		
-15.26   	-10.38   	  6.82   	   0.00		 47.06   	-1230.92		
-14.65   	-14.04   	  6.82   	   5.09		 42.14   	-1546.28		
-14.34   	-19.53   	  6.84   	   0.00		 35.95   	-1648.01		
-14.04   	-25.33   	  6.84   	   5.09		 29.36   	-1515.76		
-12.82   	-30.82   	  6.86   	   0.00		 23.30   	-1174.97		
-11.29   	-34.18   	  6.86   	   5.09		 18.60   	-691.76		
 -9.77   	-34.48   	  6.88   	   5.09		 15.83   	-142.42		
 -7.63   	-31.43   	  6.90   	   0.00		 15.26   	 330.62		
 -5.80   	-25.94   	  6.90   	   5.09		 16.58   	 656.15		
 -3.66   	-18.92   	  6.92   	   0.00		 19.21   	 793.49		
 -2.44   	-12.51   	  6.92   	   5.09		 22.38   	 752.79		
 -2.14   	 -6.41   	  6.94   	   5.09		 25.39   	 569.68		
 -3.05   	 -0.31   	  6.96   	   0.00		 27.67   	 254.32		
 -3.66   	  6.41   	  6.96   	   5.09		 28.69   	-142.42		
 -2.14   	 13.43   	  6.98   	   0.00		 28.12   	-523.90		
  2.44   	 20.14   	  6.98   	   5.09		 26.02   	-869.78		
  9.46   	 24.11   	  7.00   	   0.00		 22.54   	-1149.54		
 14.34   	 16.17   	  7.00   	   0.00		 17.94   	-1317.39		
 10.99   	-19.84   	  7.00   	   0.00		 12.68   	-1414.03		
 -6.71   	-101.93   	  7.00   	   0.00		  7.02   	-1358.08		
-41.50   	-242.00   	  7.00   	   0.00		  1.59   	-885.04		
-89.11   	-432.74   	  7.00   	   0.00		 -1.95   	-223.80		
-137.02   	-644.23   	  7.00   	   0.00		 -2.85(D)	 381.48		
-169.37   	-836.49   	  7.00   	   0.00		 -1.32   	1063.07		
-175.17   	-977.48   	  7.00   	  -5.09		  2.93   	1714.13		
-158.08   	-1058.35   	  6.98   	   0.00		  9.79   	2187.17		
-134.58   	-1092.22   	  6.98   	   0.00		 18.54   	2405.89		
-123.60   	-1096.80(R)	  6.98   	  -5.09		 28.16   	2258.38		
-134.58   	-1077.88   	  6.96   	   0.00		 37.19   	1749.74		
-163.57   	-1031.49   	  6.96   	  -5.09		 44.19   	 986.77		
-198.36   	-954.59   	  6.94   	   0.00		 48.14   	  96.64		
-231.63   	-857.24   	  6.94   	  -5.09		 48.52   	-742.62		
-260.31   	-761.11   	  6.92   	  -5.09		 45.55   	-1358.08		
-286.56   	-682.68   	  6.90   	   0.00		 40.12   	-1592.06		
-310.36   	-622.25   	  6.90   	  -5.09		 33.75   	-1363.17		
-332.95   	-570.07   	  6.88   	   0.00		 28.30   	-839.26		
-354.92   	-518.49   	  6.88   	  -5.09		 24.94(E)	-188.20		
-373.54   	-469.67   	  6.86   	   0.00		 24.19   	 498.47		
-380.25   	-426.64   	  6.86   	   0.00		 26.19   	1052.90		
-362.85   	-390.01   	  6.86   	  -5.09		 30.40   	1358.08		
-316.77   	-354.92   	  6.84   	   0.00		 35.83   	1490.33		
-252.99   	-313.72   	  6.84   	   0.00		 41.79   	1525.93		
-195.31   	-264.28   	  6.84   	  -5.09		 47.89   	1612.40		
-162.66   	-213.32   	  6.82   	   0.00		 54.34   	1785.34		
-156.56   	-168.15   	  6.82   	   0.00		 61.49   	1871.81		
-162.96   	-131.53   	  6.82   	   5.09		 68.97   	1703.96		
-163.27   	-101.01   	  6.84   	   0.00		 75.79   	1368.26		
-149.54   	-68.97   	  6.84   	   0.00		 81.26   	 859.61		
-124.21   	-25.94   	  6.84   	   0.00		 84.70   	 172.94		
-93.99   	 29.30   	  6.84   	   0.00		 85.39   	-269.58		
-61.95   	 89.11   	  6.84   	   5.09		 84.31   	-295.01		
-29.60   	140.69   	  6.86   	   0.00		 83.13   	 -91.56		
  2.44   	175.48   	  6.86   	   0.00		 82.77   	 284.84		
 31.74   	194.40   	  6.86   	   0.00		 83.91   	 707.02		
 54.32   	207.52   	  6.86   	   5.09		 86.73   	 849.44		
 69.58   	224.30   	  6.88   	   0.00		 90.13   	 762.97		
 78.74   	249.02   	  6.88   	   0.00		 93.18   	 645.98		
 83.92   	277.40   	  6.88   	   0.00		 95.77   	 656.15		
 86.36   	302.43   	  6.88   	   0.00		 98.39   	 625.63		
 86.98   	320.13   	  6.88   	   0.00		100.89   	 172.94		
 87.28   	331.12   	  6.88   	   0.00		101.59   	 -86.47		
 87.59   	338.75   	  6.88   	   0.00		101.24   	 254.32		
 89.42   	345.15   	  6.88   	   5.09		102.26   	 366.22		
 92.77   	351.87   	  6.90   	   0.00		103.72   	 289.93		
 97.05   	358.89   	  6.90   	   0.00		104.88   	 295.01		
101.32   	368.65   	  6.90   	   0.00		106.06   	 101.73		
105.29   	384.83   	  6.90   	   0.00		106.47   	-162.77		
109.56   	409.55   	  6.90   	   0.00		105.82   	-269.58		
113.83   	442.81   	  6.90   	   0.00		104.74   	-345.88		
119.02   	480.96   	  6.90   	   0.00		103.36   	-371.31		
123.90   	518.49   	  6.90   	   0.00		101.87   	-269.58		
128.78   	551.15   	  6.90   	   0.00		100.79   	-132.25		
133.97   	578.00   	  6.90   	   0.00		100.26   	 -50.86		
140.38   	601.20   	  6.90   	   0.00		100.06   	 -35.61		
147.71   	625.61   	  6.90   	   0.00		 99.92   	 -61.04		
155.64   	655.21   	  6.90   	   0.00		 99.67   	 -81.38		
163.27   	688.78   	  6.90   	   0.00		 99.35   	 -71.21		
170.90   	721.74   	  6.90   	   0.00		 99.06   	 -40.69		
178.22   	749.51   	  6.90   	   5.09		 98.90   	   0.00		
