  I     	  II     	  PW     	  PW'		  LV     	  LV'		
-12.82   	-35.10   	 30.34   	  66.12		 20.55   	-600.20		
-12.21   	-40.28   	 30.60   	  81.38		 18.15   	-412.00		
-10.68   	-42.42   	 30.93   	  86.47		 16.50   	-223.80		
 -8.24   	-40.28   	 31.27   	  66.12		 15.61   	 -40.69		
 -5.19   	-36.62   	 31.54   	  35.61		 15.44   	 116.99		
 -2.44   	-35.10   	 31.68(V)	  -5.09		 15.91   	 228.89		
 -0.61   	-38.76   	 31.66   	 -40.69		 16.83   	 239.06		
 -0.31   	-47.61   	 31.50   	 -71.21		 17.78   	 127.16		
 -1.53   	-57.68   	 31.21   	 -81.38		 18.29   	 -55.95		
 -3.97   	-63.78   	 30.88   	 -81.38		 18.07   	-213.63		
 -6.41   	-63.78   	 30.56   	 -71.21		 17.21   	-300.10		
 -8.24   	-57.37   	 30.27   	 -45.78		 16.01   	-310.27		
 -8.85   	-47.61   	 30.09   	 -20.35		 14.77   	-244.15		
 -8.54   	-38.76   	 30.01   	   0.00		 13.79   	-137.33		
 -7.93   	-33.26   	 30.01   	  10.17		 13.25   	 -10.17		
 -7.32   	-33.57   	 30.05   	  15.26		 13.20(D)	  86.47		
 -7.02   	-38.76   	 30.11   	  10.17		 13.55   	  96.64		
 -7.02   	-45.78   	 30.15   	  -5.09		 13.94   	  45.78		
 -6.71   	-52.19   	 30.13   	 -10.17		 14.12   	  30.52		
 -6.10   	-56.15   	 30.09   	 -20.35		 14.24   	 132.25		
 -6.10   	-58.29   	 30.01   	 -25.43		 14.77   	 406.92		
 -6.41   	-60.12   	 29.91   	 -20.35		 16.40   	 803.66		
 -7.02   	-61.34   	 29.83   	 -10.17		 19.61   	1022.38		
 -8.54   	-62.56   	 29.79   	  -5.09		 23.70   	 971.51		
-10.07   	-65.00   	 29.77   	   5.09		 27.59   	 747.71		
-11.60   	-68.36   	 29.79   	  10.17		 30.58   	 457.78		
-13.12   	-73.24   	 29.83   	   5.09		 32.41   	 116.99		
-14.34   	-77.21   	 29.85   	   5.09		 32.88   	-269.58		
-15.26   	-78.43   	 29.87   	 -10.17		 31.80   	-640.89		
-15.56   	-76.29   	 29.83   	 -20.35		 29.24   	-869.78		
-15.87   	-72.33   	 29.75   	 -35.61		 25.76   	-935.91		
-16.17   	-69.89   	 29.60   	 -45.78		 22.01   	-879.96		
-16.48   	-70.19   	 29.42   	 -50.86		 18.49   	-676.50		
-17.09   	-73.24   	 29.22   	 -50.86		 15.79   	-381.48		
-17.70   	-78.43   	 29.01   	 -50.86		 14.26   	 -66.12		
-18.31   	-84.53   	 28.81   	 -50.86		 14.00   	 188.20		
-18.01   	-89.42   	 28.61   	 -40.69		 14.75   	 356.05		
-17.70   	-90.94   	 28.44   	 -40.69		 16.17   	 452.69		
-16.78   	-88.20   	 28.28   	 -35.61		 17.99   	 467.95		
-16.48   	-81.79   	 28.14   	 -30.52		 19.86   	 427.26		
-16.48   	-74.77   	 28.02   	 -25.43		 21.57   	 361.14		
-16.48   	-70.50   	 27.91   	 -20.35		 23.01   	 254.32		
-16.48   	-70.50   	 27.83   	 -20.35		 24.03   	  86.47		
-15.87   	-72.94   	 27.75   	 -10.17		 24.37   	 -45.78		
-14.95   	-74.16   	 27.71   	 -10.17		 24.19   	 -81.38		
-13.73   	-72.02   	 27.67   	   0.00		 23.87   	 -71.21		
-12.51   	-68.05   	 27.67   	   5.09		 23.58   	-106.82		
-10.99   	-67.75   	 27.69   	  15.26		 23.15   	-183.11		
 -9.77   	-75.38   	 27.75   	  20.35		 22.42   	-193.29		
 -9.46   	-89.11   	 27.83   	  25.43		 21.65   	-122.07		
-10.07   	-102.23   	 27.93   	  25.43		 21.16   	 -45.78		
-12.21   	-107.12   	 28.04   	  25.43		 20.98   	   0.00		
-14.65   	-100.71   	 28.14   	  20.35		 20.98   	  15.26		
-16.17   	-87.89   	 28.22   	  20.35		 21.04   	  35.61		
-16.78   	-76.60   	 28.30   	  15.26		 21.18   	  81.38		
-15.87   	-72.33   	 28.36   	   5.09		 21.51   	 111.90		
-14.34   	-75.68   	 28.38   	   0.00		 21.95   	 132.25		
-13.12   	-83.92   	 28.38   	  -5.09		 22.48   	 127.16		
-13.12   	-93.08   	 28.36   	  -5.09		 22.99   	 101.73		
-14.04   	-100.40   	 28.34   	 -10.17		 23.40   	  66.12		
-14.95   	-104.37   	 28.30   	 -15.26		 23.66   	  30.52		
-15.87   	-104.98   	 28.24   	 -10.17		 23.78   	 -10.17		
-16.17   	-102.54   	 28.20   	  -5.09		 23.74   	 -35.61		
-16.17   	-99.18   	 28.18   	 -10.17		 23.60   	 -55.95		
-16.17   	-95.52   	 28.14   	  -5.09		 23.38   	 -66.12		
-16.48   	-91.25   	 28.12   	  -5.09		 23.11   	 -61.04		
-18.01   	-86.36   	 28.10   	  -5.09		 22.87   	 -40.69		
-19.84   	-82.09   	 28.08   	 -10.17		 22.71   	 -15.26		
-21.97   	-81.79   	 28.04   	 -10.17		 22.64   	   5.09		
-23.50   	-87.59   	 28.00   	 -10.17		 22.67   	  30.52		
-24.11   	-96.74   	 27.96   	 -10.17		 22.79   	  55.95		
-23.50   	-105.59   	 27.91   	 -10.17		 23.01   	  66.12		
-21.97   	-109.86   	 27.87   	 -10.17		 23.28   	  71.21		
-21.06   	-108.34   	 27.83   	 -10.17		 23.56   	  66.12		
-20.75   	-103.76   	 27.79   	 -10.17		 23.82   	  50.86		
-21.97   	-98.57   	 27.75   	  -5.09		 24.03   	  45.78		
-23.19   	-94.91   	 27.73   	   0.00		 24.21   	  30.52		
-24.11   	-92.47   	 27.73   	   0.00		 24.33   	   5.09		
-24.11   	-90.03   	 27.73   	   0.00		 24.35   	 -15.26		
-23.80   	-87.28   	 27.73   	   0.00		 24.29   	 -10.17		
-23.50   	-84.23   	 27.73   	   0.00		 24.25   	 -15.26		
-22.89   	-82.40   	 27.73   	   0.00		 24.19   	  -5.09		
-21.36   	-82.70   	 27.73   	   5.09		 24.17   	   5.09		
-19.53   	-84.84   	 27.75   	   0.00		 24.19   	  15.26		
-18.31   	-87.89   	 27.75   	   0.00		 24.25   	  25.43		
-17.40   	-88.50   	 27.75   	   0.00		 24.35   	  30.52		
-17.09   	-85.45   	 27.75   	   0.00		 24.48   	  30.52		
-16.17   	-80.26   	 27.75   	   0.00		 24.60   	  30.52		
-14.65   	-76.60   	 27.75   	   5.09		 24.72   	  30.52		
-12.82   	-78.43   	 27.77   	   5.09		 24.84   	  20.35		
-11.29   	-84.23   	 27.79   	   5.09		 24.92   	  10.17		
-11.29   	-89.42   	 27.81   	   5.09		 24.96   	   5.09		
-12.51   	-88.81   	 27.83   	   5.09		 24.98   	  10.17		
-14.34   	-82.70   	 27.85   	   0.00		 25.03   	   5.09		
-16.48   	-75.99   	 27.85   	   5.09		 25.05   	   5.09		
-18.92   	-73.85   	 27.87   	   5.09		 25.07   	  10.17		
-20.75   	-77.82   	 27.89   	   5.09		 25.11   	  15.26		
-21.06   	-85.75   	 27.91   	   0.00		 25.17   	  20.35		
-20.75   	-93.38   	 27.91   	   5.09		 25.25   	  20.35		
-19.84   	-97.96   	 27.93   	   0.00		 25.33   	  30.52		
-19.23   	-96.44   	 27.93   	   5.09		 25.45   	  25.43		
-19.53   	-88.81   	 27.96   	   5.09		 25.55   	  25.43		
-20.14   	-77.51   	 27.98   	   5.09		 25.66   	  30.52		
-20.45   	-67.75   	 28.00   	   5.09		 25.78   	  25.43		
-20.45   	-65.31   	 28.02   	   0.00		 25.88   	  20.35		
-19.23   	-71.41   	 28.02   	   5.09		 25.96   	  15.26		
-18.31   	-83.31   	 28.04   	   0.00		 26.02   	  15.26		
-17.70   	-95.83   	 28.04   	   5.09		 26.08   	  10.17		
-18.01   	-104.37   	 28.06   	   0.00		 26.12   	  10.17		
-19.23   	-106.81   	 28.06   	   5.09		 26.16   	  15.26		
-20.14   	-104.98   	 28.08   	   0.00		 26.23   	  10.17		
-20.45   	-99.18   	 28.08   	   5.09		 26.27   	  10.17		
-19.84   	-92.16   	 28.10   	   5.09		 26.31   	  15.26		
-19.53   	-86.98   	 28.12   	   0.00		 26.37   	  15.26		
-21.06   	-85.45   	 28.12   	   5.09		 26.43   	  20.35		
-23.50   	-87.59   	 28.14   	   5.09		 26.51   	  10.17		
-25.94   	-90.03   	 28.16   	   0.00		 26.55   	 -55.95		
-26.55   	-88.50   	 28.16   	   5.09		 26.33   	 -61.04		
-25.63   	-81.18   	 28.18   	   0.00		 26.08   	  10.17		
-24.11   	-72.02   	 28.18   	   5.09		 26.12   	  -5.09		
-22.89   	-67.44   	 28.20   	   0.00		 26.10   	  20.35		
-23.19   	-71.72   	 28.20   	   0.00		 26.19   	 142.42		
-23.50   	-83.62   	 28.20   	   5.09		 26.75   	 188.20		
-22.89   	-95.52   	 28.22   	   5.09		 27.51   	 162.77		
-21.36   	-101.01   	 28.24   	   0.00		 28.16   	 101.73		
-19.53   	-97.35   	 28.24   	   5.09		 28.57   	 -10.17		
-18.62   	-88.20   	 28.26   	   5.09		 28.52   	-127.16		
-18.01   	-78.13   	 28.28   	   5.09		 28.02   	-188.20		
-17.09   	-72.02   	 28.30   	   5.09		 27.26   	-203.46		
-15.26   	-70.80   	 28.32   	   0.00		 26.45   	-162.77		
-12.51   	-72.33   	 28.32   	   5.09		 25.80   	 -71.21		
-10.38   	-74.46   	 28.34   	   0.00		 25.51   	  25.43		
 -9.46   	-75.07   	 28.34   	   5.09		 25.62   	  91.56		
 -9.77   	-74.77   	 28.36   	   0.00		 25.98   	 127.16		
 -9.46   	-75.07   	 28.36   	   5.09		 26.49   	 106.82		
 -8.24   	-76.60   	 28.38   	   5.09		 26.92   	  61.04		
 -6.41   	-78.13   	 28.40   	   0.00		 27.16   	  25.43		
 -6.10   	-77.21   	 28.40   	   5.09		 27.26   	 -10.17		
 -7.93   	-72.33   	 28.42   	   5.09		 27.22   	 -25.43		
-11.29   	-65.00   	 28.44   	   5.09		 27.12   	 -30.52		
-13.73   	-59.51   	 28.46   	   0.00		 27.00   	 -15.26		
-14.04   	-59.81   	 28.46   	   5.09		 26.94   	  -5.09		
-12.21   	-67.14   	 28.48   	   5.09		 26.92   	   0.00		
-10.07   	-79.35   	 28.50   	   0.00		 26.92   	 -10.17		
 -9.46   	-92.16   	 28.50   	   5.09		 26.88   	 -20.35		
-10.68   	-99.79   	 28.52   	   5.09		 26.80   	 -20.35		
-12.51   	-98.57   	 28.55   	   5.09		 26.71   	 -15.26		
-14.65   	-89.11   	 28.57   	   5.09		 26.65   	  -5.09		
-16.48   	-74.77   	 28.59   	   5.09		 26.63   	  15.26		
-17.70   	-63.78   	 28.61   	   5.09		 26.69   	  30.52		
-18.62   	-60.12   	 28.63   	   5.09		 26.82   	  40.69		
-19.53   	-63.78   	 28.65   	   5.09		 26.98   	  45.78		
-20.14   	-68.66   	 28.67   	   0.00		 27.16   	  30.52		
-20.45   	-69.58   	 28.67   	   5.09		 27.28   	  20.35		
-20.14   	-65.61   	 28.69   	   5.09		 27.37   	   5.09		
-19.53   	-61.95   	 28.71   	   0.00		 27.39   	 -10.17		
-18.62   	-64.39   	 28.71   	   0.00		 27.34   	 -15.26		
-18.01   	-73.55   	 28.71   	   0.00		 27.28   	 -20.35		
-18.01   	-83.92   	 28.71   	   0.00		 27.20   	 -20.35		
-18.31   	-89.11   	 28.71   	   0.00		 27.12   	 -10.17		
-18.62   	-86.36   	 28.71   	   0.00		 27.08   	   5.09		
-18.62   	-78.74   	 28.71   	  -5.09		 27.10(E)	  15.26		
-18.92   	-71.72   	 28.69   	   0.00		 27.16   	  15.26		
-20.14   	-70.50   	 28.69   	   0.00		 27.22   	  15.26		
-22.28   	-74.77   	 28.69   	   0.00		 27.28   	  15.26		
-23.50   	-79.04   	 28.69   	   0.00		 27.34   	  15.26		
-21.36   	-75.68   	 28.69   	   0.00		 27.41   	  15.26		
-14.34   	-54.93   	 28.69   	   0.00		 27.47   	  15.26		
 -4.58   	 -6.71   	 28.69   	   0.00		 27.53   	  25.43		
  3.66   	 79.04   	 28.69   	  -5.09		 27.63   	  55.95		
  5.49   	213.32   	 28.67   	   0.00		 27.85   	  86.47		
  2.75   	403.44   	 28.67   	   0.00		 28.20   	 132.25		
  3.66   	641.17   	 28.67   	   0.00		 28.73   	 178.03		
 17.70   	891.42   	 28.67   	  -5.09		 29.44   	 223.80		
 46.08   	1092.22   	 28.65   	   0.00		 30.34   	 249.24		
 78.43   	1181.03(R)	 28.65   	   0.00		 31.33   	 279.75		
 96.74   	1130.98   	 28.65   	  -5.09		 32.45   	 295.01		
 87.59   	969.54   	 28.63   	   0.00		 33.63   	 310.27		
 52.19   	761.41   	 28.63   	  -5.09		 34.87   	 330.62		
  3.66   	568.54   	 28.61   	  -5.09		 36.20   	 361.14		
-43.03   	416.87   	 28.59   	 -10.17		 37.64   	 417.09		
-77.51   	298.77   	 28.55   	 -15.26		 39.31   	 488.30		
-95.83   	198.67   	 28.48   	 -25.43		 41.26   	 600.20		
-98.27   	110.78   	 28.38   	 -25.43		 43.66   	 762.97		
-85.75   	 39.98   	 28.28   	 -35.61		 46.71   	1012.20		
-61.95   	-10.68   	 28.14   	 -40.69		 50.76   	1327.56		
-33.87   	-46.39   	 27.98   	 -35.61		 56.07   	1627.66		
-11.29   	-75.38   	 27.83   	 -35.61		 62.58   	1856.55		
 -0.31   	-97.96   	 27.69   	 -20.35		 70.01   	2065.10		
 -0.31   	-110.78   	 27.61   	  -5.09		 78.27   	2202.43		
 -6.10   	-113.53   	 27.59   	  15.26		 87.08   	1897.25		
-11.29   	-109.86   	 27.65   	  45.78		 94.67   	1017.29		
-12.82   	-106.51   	 27.83   	  81.38		 98.74   	 -61.04		
-11.90   	-105.29   	 28.16   	 111.90		 98.49   	-671.41		
-10.68   	-105.59   	 28.61   	 132.25		 95.81   	-300.10		
-10.38   	-105.90   	 29.14   	 142.42		 94.61   	 467.95		
-10.99   	-107.73   	 29.70   	 122.07		 96.48   	 910.47		
-11.60   	-114.75   	 30.19   	  86.47		100.12   	1052.90		
-11.60   	-126.04   	 30.54   	  35.61		104.33   	 971.51		
-11.60   	-137.94   	 30.68   	 -25.43		108.22   	 747.71		
-10.99   	-145.87   	 30.58   	 -71.21		111.21   	 452.69		
 -9.46   	-147.40   	 30.29   	-106.82		113.02   	  25.43		
 -7.63   	-141.91   	 29.87   	-116.99		113.12   	-483.21		
 -5.80   	-131.84   	 29.40   	-101.73		111.19   	-829.09		
 -4.27   	-119.93   	 28.99   	 -61.04		107.87   	-961.34		
 -3.66   	-109.25   	 28.75   	 -15.26		104.03   	-930.82		
 -3.97   	-102.54   	 28.69   	  40.69		100.30   	-676.50		
 -3.97   	-100.71   	 28.85   	  81.38		 97.60   	-193.29		
 -3.36   	-102.54   	 29.18   	 106.82		 96.83   	 315.36		
 -2.14   	-105.59   	 29.60   	 116.99		 98.09   	 727.36		
 -0.31   	-108.64   	 30.07   	 106.82		101.00   	1185.14		
  2.14   	-110.78   	 30.50   	  86.47		105.74   	1419.12		
  5.19   	-110.78   	 30.84   	  55.95		111.41   	1256.35		
  8.24   	-106.20   	 31.07   	  25.43		116.44   	1027.46		
 11.29   	-95.21   	 31.17   	  -5.09		120.55   	 768.05		
 14.34   	-80.57   	 31.15   	 -15.26		123.62   	 361.14		
 16.78   	-68.05   	 31.09   	 -25.43		125.07   	  71.21		
 19.23   	-62.56   	 30.99   	 -15.26		125.35   	-137.33		
 21.06   	-64.39   	 30.93   	 -10.17		124.80   	-391.66		
 21.97   	-69.58   	 30.88   	   5.09		123.23   	-518.82		
 21.97   	-73.55   	 30.91   	  15.26		121.16   	-391.66		
 21.36   	-75.99   	 30.97   	  25.43		119.59   	-178.03		
 21.36   	-76.29   	 31.07   	  20.35		118.88   	  40.69		
 22.89   	-73.55   	 31.15   	  20.35		119.04   	 295.01		
 25.63   	-67.14   	 31.23   	   5.09		120.22   	 579.86		
 29.30   	-57.07   	 31.25(A)	  -5.09		122.54   	 762.97		
 32.96   	-45.17   	 31.23   	 -20.35		125.59   	 712.10		
 36.01   	-33.87   	 31.15   	 -30.52		128.44   	 513.73		
 38.76   	-23.50   	 31.03   	 -35.61		130.50   	 279.75		
 41.20   	-11.29   	 30.88   	 -40.69		131.62   	  10.17		
 43.95   	  4.88   	 30.72   	 -40.69		131.66(S)	-249.24		
 47.30   	 24.41   	 30.56   	 -30.52		130.66   	-417.09		
 50.96   	 44.56   	 30.44   	 -25.43		128.99   	-457.78		
 54.93   	 61.95   	 30.34   	 -15.26		127.16   	-361.14		
 58.59   	 75.68   	 30.27   	 -10.17		125.72   	-188.20		
 61.65   	 87.28   	 30.23   	  -5.09		124.96   	 -35.61		
 63.48   	 99.18   	 30.21   	   0.00		124.82   	 106.82		
 65.00   	113.53   	 30.21   	   0.00		125.25   	 208.54		
 66.53   	131.23   	 30.21   	   5.09		126.08   	 239.06		
 68.05   	150.15   	 30.23   	  10.17		127.04   	 188.20		
 68.66   	166.63   	 30.27   	   5.09		127.79   	  71.21		
 67.75   	177.61   	 30.29   	  15.26		128.08   	 -66.12		
 64.39   	180.97   	 30.36   	  10.17		127.81   	-208.54		
 60.12   	177.31   	 30.40   	  15.26		126.98   	-325.53		
 55.54   	167.24   	 30.46   	  20.35		125.68   	-386.57		
 51.57   	151.98   	 30.54   	  20.35		124.13   	-386.57		
 47.61   	132.75   	 30.62   	  25.43		122.58   	-356.05		
 42.72   	112.00   	 30.72   	  25.43		121.16   	-315.36		
 36.93   	 92.77   	 30.82   	  25.43		119.90   	-310.27		
 30.52   	 77.82   	 30.93   	  20.35		118.66   	-350.97		
 24.72   	 66.53   	 31.01   	  20.35		117.25   	-427.26		
 19.53   	 55.54   	 31.09   	  20.35		115.54   	-513.73		
 15.26   	 43.03   	 31.17   	  10.17		113.49   	-600.20		
 10.99   	 28.38   	 31.21   	  15.26		111.09   	-696.84		
  6.71   	 14.65   	 31.27   	  10.17		108.30   	-798.57		
  2.44   	  3.36   	 31.31   	  10.17		105.11   	-925.73		
 -1.53   	 -5.49   	 31.35   	  10.17		101.40   	-1052.90		
 -4.58   	-12.51   	 31.39   	  10.17		 97.19   	-1078.33		
 -6.71   	-18.01   	 31.43   	  10.17		 92.88   	-900.30		
 -7.32   	-21.06   	 31.47   	  10.17		 89.28   	-528.99		
 -7.32   	-20.75   	 31.52   	  10.17		 87.16   	-198.37		
 -7.02   	-17.70   	 31.56   	  10.17		 86.37   	 -50.86		
 -6.71   	-14.04   	 31.60   	  10.17		 86.16   	 -91.56		
 -7.32   	-12.51   	 31.64   	   0.00		 85.80   	-554.42		
 -8.85   	-14.04   	 31.64   	  -5.09		 83.58   	-1225.83		
-11.29   	-17.40   	 31.62   	 -10.17		 78.68   	-1754.83		
-14.04   	-20.75   	 31.58   	 -20.35		 71.66   	-1841.29		
-15.56   	-22.89   	 31.50   	 -35.61		 64.29   	-1581.89		
-15.56   	-24.72   	 31.35   	 -45.78		 57.97   	-1546.28		
-14.34   	-28.69   	 31.17   	 -50.86		 51.78   	-1490.33		
-13.12   	-36.01   	 30.97   	 -40.69		 45.82   	-1174.97		
-12.82   	-45.47   	 30.80   	 -30.52		 41.12   	-798.57		
-13.43   	-53.41   	 30.68   	 -15.26		 37.92   	-457.78		
-14.95   	-58.29   	 30.62   	  10.17		 36.09   	-208.54		
-16.48   	-59.81   	 30.66   	  25.43		 35.26   	 -20.35		
-17.70   	-60.73   	 30.76   	  40.69		 35.18   	  76.30		
-18.01   	-61.65   	 30.93   	  40.69		 35.48   	  50.86		
-17.40   	-61.95   	 31.09   	  40.69		 35.69   	 -71.21		
-15.87   	-60.73   	 31.25   	  30.52		 35.40   	-259.41		
-14.65   	-57.37   	 31.37   	  20.35		 34.36   	-457.78		
-14.65   	-54.32   	 31.45(V)	   0.00		 32.53   	-610.37		
-15.26   	-54.02   	 31.45   	 -10.17		 30.09   	-691.76		
-15.87   	-55.85   	 31.41   	 -20.35		 27.32   	-681.58		
-14.95   	-57.07   	 31.33   	 -25.43		 24.60   	-605.29		
-11.60   	-55.24   	 31.23   	 -40.69		 22.18   	-473.04		
 -6.41   	-50.35   	 31.07   	 -45.78		 20.28   	-335.71		
 -0.92   	-43.95   	 30.88   	 -50.86		 18.94   	-193.29		
  4.58   	-36.01   	 30.68   	 -61.04		 18.17   	 -66.12		
  9.46   	-23.50   	 30.44   	 -66.12		 17.90   	  10.17		
 16.17   	  0.61   	 30.17   	 -71.21		 17.94   	  35.61		
 27.77   	 41.50   	 29.89   	 -76.30		 18.09   	  20.35		
 45.78   	100.71   	 29.58   	 -81.38		 18.17   	 -50.86		
 69.58   	175.78   	 29.26   	 -76.30		 17.97   	-132.25		
 94.60   	265.20   	 28.95   	 -71.21		 17.44   	-213.63		
114.14   	370.48   	 28.67   	 -66.12		 16.58   	-264.50		
120.54   	496.52   	 28.40   	 -66.12		 15.52   	-284.84		
109.86   	647.89   	 28.14   	 -61.04		 14.38   	-259.41		
 81.18   	821.53   	 27.89   	 -61.04		 13.35   	-188.20		
 37.23   	1005.86   	 27.65   	 -55.95		 12.59   	 -61.04		
-17.70   	1184.39   	 27.43   	 -66.12		 12.35   	  66.12		
-79.04   	1341.25   	 27.16   	 -66.12		 12.61   	 132.25		
-145.57   	1469.12   	 26.90   	 -76.30		 13.14   	 147.51		
-218.81   	1570.74   	 26.59   	 -76.30		 13.73   	 127.16		
-298.77   	1654.05   	 26.29   	 -81.38		 14.24   	  76.30		
-381.16   	1727.91   	 25.96   	 -81.38		 14.55   	  76.30		
-452.58   	1797.18   	 25.64   	 -81.38		 14.85   	 269.58		
-496.83   	1866.76   	 25.31   	 -76.30		 15.93   	 676.50		
-501.40   	1943.05   	 25.00   	 -71.21		 18.64   	1057.98		
-468.75   	2032.47   	 24.72   	 -61.04		 22.87   	1108.85		
-415.65   	2134.40   	 24.48   	 -61.04		 27.30   	 762.97		
-363.16   	2227.78   	 24.23   	 -50.86		 30.36   	 371.31		
-322.88   	2271.12(R)	 24.03   	 -55.95		 31.84   	 228.89		
-294.49   	2212.52   	 23.80   	 -61.04		 32.76   	  45.78		
-269.47   	2015.38   	 23.56   	 -61.04		 32.94   	-310.27		
-242.00   	1684.27   	 23.32   	 -76.30		 31.70   	-498.47		
-212.71   	1274.11   	 23.01   	 -81.38		 29.70   	-279.75		
-183.41   	866.70   	 22.69   	 -96.64		 28.59(E)	 101.73		
-152.28   	522.16   	 22.30   	 -96.64		 28.99   	 320.45		
-113.53   	253.91   	 21.91   	-106.82		 30.27   	 396.74		
-65.31   	 35.10   	 21.49   	-101.73		 31.86   	 528.99		
-14.95   	-162.96   	 21.08   	 -96.64		 33.98   	 707.02		
 24.72   	-338.75   	 20.69   	 -86.47		 36.81   	 879.96		
 44.25   	-462.95   	 20.35   	 -71.21		 40.33   	1098.67		
 44.86   	-515.14   	 20.06   	 -61.04		 44.72   	1332.65		
 37.23   	-511.47   	 19.82   	 -40.69		 50.05   	1378.43		
 32.96   	-494.38   	 19.65   	 -30.52		 55.56   	1215.66		
 36.62   	-498.35   	 19.53   	 -15.26		 60.43   	 956.25		
 45.17   	-528.56   	 19.47   	   0.00		 64.25   	 661.24		
 52.49   	-565.49   	 19.47   	  10.17		 66.90   	 371.31		
 55.24   	-588.68   	 19.51   	  15.26		 68.38   	 183.11		
 54.93   	-593.87   	 19.57   	  15.26		 69.11   	 178.03		
 54.32   	-590.52   	 19.63   	  15.26		 69.83   	 371.31		
 54.93   	-591.13   	 19.69(A)	   0.00		 71.31   	 681.58		
 57.98   	-600.89   	 19.69   	 -20.35		 74.04   	1180.06		
 62.56   	-616.15   	 19.61   	 -35.61		 78.76   	1795.52		
 67.75   	-630.49   	 19.47   	 -61.04		 85.94   	1917.59		
 72.94   	-637.82   	 19.23   	 -71.21		 93.61   	1342.82		
 77.21   	-639.04   	 18.94   	 -81.38		 98.98   	 539.16		
 81.18   	-639.34   	 18.62   	 -86.47		101.14   	-239.06		
 85.14   	-645.75   	 18.27   	 -71.21		100.18   	-864.70		
 89.42   	-659.79   	 17.99   	 -50.86		 96.72   	-1261.44		
 94.30   	-675.66   	 17.78   	 -35.61		 91.68   	-1297.04		
 99.18   	-687.56   	 17.64   	 -20.35		 86.49   	-905.39		
103.76   	-694.27   	 17.56   	  -5.09		 82.87   	-284.84		
108.34   	-700.68   	 17.54   	   0.00		 81.73   	 295.01		
113.53   	-712.28   	 17.54   	  -5.09		 82.91   	 778.23		
119.93   	-730.59   	 17.52   	 -15.26		 86.02   	1093.59		
126.65   	-753.48   	 17.46   	 -25.43		 90.40   	1149.54		
133.06   	-777.28   	 17.35   	 -35.61		 94.99   	 925.73		
138.55   	-801.70   	 17.21   	 -50.86		 98.70   	 579.86		
144.35   	-825.81   	 17.01   	 -50.86		101.02   	 233.98		
151.06   	-848.69   	 16.81   	 -55.95		101.95   	-116.99		
159.61   	-867.31   	 16.58   	 -50.86		101.48   	-396.74		
169.07   	-880.13   	 16.38   	 -50.86		 99.90   	-559.51		
178.83   	-888.98   	 16.17   	 -40.69		 97.66   	-559.51		
188.29   	-898.13   	 16.01   	 -40.69		 95.42   	-422.18		
198.36   	-910.95   	 15.85   	 -35.61		 93.73   	-183.11		
209.35   	-927.43   	 15.71   	 -40.69		 93.00   	  66.12		
221.86   	-943.30   	 15.54   	 -45.78		 93.27   	 239.06		
234.07   	-951.54   	 15.36   	 -45.78		 94.22   	 315.36		
245.36   	-949.71   	 15.18   	 -55.95		 95.48   	 300.10		
254.21   	-938.72   	 14.95   	 -50.86		 96.68   	 208.54		
260.31   	-922.55   	 14.75   	 -61.04		 97.52   	  25.43		
263.98   	-903.93   	 14.51   	 -50.86		 97.62   	-152.59		
264.28   	-882.26   	 14.30   	 -55.95		 97.01   	-284.84		
261.54   	-854.49   	 14.08   	 -50.86		 95.87   	-361.14		
255.74   	-818.48   	 13.88   	 -45.78		 94.42   	-371.31		
248.41   	-773.93   	 13.69   	 -40.69		 92.94   	-325.53		
240.17   	-724.79   	 13.53   	 -35.61		 91.64   	-279.75		
230.71   	-673.22   	 13.39   	 -30.52		 90.52   	-264.50		
219.12   	-621.03   	 13.27   	 -25.43		 89.46   	-244.15		
205.38   	-566.10   	 13.16   	 -25.43		 88.48   	-208.54		
189.82   	-505.37   	 13.06   	 -20.35		 87.65   	-178.03		
172.73   	-437.62   	 12.98   	 -20.35		 86.94   	-183.11		
154.42   	-364.99   	 12.90   	 -20.35		 86.21   	-223.80		
135.50   	-294.80   	 12.82   	 -25.43		 85.31   	-264.50		
115.97   	-234.38   	 12.72   	 -30.52		 84.25   	-320.45		
 96.74   	-185.85   	 12.59   	 -35.61		 82.97   	-381.48		
 77.82   	-146.79   	 12.45   	 -35.61		 81.44   	-478.13		
 59.51   	-111.69   	 12.31   	 -35.61		 79.53   	-554.42		
 41.50   	-79.35   	 12.17   	 -20.35		 77.31   	-528.99		
 25.94   	-50.35   	 12.09   	 -10.17		 75.20   	-442.52		
 13.73   	-28.08   	 12.04   	  10.17		 73.43   	-462.87		
  5.49   	-12.51   	 12.09   	  20.35		 71.58   	-544.25		
  0.31   	 -2.44   	 12.17   	  25.43		 69.40   	-513.73		
 -3.66   	  3.97   	 12.27   	  35.61		 67.34   	-432.35		
 -7.02   	  7.32   	 12.41   	  25.43		 65.62   	-544.25		
 -9.77   	  8.24   	 12.51   	  15.26		 63.44   	-671.41		
-12.82   	  7.63   	 12.57   	  10.17		 60.75   	-422.18		
-16.48   	  5.49   	 12.61   	   5.09		 59.06   	 -91.56		
-21.67   	 -1.53   	 12.63   	   5.09		 58.70   	-376.40		
-26.86   	-14.65   	 12.66   	   5.09		 57.19   	-1012.20		
-31.43   	-30.82   	 12.68   	  10.17		 53.14   	-1174.97		
