  I     	  LV     	  LV'		  RA     	  RA'		
-58.29   	 11.74   	  25.43		 11.11   	   0.00		
-57.37   	 11.84   	  30.52		 11.11   	   0.00		
-56.76   	 11.96   	  40.69		 11.11   	   0.00		
-57.07   	 12.13   	  55.95		 11.11   	   0.00		
-58.59   	 12.35   	  55.95		 11.11   	   0.00		
-61.04   	 12.57   	  66.12		 11.11   	   0.00		
-62.56   	 12.84   	  66.12		 11.11   	   0.00		
-61.65   	 13.10   	  61.04		 11.11   	   0.00		
-57.07   	 13.35   	  55.95		 11.11   	  -5.09		
-49.13   	 13.57   	  45.78		 11.09   	   0.00		
-38.45   	 13.75   	  40.69		 11.09   	   0.00		
-27.16   	 13.92   	  35.61		 11.09   	   0.00		
-16.78   	 14.06   	  20.35		 11.09   	  -5.09		
 -8.54   	 14.14   	  20.35		 11.07   	   0.00		
 -2.75   	 14.22   	  15.26		 11.07   	   5.09		
  1.53   	 14.28   	  10.17		 11.09   	   0.00		
  5.49   	 14.32   	  15.26		 11.09   	   5.09		
 10.68   	 14.38   	  10.17		 11.11   	  10.17		
 15.87   	 14.43   	  10.17		 11.15   	   5.09		
 19.84   	 14.47   	  15.26		 11.17   	  10.17		
 22.58   	 14.53   	  10.17		 11.21   	  15.26		
 24.11   	 14.57   	  10.17		 11.27   	  15.26		
 25.63   	 14.61   	  10.17		 11.33   	  15.26		
 27.77   	 14.65   	   5.09		 11.39   	  15.26		
 30.21   	 14.67   	   0.00		 11.45   	  20.35		
 30.21   	 14.67   	   0.00		 11.54   	  25.43		
 26.25   	 14.67   	   0.00		 11.64   	  25.43		
 17.09   	 14.67   	 -10.17		 11.74   	  25.43		
  1.53   	 14.63   	  -5.09		 11.84   	  30.52		
-18.31   	 14.61   	  -5.09		 11.96   	  35.61		
-40.59   	 14.59   	   0.00		 12.11   	  40.69		
-60.12   	 14.59   	   0.00		 12.27   	  45.78		
-73.24   	 14.59   	   5.09		 12.45   	  50.86		
-78.43   	 14.61   	  10.17		 12.66   	  55.95		
-78.13   	 14.65   	  10.17		 12.88   	  55.95		
-75.99   	 14.69   	  10.17		 13.10   	  61.04		
-75.38   	 14.73   	  10.17		 13.35   	  61.04		
-75.99   	 14.77   	  10.17		 13.59   	  61.04		
-75.99   	 14.81   	   5.09		 13.84   	  61.04		
-74.16   	 14.83   	   5.09		 14.08   	  61.04		
-70.50   	 14.85   	   0.00		 14.32   	  55.95		
-66.53   	 14.85   	   0.00		 14.55   	  50.86		
-64.39   	 14.85   	   0.00		 14.75   	  45.78		
-64.70   	 14.85   	  10.17		 14.93   	  35.61		
-66.83   	 14.89   	  10.17		 15.08   	  30.52		
-69.27   	 14.93   	  20.35		 15.20   	  20.35		
-70.50   	 15.02   	  25.43		 15.28   	  15.26		
-72.33   	 15.12   	  30.52		 15.34   	   5.09		
-78.74   	 15.24   	  30.52		 15.36(A)	   0.00		
-93.38   	 15.36   	  35.61		 15.36   	  -5.09		
-116.88   	 15.50   	  25.43		 15.34   	 -10.17		
-144.35   	 15.61   	  20.35		 15.30   	  -5.09		
-168.15   	 15.69   	  10.17		 15.28   	 -10.17		
-180.05   	 15.73   	   5.09		 15.24   	 -10.17		
-172.42   	 15.75   	 -10.17		 15.20   	  -5.09		
-134.58   	 15.71   	 -15.26		 15.18   	   0.00		
-53.10   	 15.65   	 -20.35		 15.18   	  -5.09		
 81.18   	 15.56   	 -20.35		 15.16   	   0.00		
265.20   	 15.48   	 -25.43		 15.16   	   5.09		
470.28   	 15.38   	 -15.26		 15.18   	  -5.09		
638.43   	 15.32   	 -10.17		 15.16   	   0.00		
704.65(R)	 15.28(E)	   5.09		 15.16   	  -5.09		
637.51   	 15.30   	  15.26		 15.14   	 -10.17		
464.48   	 15.36   	  35.61		 15.10   	 -10.17		
267.33   	 15.50   	  50.86		 15.06   	 -15.26		
136.41   	 15.71   	  76.30		 14.99   	 -20.35		
109.86   	 16.01   	 101.73		 14.91   	 -20.35		
156.25   	 16.42   	 132.25		 14.83   	 -25.43		
205.69   	 16.95   	 167.85		 14.73   	 -30.52		
205.69   	 17.62   	 213.63		 14.61   	 -30.52		
150.45   	 18.47   	 269.58		 14.49   	 -30.52		
 68.97   	 19.55   	 335.71		 14.36   	 -40.69		
 -3.05   	 20.90   	 412.00		 14.20   	 -40.69		
-45.47   	 22.54   	 498.47		 14.04   	 -45.78		
-57.98   	 24.54   	 590.03		 13.86   	 -45.78		
-49.44   	 26.90   	 676.50		 13.67   	 -40.69		
-33.87   	 29.60   	 757.88		 13.51   	 -45.78		
-22.58   	 32.63   	 839.26		 13.33   	 -45.78		
-21.36   	 35.99   	 895.22		 13.14   	 -35.61		
-26.55   	 39.57   	 951.17		 13.00   	 -35.61		
-31.13   	 43.38   	 996.94		 12.86   	 -30.52		
-29.30   	 47.37   	1042.72		 12.74   	 -25.43		
-22.28   	 51.54   	1093.59		 12.63   	 -15.26		
-14.95   	 55.91   	1149.54		 12.57   	 -20.35		
 -9.77   	 60.51   	1185.14		 12.49   	 -10.17		
 -7.02   	 65.25   	1215.66		 12.45   	 -15.26		
 -5.49   	 70.11   	1215.66		 12.39   	 -10.17		
 -3.66   	 74.97   	1185.14		 12.35   	 -15.26		
 -0.61   	 79.71   	1129.19		 12.29   	 -15.26		
  3.66   	 84.23   	1047.81		 12.23   	 -20.35		
  8.85   	 88.42   	 956.25		 12.15   	 -30.52		
 14.34   	 92.25   	 864.70		 12.02   	 -30.52		
 19.53   	 95.71   	 773.14		 11.90   	 -35.61		
 24.72   	 98.80   	 707.02		 11.76   	 -40.69		
 29.91   	101.63   	 651.07		 11.60   	 -50.86		
 35.40   	104.23   	 620.55		 11.39   	 -55.95		
 41.20   	106.71   	 605.29		 11.17   	 -55.95		
 47.30   	109.13   	 600.20		 10.95   	 -66.12		
 54.32   	111.54   	 605.29		 10.68   	 -61.04		
 61.95   	113.96   	 600.20		 10.44   	 -71.21		
 70.50   	116.36   	 600.20		 10.15   	 -66.12		
 79.04   	118.76   	 584.94		  9.89   	 -71.21		
 87.59   	121.10   	 554.42		  9.60   	 -66.12		
 96.74   	123.32   	 508.65		  9.34   	 -66.12		
107.12   	125.35   	 462.87		  9.07   	 -55.95		
119.63   	127.20   	 406.92		  8.85   	 -55.95		
134.58   	128.83   	 356.05		  8.63   	 -50.86		
150.45   	130.25   	 300.10		  8.42   	 -45.78		
166.32   	131.45   	 259.41		  8.24   	 -40.69		
181.27   	132.49   	 228.89		  8.08   	 -30.52		
195.01   	133.41   	 203.46		  7.96   	 -30.52		
207.21   	134.22   	 198.37		  7.83   	 -15.26		
218.81   	135.01   	 198.37		  7.77   	 -15.26		
229.19   	135.81   	 203.46		  7.71   	   0.00		
238.34   	136.62   	 213.63		  7.71   	  10.17		
245.67   	137.48   	 213.63		  7.75   	  20.35		
249.63   	138.33   	 208.54		  7.83   	  30.52		
248.72   	139.17   	 183.11		  7.96   	  45.78		
242.00   	139.90   	 147.51		  8.14   	  61.04		
229.19   	140.49   	  86.47		  8.38   	  71.21		
210.27   	140.83   	  15.26		  8.67   	  81.38		
187.38   	140.89(S)	 -66.12		  8.99   	  96.64		
162.96   	140.63   	-147.51		  9.38   	  96.64		
138.85   	140.04   	-223.80		  9.77   	 111.90		
116.27   	139.14   	-284.84		 10.21   	 111.90		
 95.52   	138.01   	-340.79		 10.66   	 116.99		
 75.68   	136.64   	-371.31		 11.13   	 122.07		
 56.15   	135.16   	-381.48		 11.62   	 122.07		
 37.23   	133.63   	-371.31		 12.11   	 116.99		
 18.92   	132.15   	-350.97		 12.57   	 116.99		
  1.53   	130.74   	-325.53		 13.04   	 111.90		
-14.95   	129.44   	-289.93		 13.49   	 101.73		
-29.91   	128.28   	-259.41		 13.90   	  96.64		
-42.72   	127.24   	-239.06		 14.28   	  86.47		
-53.10   	126.29   	-233.98		 14.63   	  76.30		
-61.34   	125.35   	-233.98		 14.93   	  61.04		
-67.75   	124.41   	-233.98		 15.18   	  55.95		
-72.63   	123.48   	-233.98		 15.40   	  40.69		
-75.99   	122.54   	-244.15		 15.56   	  30.52		
-78.43   	121.57   	-249.24		 15.69   	  20.35		
-79.96   	120.57   	-269.58		 15.77   	  10.17		
-81.79   	119.49   	-300.10		 15.81   	   5.09		
-83.92   	118.29   	-335.71		 15.83   	  -5.09		
-85.45   	116.95   	-381.48		 15.81   	  -5.09		
-86.06   	115.42   	-437.43		 15.79   	 -15.26		
-85.45   	113.67   	-483.21		 15.73   	 -15.26		
-84.23   	111.74   	-539.16		 15.67   	 -15.26		
-83.62   	109.58   	-584.94		 15.61   	 -20.35		
-84.53   	107.24   	-630.72		 15.52   	 -15.26		
-87.89   	104.72   	-676.50		 15.46   	 -20.35		
-91.86   	102.01   	-722.28		 15.38   	 -20.35		
-93.99   	 99.12   	-757.88		 15.30   	 -20.35		
-92.77   	 96.09   	-783.31		 15.22   	 -20.35		
-88.20   	 92.96   	-813.83		 15.14   	 -20.35		
-83.01   	 89.70   	-854.52		 15.06   	 -15.26		
-79.35   	 86.29   	-900.30		 14.99   	 -25.43		
-78.13   	 82.69   	-971.51		 14.89   	 -20.35		
-78.13   	 78.80   	-1063.07		 14.81   	 -25.43		
-77.82   	 74.55   	-1159.71		 14.71   	 -25.43		
-76.29   	 69.91   	-1251.27		 14.61   	 -35.61		
-74.16   	 64.90   	-1327.56		 14.47   	 -35.61		
-72.94   	 59.59   	-1378.43		 14.32   	 -40.69		
-72.94   	 54.08   	-1393.69		 14.16   	 -45.78		
-73.85   	 48.50   	-1373.34		 13.98   	 -50.86		
-74.46   	 43.01   	-1312.30		 13.77   	 -61.04		
-73.85   	 37.76   	-1230.92		 13.53   	 -66.12		
-72.94   	 32.84   	-1119.02		 13.27   	 -71.21		
-71.72   	 28.36   	-1002.03		 12.98   	 -81.38		
-71.41   	 24.35   	-879.96		 12.66   	 -86.47		
-71.11   	 20.83   	-773.14		 12.31   	 -96.64		
-70.50   	 17.74   	-666.32		 11.92   	-106.82		
-69.58   	 15.08   	-579.86		 11.50   	-111.90		
-68.66   	 12.76   	-503.56		 11.05   	-116.99		
-68.36   	 10.74   	-432.35		 10.58   	-122.07		
-69.89   	  9.01   	-376.40		 10.09   	-127.16		
-72.63   	  7.51   	-320.45		  9.58   	-122.07		
-75.07   	  6.23   	-274.67		  9.09   	-122.07		
-75.68   	  5.13   	-218.72		  8.61   	-122.07		
-73.24   	  4.25   	-178.03		  8.12   	-116.99		
-68.05   	  3.54   	-127.16		  7.65   	-106.82		
-63.17   	  3.03   	 -81.38		  7.22   	-101.73		
-60.12   	  2.71   	 -40.69		  6.82   	 -96.64		
-60.12   	  2.54   	  -5.09		  6.43   	 -81.38		
-61.95   	  2.52(D)	  25.43		  6.10   	 -71.21		
-62.87   	  2.62   	  50.86		  5.82   	 -61.04		
-62.56   	  2.83   	  71.21		  5.57   	 -45.78		
-61.65   	  3.11   	  86.47		  5.39   	 -35.61		
-62.56   	  3.46   	 101.73		  5.25   	 -25.43		
-65.31   	  3.87   	 106.82		  5.15   	 -15.26		
-68.97   	  4.29   	 111.90		  5.09   	   0.00		
-71.72   	  4.74   	 122.07		  5.09   	   5.09		
-71.41   	  5.23   	 122.07		  5.11   	  15.26		
-68.05   	  5.72   	 122.07		  5.17   	  25.43		
-61.65   	  6.21   	 122.07		  5.27   	  30.52		
-53.41   	  6.69   	 122.07		  5.39   	  40.69		
-44.86   	  7.18   	 116.99		  5.55   	  40.69		
-37.23   	  7.65   	 116.99		  5.72   	  50.86		
-30.82   	  8.12   	 111.90		  5.92   	  55.95		
-25.63   	  8.57   	 106.82		  6.14   	  55.95		
-20.45   	  8.99   	 101.73		  6.37   	  61.04		
-14.34   	  9.40   	  91.56		  6.61   	  66.12		
 -7.63   	  9.77   	  91.56		  6.88   	  71.21		
  0.00   	 10.13   	  81.38		  7.16   	  76.30		
  7.02   	 10.46   	  76.30		  7.47   	  76.30		
 11.90   	 10.76   	  76.30		  7.77   	  86.47		
 12.51   	 11.07   	  71.21		  8.12   	  86.47		
  8.85   	 11.35   	  66.12		  8.46   	  91.56		
  3.66   	 11.62   	  66.12		  8.83   	  96.64		
  1.22   	 11.88   	  66.12		  9.22   	  91.56		
  4.88   	 12.15   	  61.04		  9.58   	  96.64		
 13.73   	 12.39   	  55.95		  9.97   	  96.64		
 21.97   	 12.61   	  50.86		 10.36   	  91.56		
 21.97   	 12.82   	  50.86		 10.72   	  96.64		
  9.46   	 13.02   	  40.69		 11.11   	  96.64		
-14.34   	 13.18   	  35.61		 11.50   	  96.64		
-42.72   	 13.33   	  25.43		 11.88   	  96.64		
-67.14   	 13.43   	  20.35		 12.27   	 101.73		
-82.09   	 13.51   	  15.26		 12.68   	 101.73		
-86.67   	 13.57   	   5.09		 13.08   	 101.73		
-85.14   	 13.59   	   5.09		 13.49   	 101.73		
-82.70   	 13.61   	  -5.09		 13.90   	  96.64		
-81.79   	 13.59   	 -10.17		 14.28   	  91.56		
-82.40   	 13.55   	 -15.26		 14.65   	  86.47		
-82.70   	 13.49   	 -15.26		 14.99   	  76.30		
-81.48   	 13.43   	 -15.26		 15.30   	  71.21		
-79.35   	 13.37   	 -20.35		 15.58   	  61.04		
-76.60   	 13.29   	 -25.43		 15.83   	  55.95		
-73.85   	 13.18   	 -25.43		 16.05   	  45.78		
-71.41   	 13.08   	 -25.43		 16.24   	  35.61		
-70.50   	 12.98   	 -35.61		 16.38   	  35.61		
-72.02   	 12.84   	 -40.69		 16.52   	  30.52		
-75.68   	 12.68   	 -40.69		 16.64   	  25.43		
-79.35   	 12.51   	 -50.86		 16.74   	  15.26		
-82.40   	 12.31   	 -61.04		 16.81   	  15.26		
-86.98   	 12.07   	 -61.04		 16.87   	  10.17		
-97.05   	 11.82   	 -66.12		 16.91   	   0.00		
-114.14   	 11.56   	 -66.12		 16.91(V)	   0.00		
-135.80   	 11.29   	 -66.12		 16.91   	 -10.17		
-155.33   	 11.03   	 -61.04		 16.87   	 -10.17		
-166.93   	 10.78   	 -50.86		 16.83   	 -20.35		
-164.79   	 10.58   	 -45.78		 16.74   	 -20.35		
-141.91   	 10.40   	 -30.52		 16.66   	 -20.35		
-84.84   	 10.27   	 -20.35		 16.58   	 -25.43		
 17.70   	 10.19   	 -10.17		 16.48   	 -20.35		
167.85   	 10.15   	   5.09		 16.40   	 -30.52		
342.41   	 10.17   	  20.35		 16.28   	 -25.43		
486.76   	 10.25   	  25.43		 16.17   	 -25.43		
535.89   	 10.36   	  40.69		 16.07   	 -30.52		
455.63   	 10.52   	  45.78		 15.95   	 -30.52		
273.74   	 10.70   	  61.04		 15.83   	 -30.52		
 72.94   	 10.95   	  71.21		 15.71   	 -35.61		
-54.63   	 11.23   	  81.38		 15.56   	 -35.61		
-68.05   	 11.56   	 101.73		 15.42   	 -35.61		
  1.53   	 11.96   	 116.99		 15.28   	 -35.61		
 81.48   	 12.43   	 147.51		 15.14   	 -30.52		
114.75   	 13.02   	 172.94		 15.02   	 -30.52		
 90.33   	 13.71   	 213.63		 14.89   	 -20.35		
 33.57   	 14.57   	 264.50		 14.81   	 -15.26		
-20.75   	 15.63   	 320.45		 14.75   	 -10.17		
-51.57   	 16.91   	 386.57		 14.71   	  -5.09		
-55.54   	 18.45   	 457.78		 14.69   	   0.00		
-39.06   	 20.28   	 534.08		 14.69   	   0.00		
-16.48   	 22.42   	 610.37		 14.69   	   5.09		
  0.00   	 24.86   	 671.41		 14.71   	  -5.09		
  3.05   	 27.55   	 737.54		 14.69   	   0.00		
 -4.58   	 30.50   	 778.23		 14.69   	  -5.09		
-13.43   	 33.61   	 818.92		 14.67   	 -10.17		
-16.48   	 36.89   	 839.26		 14.63   	 -10.17		
-12.82   	 40.24   	 849.44		 14.59   	 -15.26		
 -6.41   	 43.64   	 859.61		 14.53   	 -10.17		
 -0.92   	 47.08   	 874.87		 14.49   	 -15.26		
  3.66   	 50.58   	 905.39		 14.43   	 -15.26		
  7.63   	 54.20   	 946.08		 14.36   	 -20.35		
 11.60   	 57.99   	1002.03		 14.28   	 -15.26		
 16.48   	 61.99   	1052.90		 14.22   	 -25.43		
 21.97   	 66.21   	1088.50		 14.12   	 -25.43		
 27.47   	 70.56   	1108.85		 14.02   	 -30.52		
 32.04   	 74.99   	1088.50		 13.90   	 -40.69		
 35.40   	 79.35   	1052.90		 13.73   	 -40.69		
 38.45   	 83.56   	 981.68		 13.57   	 -50.86		
 43.33   	 87.49   	 900.30		 13.37   	 -50.86		
 50.35   	 91.09   	 813.83		 13.16   	 -55.95		
 58.90   	 94.34   	 727.36		 12.94   	 -55.95		
 67.75   	 97.25   	 645.98		 12.72   	 -61.04		
 75.99   	 99.84   	 590.03		 12.47   	 -55.95		
 83.62   	102.20   	 539.16		 12.25   	 -61.04		
 91.25   	104.35   	 513.73		 12.00   	 -55.95		
100.10   	106.41   	 498.47		 11.78   	 -55.95		
109.86   	108.40   	 493.39		 11.56   	 -55.95		
119.93   	110.38   	 493.39		 11.33   	 -50.86		
130.00   	112.35   	 488.30		 11.13   	 -50.86		
140.38   	114.30   	 478.13		 10.93   	 -45.78		
151.37   	116.22   	 462.87		 10.74   	 -35.61		
162.66   	118.07   	 432.35		 10.60   	 -25.43		
175.17   	119.80   	 406.92		 10.50   	 -20.35		
187.99   	121.42   	 361.14		 10.42   	 -10.17		
200.50   	122.87   	 320.45		 10.38   	   0.00		
213.62   	124.15   	 279.75		 10.38   	  10.17		
226.75   	125.27   	 233.98		 10.42   	  15.26		
239.56   	126.20   	 198.37		 10.48   	  30.52		
251.16   	127.00   	 157.68		 10.60   	  35.61		
260.01   	127.63   	 122.07		 10.74   	  45.78		
262.76   	128.12   	  91.56		 10.93   	  50.86		
257.26   	128.48   	  71.21		 11.13   	  55.95		
243.23   	128.77   	  45.78		 11.35   	  66.12		
224.91   	128.95   	  25.43		 11.62   	  66.12		
206.30   	129.05   	  10.17		 11.88   	  71.21		
190.12   	129.09(S)	 -15.26		 12.17   	  76.30		
173.95   	129.03   	 -30.52		 12.47   	  76.30		
153.20   	128.91   	 -55.95		 12.78   	  76.30		
126.95   	128.69   	 -86.47		 13.08   	  81.38		
 97.66   	128.34   	-116.99		 13.41   	  76.30		
 71.11   	127.87   	-152.59		 13.71   	  76.30		
 50.35   	127.26   	-188.20		 14.02   	  71.21		
 34.18   	126.51   	-223.80		 14.30   	  71.21		
 19.84   	125.61   	-244.15		 14.59   	  61.04		
  4.58   	124.64   	-274.67		 14.83   	  55.95		
-12.21   	123.54   	-284.84		 15.06   	  45.78		
-28.69   	122.40   	-300.10		 15.24   	  45.78		
-43.33   	121.20   	-305.19		 15.42   	  35.61		
-55.85   	119.98   	-305.19		 15.56   	  30.52		
-65.00   	118.76   	-305.19		 15.69   	  25.43		
-70.50   	117.54   	-310.27		 15.79   	  20.35		
-71.72   	116.30   	-310.27		 15.87   	  20.35		
-69.89   	115.06   	-320.45		 15.95   	  10.17		
-68.05   	113.77   	-330.62		 15.99   	   5.09		
-68.66   	112.45   	-350.97		 16.01   	   5.09		
-72.63   	111.05   	-371.31		 16.03   	  -5.09		
-79.35   	109.56   	-391.66		 16.01   	  -5.09		
-86.06   	108.00   	-417.09		 15.99   	  -5.09		
-90.33   	106.33   	-442.52		 15.97   	 -15.26		
-91.86   	104.56   	-478.13		 15.91   	 -10.17		
-91.25   	102.64   	-513.73		 15.87   	 -15.26		
-89.11   	100.59   	-554.42		 15.81   	 -10.17		
-87.59   	 98.37   	-600.20		 15.77   	 -15.26		
-86.36   	 95.97   	-651.07		 15.71   	 -10.17		
-85.45   	 93.37   	-691.76		 15.67   	 -10.17		
-84.53   	 90.60   	-727.36		 15.63   	 -10.17		
-83.31   	 87.69   	-757.88		 15.58   	  -5.09		
-82.09   	 84.66   	-798.57		 15.56   	 -10.17		
-80.57   	 81.46   	-859.61		 15.52   	  -5.09		
-79.35   	 78.03   	-930.82		 15.50   	  -5.09		
-78.74   	 74.30   	-1022.38		 15.48   	 -10.17		
-78.74   	 70.21   	-1119.02		 15.44   	 -10.17		
-79.04   	 65.74   	-1205.49		 15.40   	 -15.26		
-79.96   	 60.92   	-1281.79		 15.34   	 -15.26		
-81.18   	 55.79   	-1322.48		 15.28   	 -20.35		
-82.40   	 50.50   	-1332.65		 15.20   	 -25.43		
-83.62   	 45.17   	-1307.22		 15.10   	 -25.43		
-83.92   	 39.94   	-1246.18		 14.99   	 -30.52		
-82.09   	 34.95   	-1154.62		 14.87   	 -40.69		
-77.82   	 30.34   	-1042.72		 14.71   	 -45.78		
-72.63   	 26.16   	-920.65		 14.53   	 -50.86		
-68.66   	 22.48   	-783.31		 14.32   	 -55.95		
-68.05   	 19.35   	-661.24		 14.10   	 -71.21		
-70.80   	 16.70   	-544.25		 13.81   	 -76.30		
-74.16   	 14.53   	-447.61		 13.51   	 -91.56		
-75.07   	 12.74   	-366.22		 13.14   	 -91.56		
-72.02   	 11.27   	-305.19		 12.78   	-101.73		
-66.83   	 10.05   	-264.50		 12.37   	-106.82		
-63.48   	  8.99   	-223.80		 11.94   	-101.73		
-63.78   	  8.10   	-203.46		 11.54   	-106.82		
-67.44   	  7.28   	-178.03		 11.11   	-101.73		
-71.11   	  6.57   	-162.77		 10.70   	 -91.56		
-72.02   	  5.92   	-137.33		 10.34   	 -91.56		
-69.58   	  5.37   	-111.90		  9.97   	 -81.38		
-65.61   	  4.92   	 -91.56		  9.64   	 -71.21		
-62.56   	  4.56   	 -66.12		  9.36   	 -71.21		
-62.87   	  4.29   	 -50.86		  9.07   	 -61.04		
-65.61   	  4.09   	 -30.52		  8.83   	 -50.86		
-69.27   	  3.97   	 -15.26		  8.63   	 -50.86		
-71.41   	  3.91(D)	   0.00		  8.42   	 -45.78		
-71.41   	  3.91   	  25.43		  8.24   	 -35.61		
-69.89   	  4.01   	  40.69		  8.10   	 -30.52		
-68.97   	  4.17   	  66.12		  7.98   	 -30.52		
-69.89   	  4.44   	  91.56		  7.85   	 -15.26		
-70.80   	  4.80   	 111.90		  7.79   	 -15.26		
-69.89   	  5.25   	 132.25		  7.73   	 -10.17		
-66.22   	  5.78   	 147.51		  7.69   	  -5.09		
-61.65   	  6.37   	 157.68		  7.67   	   5.09		
-59.20   	  7.00   	 172.94		  7.69   	   5.09		
-60.12   	  7.69   	 172.94		  7.71   	  15.26		
-62.26   	  8.38   	 172.94		  7.77   	  15.26		
-62.56   	  9.07   	 172.94		  7.83   	  20.35		
-58.59   	  9.77   	 162.77		  7.91   	  25.43		
-51.27   	 10.42   	 157.68		  8.02   	  35.61		
-43.64   	 11.05   	 147.51		  8.16   	  35.61		
-38.76   	 11.64   	 137.33		  8.30   	  45.78		
-36.32   	 12.19   	 122.07		  8.48   	  50.86		
-34.48   	 12.68   	 106.82		  8.69   	  55.95		
-29.91   	 13.10   	  96.64		  8.91   	  61.04		
-20.75   	 13.49   	  81.38		  9.16   	  71.21		
 -9.16   	 13.81   	  71.21		  9.44   	  71.21		
  1.53   	 14.10   	  66.12		  9.73   	  81.38		
  7.32   	 14.36   	  55.95		 10.05   	  76.30		
  6.71   	 14.59   	  55.95		 10.36   	  86.47		
  2.75   	 14.81   	  45.78		 10.70   	  86.47		
  0.00   	 14.99   	  45.78		 11.05   	  86.47		
  1.83   	 15.18   	  45.78		 11.39   	  91.56		
  7.63   	 15.36   	  35.61		 11.76   	  86.47		
 13.12   	 15.50   	  40.69		 12.11   	  91.56		
 13.43   	 15.67   	  30.52		 12.47   	  96.64		
  5.49   	 15.79   	  30.52		 12.86   	  96.64		
-10.68   	 15.91   	  20.35		 13.25   	  96.64		
-31.74   	 15.99   	  20.35		 13.63   	  96.64		
-53.41   	 16.07   	  15.26		 14.02   	 101.73		
-71.11   	 16.13   	   5.09		 14.43   	  96.64		
-81.79   	 16.15   	   5.09		 14.81   	 101.73		
-85.75   	 16.17   	  -5.09		 15.22   	  96.64		
-86.06   	 16.15   	  -5.09		 15.61   	  91.56		
-85.75   	 16.13   	  -5.09		 15.97   	  86.47		
-86.67   	 16.11   	 -15.26		 16.32   	  86.47		
-87.59   	 16.05   	 -15.26		 16.66   	  71.21		
-86.06   	 15.99   	 -15.26		 16.95   	  66.12		
-81.48   	 15.93   	 -15.26		 17.21   	  61.04		
-75.68   	 15.87   	 -15.26		 17.46   	  50.86		
-71.72   	 15.81   	 -20.35		 17.66   	  45.78		
-70.80   	 15.73   	 -15.26		 17.84   	  35.61		
-72.02   	 15.67   	 -20.35		 17.99   	  30.52		
-73.55   	 15.58   	 -20.35		 18.11   	  20.35		
-73.85   	 15.50   	 -20.35		 18.19   	  20.35		
-73.85   	 15.42   	 -30.52		 18.27   	  20.35		
-75.68   	 15.30   	 -30.52		 18.35   	  10.17		
-83.31   	 15.18   	 -40.69		 18.39   	  15.26		
-98.88   	 15.02   	 -40.69		 18.45   	  10.17		
-120.24   	 14.85   	 -50.86		 18.49   	  15.26		
-141.91   	 14.65   	 -45.78		 18.56   	  10.17		
-159.00   	 14.47   	 -45.78		 18.60   	   5.09		
-167.54   	 14.28   	 -40.69		 18.62   	   5.09		
-164.18   	 14.12   	 -30.52		 18.64   	   5.09		
-141.91   	 14.00   	 -25.43		 18.66   	  -5.09		
-86.36   	 13.90   	 -10.17		 18.64   	 -10.17		
 14.34   	 13.86   	   0.00		 18.60   	 -10.17		
161.13   	 13.86   	  10.17		 18.56   	 -15.26		
330.51   	 13.90   	  25.43		 18.49   	 -20.35		
470.28   	 14.00   	  35.61		 18.41   	 -25.43		
516.36   	 14.14   	  45.78		 18.31   	 -30.52		
436.40   	 14.32   	  55.95		 18.19   	 -25.43		
256.04   	 14.55   	  66.12		 18.09   	 -30.52		
 54.63   	 14.81   	  76.30		 17.97   	 -35.61		
-77.21   	 15.12   	  86.47		 17.82   	 -25.43		
-96.13   	 15.46   	 101.73		 17.72   	 -30.52		
-31.43   	 15.87   	 127.16		 17.60   	 -25.43		
 47.30   	 16.38   	 152.59		 17.50   	 -20.35		
 83.62   	 16.99   	 188.20		 17.42   	 -20.35		
 65.61   	 17.74   	 233.98		 17.33   	 -20.35		
 17.70   	 18.68   	 289.93		 17.25   	 -15.26		
-28.99   	 19.84   	 356.05		 17.19   	 -10.17		
-56.15   	 21.26   	 432.35		 17.15   	 -15.26		
-62.26   	 22.99   	 513.73		 17.09   	 -10.17		
-52.80   	 25.05   	 590.03		 17.05   	 -10.17		
-36.93   	 27.41   	 676.50		 17.01   	 -15.26		
-24.11   	 30.11   	 742.62		 16.95   	 -15.26		
-19.53   	 33.08   	 808.75		 16.89   	 -15.26		
-22.89   	 36.32   	 854.52		 16.83   	 -15.26		
-27.47   	 39.74   	 890.13		 16.76   	 -20.35		
-28.08   	 43.30   	 920.65		 16.68   	 -20.35		
-24.41   	 46.98   	 956.25		 16.60   	 -20.35		
-19.53   	 50.80   	 996.94		 16.52   	 -25.43		
-16.78   	 54.79   	1047.81		 16.42   	 -25.43		
-15.26   	 58.98   	1098.67		 16.32   	 -25.43		
-12.51   	 63.38   	1139.36		 16.22   	 -30.52		
 -7.02   	 67.93   	1164.80		 16.09   	 -35.61		
 -0.61   	 72.59   	1159.71		 15.95   	 -35.61		
  5.19   	 77.23   	1129.19		 15.81   	 -40.69		
  9.16   	 81.75   	1073.24		 15.65   	 -40.69		
 11.90   	 86.04   	1007.12		 15.48   	 -50.86		
 14.65   	 90.07   	 920.65		 15.28   	 -55.95		
 18.92   	 93.75   	 839.26		 15.06   	 -55.95		
 24.11   	 97.11   	 757.88		 14.83   	 -61.04		
 29.91   	100.14   	 701.93		 14.59   	 -66.12		
 34.79   	102.95   	 645.98		 14.32   	 -71.21		
 39.37   	105.53   	 610.37		 14.04   	 -76.30		
 44.56   	107.98   	 584.94		 13.73   	 -71.21		
 50.66   	110.31   	 569.68		 13.45   	 -76.30		
